Violet DarkOrchid DeepSkyBlue OrangeRed SeaGreen AliceBlue Blue LightGray Gold DarkGreen
cruel average encouraging super proud nervous bloody calm combative shy
tense repulsive dull poor disgusted frantic annoying doubtful average fine
relieved creepy joyous cooperative clear amused sparkling vivacious muddy uptight
open light doubtful helpful innocent rich modern gleaming old-fashioned fair
crazy helpless weary wrong annoyed disgusted witty handsome worrisome witty
tough graceful fancy adorable zany fair worried long combative exuberant
hungry thoughtless bored alive blushing relieved energetic better old-fashioned confused
depressed annoyed alert difficult misty magnificent victorious outrageous rich courageous
defeated faithful frantic colorful dark brainy graceful odd sore clumsy
amused dangerous better nervous frightened depressed fierce fantastic long condemned
