social digitalcomputer programming transistor computing incompatible server ibook supercomputer escapekey
OrangeRed Yellow Purple PaleVioletRed Wheat Maroon Turquoise LightSlateBlue DarkCyan DarkFuchsia
LightSalmon ForestGreen Gold LightGray LimeGreen BlanchedAlmond PaleVioletRed Salmon SlateBlue Goldenrod
Bisque MediumSlateBlue Olive Blue Chartreuse SteelBlue LawnGreen Peru DarkGreen LightYellow
DarkViolet MediumPurple Honeydew Feldspar Orchid MediumTurquoise Khaki Lime Black Lime
SkyBlue Teal DarkSlateGray Indigo DodgerBlue Plum SpringGreen RosyBrown Yellow Gold
SteelBlue Gray PeachPuff LemonChiffon LavenderBlush MidnightBlue LightSkyBlue Black LawnGreen BlanchedAlmond
Tomato Indigo Cyan Khaki MediumAquamarine DarkKhaki Orange Crimson HotPink PaleGoldenrod
Olive LimeGreen DeepSkyBlue FloralWhite NavajoWhite Firebrick Linen RosyBrown DimGray ForestGreen
Moccasin Black BlanchedAlmond Feldspar Linen Cyan Violet Cyan GhostWhite DarkSalmon
temperature__65c temperature__136c temperature__6c temperature__79c temperature__11c temperature__132c temperature__56c temperature__5c temperature__36c temperature__147c
temperature__116c temperature__93c temperature__77c temperature__6c temperature__30c temperature__86c temperature__111c temperature__70c temperature__39c temperature__58c
temperature__8c temperature__31c temperature__130c temperature__26c temperature__69c temperature__5c temperature__50c temperature__118c temperature__123c temperature__112c
temperature__73c temperature__95c temperature__17c temperature__119c temperature__69c temperature__82c temperature__71c temperature__84c temperature__68c temperature__35c
temperature__4c temperature__91c temperature__52c temperature__100c temperature__129c temperature__21c temperature__126c temperature__26c temperature__92c temperature__92c
temperature__142c temperature__145c temperature__52c temperature__40c temperature__54c temperature__36c temperature__141c temperature__50c temperature__85c temperature__78c
temperature__92c temperature__130c temperature__84c temperature__93c temperature__85c temperature__88c temperature__79c temperature__139c temperature__51c temperature__118c
temperature__92c temperature__46c temperature__39c temperature__27c temperature__136c temperature__84c temperature__109c temperature__106c temperature__77c temperature__126c
temperature__124c temperature__108c temperature__30c temperature__12c temperature__28c temperature__21c temperature__142c temperature__41c temperature__129c temperature__141c
temperature__126c temperature__3c temperature__8c temperature__79c temperature__33c temperature__137c temperature__7c temperature__130c temperature__23c temperature__137c
temperature__124c temperature__73c temperature__47c temperature__92c temperature__68c temperature__24c temperature__119c temperature__119c temperature__68c temperature__84c
BinaryNumber_1000100 BinaryNumber_0111100 BinaryNumber_1000101 BinaryNumber_1000010 BinaryNumber_0000001 BinaryNumber_0001000 BinaryNumber_1011001 BinaryNumber_0011100 BinaryNumber_0111111 BinaryNumber_1010010
BinaryNumber_0100101 BinaryNumber_0101001 BinaryNumber_0101001 BinaryNumber_1011001 BinaryNumber_1010010 BinaryNumber_0001110 BinaryNumber_0110010 BinaryNumber_1011100 BinaryNumber_1010010 BinaryNumber_0110011
BinaryNumber_0110000 BinaryNumber_1001111 BinaryNumber_0001011 BinaryNumber_1010001 BinaryNumber_1000111 BinaryNumber_0001011 BinaryNumber_0010010 BinaryNumber_0011001 BinaryNumber_1010001 BinaryNumber_0000111
BinaryNumber_0000001 BinaryNumber_0001101 BinaryNumber_1001001 BinaryNumber_1010110 BinaryNumber_1011010 BinaryNumber_0011110 BinaryNumber_0000010 BinaryNumber_0011000 BinaryNumber_1000101 BinaryNumber_0010010
BinaryNumber_1000001 BinaryNumber_0101101 BinaryNumber_1000100 BinaryNumber_0010101 BinaryNumber_0001101 BinaryNumber_0010011 BinaryNumber_1011101 BinaryNumber_1010011 BinaryNumber_0010101 BinaryNumber_1010110
BinaryNumber_0000011 BinaryNumber_1001000 BinaryNumber_0010100 BinaryNumber_0011100 BinaryNumber_0001000 BinaryNumber_0010110 BinaryNumber_1011001 BinaryNumber_1010111 BinaryNumber_0001110 BinaryNumber_1001110
BinaryNumber_0011101 BinaryNumber_1000000 BinaryNumber_0011101 BinaryNumber_1011101 BinaryNumber_1010001 BinaryNumber_1001110 BinaryNumber_1001001 BinaryNumber_0001110 BinaryNumber_1100010 BinaryNumber_0111110
BinaryNumber_0110001 BinaryNumber_0101001 BinaryNumber_0010000 BinaryNumber_0110111 BinaryNumber_1001111 BinaryNumber_0011101 BinaryNumber_0011011 BinaryNumber_0001001 BinaryNumber_0001000 BinaryNumber_0000001
BinaryNumber_1000000 BinaryNumber_0000010 BinaryNumber_1000010 BinaryNumber_0000000 BinaryNumber_1000011 BinaryNumber_1011001 BinaryNumber_1011000 BinaryNumber_0000011 BinaryNumber_0001100 BinaryNumber_0011111
BinaryNumber_0100110 BinaryNumber_0001100 BinaryNumber_0000100 BinaryNumber_0111010 BinaryNumber_0101110 BinaryNumber_0100100 BinaryNumber_0000100 BinaryNumber_0011011 BinaryNumber_0001010 BinaryNumber_0100011
BinaryNumber_1011000 BinaryNumber_0110111 BinaryNumber_0010111 BinaryNumber_1000011 BinaryNumber_1100001 BinaryNumber_1011110 BinaryNumber_0110101 BinaryNumber_1001010 BinaryNumber_0101111 BinaryNumber_0100001
Larynx Retina Capillaries Ligaments Cornea Urethra Hypothalamus Ileum Cochlea Brain
Duodenum Cerebellum Teeth Joints Rectum Eardrum Rectum Cerebrum Kidneys Tastebuds
Fallopiantubes Teeth Eye Spleen Tongue Cerebrum Ganglia Sensoryorgans Ciliarybody Ligaments
Ear Uterus Cecum Thymus Liver Fallopiantubes Midbrain Cecum Cervix Analcanal
Lungs Ciliarybody Interstitium Muscle Cranialnerves Retina Ossicles Bone  Cochlea Cochlea
Vagina Sensoryorgans Cochlea Cecum Pons Bladder Cervix Pharynx Ileum Larynx
Cervix Rectum Heart Tongue Ear Lens Ileum Veins Iris Ligaments
Cervix Spinalnerves Kidneys Cranialnerves Cerebrum Ileum Tongue Tongue Vagina Ileum
Spleen Urethra Tongue Smallintestine Tonsils Gallbladder Innerear Bronchi Esophagus Lungs
Ileum Largeintestine Placenta Fallopiantubes Outerear Cerebellum Pharynx Teeth Cerebrum Spleen
Nerves Hypothalamus skeleton Stomach Tongue Uterus Mesentery Pancreas Uterus Tonsils
