LightYellow Violet LightGreen DarkTurquoise MediumBlue RoyalBlue Gold Peru Cyan Goldenrod
Pancreas Cecum skeleton Brain Cochlea Tendons Largeintestine Lips Lips Mesentery
Heart Innerear Penis Cochlea Mesentery Rectum Hypothalamus Lungs Spinalnerves Jejunum
Uterus Spleen Tastebuds Cerebellum Vagina Thymus Pharynx Thalamus Cecum Midbrain
22:30 18:17 12:37 22:19 11:55 14:15 14:49 21:32 14:40 11:32
11:52 21:31 11:52 16:46 13:38 11:26 19:36 17:46 19:16 14:45
18:20 18:47 22:45 13:49 14:46 23:32 21:23 17:38 14:43 17:33
13:25 18:13 18:40 23:46 15:25 23:39 20:32 18:14 22:26 17:36
20:49 19:54 17:32 20:47 17:13 14:57 20:25 23:35 21:51 22:24
18:39 13:34 17:40 16:58 12:16 15:34 12:50 21:54 14:34 13:11
16:33 10:52 11:49 12:20 21:29 22:26 16:33 18:32 19:26 10:15
11:16 17:37 19:56 22:57 14:45 19:34 21:26 12:13 16:58 20:17
21:35 11:44 21:31 21:42 16:18 22:36 21:15 21:50 11:20 10:35
19:31 22:13 20:51 16:21 22:42 11:10 12:26 22:19 14:29 10:18
13:16 11:59 18:26 17:48 19:54 18:15 13:21 16:16 22:29 19:28
