outstanding clever brave frail bewildered bright bad prickly crazy blue-eyed
BinaryNumber_0011110 BinaryNumber_0101011 BinaryNumber_1010010 BinaryNumber_0111010 BinaryNumber_0010011 BinaryNumber_0010110 BinaryNumber_1001001 BinaryNumber_0000010 BinaryNumber_1000001 BinaryNumber_1011110
BinaryNumber_0011111 BinaryNumber_0101011 BinaryNumber_0000010 BinaryNumber_1001010 BinaryNumber_0000100 BinaryNumber_0011001 BinaryNumber_0101011 BinaryNumber_0111101 BinaryNumber_0100001 BinaryNumber_1011111
BinaryNumber_1000110 BinaryNumber_1000011 BinaryNumber_0101101 BinaryNumber_1010100 BinaryNumber_0010101 BinaryNumber_1000000 BinaryNumber_0100101 BinaryNumber_0000100 BinaryNumber_1001011 BinaryNumber_0111101
BinaryNumber_0011110 BinaryNumber_0001011 BinaryNumber_0000110 BinaryNumber_1001110 BinaryNumber_0010101 BinaryNumber_1000000 BinaryNumber_0001001 BinaryNumber_0000001 BinaryNumber_0111000 BinaryNumber_0111110
BinaryNumber_1011010 BinaryNumber_0100101 BinaryNumber_0010100 BinaryNumber_0000011 BinaryNumber_1010000 BinaryNumber_0000001 BinaryNumber_0110101 BinaryNumber_0100110 BinaryNumber_1000011 BinaryNumber_0111001
BinaryNumber_0101001 BinaryNumber_1010011 BinaryNumber_0111100 BinaryNumber_1010001 BinaryNumber_1000101 BinaryNumber_1100000 BinaryNumber_0101111 BinaryNumber_1000101 BinaryNumber_1010100 BinaryNumber_1011110
BinaryNumber_1011010 BinaryNumber_0111001 BinaryNumber_1000110 BinaryNumber_1100000 BinaryNumber_1001000 BinaryNumber_1000110 BinaryNumber_1010000 BinaryNumber_0110100 BinaryNumber_1010001 BinaryNumber_0010101
BinaryNumber_0001000 BinaryNumber_1001000 BinaryNumber_0111000 BinaryNumber_0000110 BinaryNumber_0100111 BinaryNumber_0001010 BinaryNumber_1010010 BinaryNumber_0011011 BinaryNumber_0010001 BinaryNumber_1011110
BinaryNumber_0010101 BinaryNumber_0110110 BinaryNumber_0001101 BinaryNumber_0001100 BinaryNumber_0100001 BinaryNumber_0100100 BinaryNumber_0101110 BinaryNumber_0001010 BinaryNumber_1000101 BinaryNumber_1011100
SquareNumber_4489 SquareNumber_1369 SquareNumber_144 SquareNumber_5184 SquareNumber_7225 SquareNumber_6889 SquareNumber_3600 SquareNumber_36 SquareNumber_2304 SquareNumber_1156
SquareNumber_1521 SquareNumber_6084 SquareNumber_225 SquareNumber_841 SquareNumber_8836 SquareNumber_7744 SquareNumber_1225 SquareNumber_3136 SquareNumber_441 SquareNumber_1936
SquareNumber_5329 SquareNumber_4 SquareNumber_7744 SquareNumber_25 SquareNumber_6889 SquareNumber_2401 SquareNumber_900 SquareNumber_4624 SquareNumber_1089 SquareNumber_6241
SquareNumber_841 SquareNumber_1849 SquareNumber_4900 SquareNumber_4489 SquareNumber_784 SquareNumber_3721 SquareNumber_4900 SquareNumber_196 SquareNumber_49 SquareNumber_5184
SquareNumber_2500 SquareNumber_441 SquareNumber_3364 SquareNumber_5776 SquareNumber_3969 SquareNumber_2209 SquareNumber_8836 SquareNumber_81 SquareNumber_9801 SquareNumber_2116
SquareNumber_400 SquareNumber_7569 SquareNumber_5476 SquareNumber_1936 SquareNumber_256 SquareNumber_8281 SquareNumber_1936 SquareNumber_400 SquareNumber_1369 SquareNumber_8649
SquareNumber_729 SquareNumber_6561 SquareNumber_64 SquareNumber_441 SquareNumber_5476 SquareNumber_9 SquareNumber_9604 SquareNumber_3969 SquareNumber_3844 SquareNumber_4356
SquareNumber_3481 SquareNumber_225 SquareNumber_2809 SquareNumber_1296 SquareNumber_81 SquareNumber_784 SquareNumber_8464 SquareNumber_6724 SquareNumber_2401 SquareNumber_484
SquareNumber_25 SquareNumber_3721 SquareNumber_49 SquareNumber_8100 SquareNumber_1089 SquareNumber_9409 SquareNumber_3844 SquareNumber_2704 SquareNumber_9025 SquareNumber_6084
SquareNumber_6561 SquareNumber_8836 SquareNumber_529 SquareNumber_6561 SquareNumber_9604 SquareNumber_3481 SquareNumber_4 SquareNumber_2704 SquareNumber_5329 SquareNumber_225
SquareNumber_1600 SquareNumber_6400 SquareNumber_4624 SquareNumber_3136 SquareNumber_3364 SquareNumber_2304 SquareNumber_4096 SquareNumber_9025 SquareNumber_9801 SquareNumber_676
