tough splendid gorgeous brave fair bad graceful misty elated comfortable
temperature__91c temperature__5c temperature__100c temperature__91c temperature__23c temperature__70c temperature__31c temperature__92c temperature__142c temperature__119c
temperature__112c temperature__144c temperature__87c temperature__10c temperature__7c temperature__54c temperature__44c temperature__39c temperature__138c temperature__130c
temperature__98c temperature__46c temperature__82c temperature__59c temperature__105c temperature__21c temperature__145c temperature__70c temperature__68c temperature__144c
temperature__53c temperature__51c temperature__79c temperature__147c temperature__137c temperature__57c temperature__118c temperature__119c temperature__78c temperature__86c
temperature__7c temperature__132c temperature__147c temperature__138c temperature__138c temperature__93c temperature__85c temperature__122c temperature__109c temperature__91c
temperature__59c temperature__86c temperature__122c temperature__132c temperature__130c temperature__64c temperature__49c temperature__93c temperature__145c temperature__142c
temperature__130c temperature__122c temperature__118c temperature__33c temperature__61c temperature__141c temperature__82c temperature__50c temperature__17c temperature__109c
temperature__24c temperature__27c temperature__33c temperature__144c temperature__137c temperature__6c temperature__65c temperature__122c temperature__146c temperature__49c
temperature__46c temperature__138c temperature__27c temperature__78c temperature__136c temperature__7c temperature__31c temperature__71c temperature__148c temperature__79c
temperature__30c temperature__119c temperature__124c temperature__2c temperature__2c temperature__39c temperature__86c temperature__34c temperature__79c temperature__86c
temperature__141c temperature__39c temperature__34c temperature__51c temperature__123c temperature__136c temperature__85c temperature__12c temperature__17c temperature__131c
