Mango Jackfruit Pawpaw Banana Longan Clementine Lime Mangosteen Mulberry Damson
CubeNumber_13824 CubeNumber_10648 CubeNumber_373248 CubeNumber_27 CubeNumber_884736 CubeNumber_157464 CubeNumber_512 CubeNumber_91125 CubeNumber_175616 CubeNumber_857375
CubeNumber_681472 CubeNumber_343 CubeNumber_857375 CubeNumber_117649 CubeNumber_262144 CubeNumber_12167 CubeNumber_438976 CubeNumber_373248 CubeNumber_274625 CubeNumber_4913
CubeNumber_512000 CubeNumber_1000 CubeNumber_140608 CubeNumber_389017 CubeNumber_12167 CubeNumber_438976 CubeNumber_456533 CubeNumber_42875 CubeNumber_79507 CubeNumber_140608
CubeNumber_551368 CubeNumber_10648 CubeNumber_185193 CubeNumber_250047 CubeNumber_27000 CubeNumber_46656 CubeNumber_830584 CubeNumber_729000 CubeNumber_27000 CubeNumber_68921
CubeNumber_46656 CubeNumber_166375 CubeNumber_19683 CubeNumber_24389 CubeNumber_729000 CubeNumber_10648 CubeNumber_300763 CubeNumber_59319 CubeNumber_493039 CubeNumber_912673
SquareNumber_784 SquareNumber_1681 SquareNumber_441 SquareNumber_8100 SquareNumber_16 SquareNumber_8281 SquareNumber_576 SquareNumber_3481 SquareNumber_2304 SquareNumber_5184
SquareNumber_1764 SquareNumber_8836 SquareNumber_2304 SquareNumber_729 SquareNumber_49 SquareNumber_6724 SquareNumber_3481 SquareNumber_9801 SquareNumber_3600 SquareNumber_9216
SquareNumber_144 SquareNumber_9216 SquareNumber_7396 SquareNumber_1089 SquareNumber_100 SquareNumber_5929 SquareNumber_144 SquareNumber_4761 SquareNumber_1156 SquareNumber_625
SquareNumber_5184 SquareNumber_4624 SquareNumber_64 SquareNumber_4225 SquareNumber_4761 SquareNumber_5329 SquareNumber_400 SquareNumber_961 SquareNumber_484 SquareNumber_5184
SquareNumber_9801 SquareNumber_8281 SquareNumber_289 SquareNumber_16 SquareNumber_49 SquareNumber_225 SquareNumber_5476 SquareNumber_5929 SquareNumber_1296 SquareNumber_5329
SquareNumber_1089 SquareNumber_5625 SquareNumber_529 SquareNumber_9216 SquareNumber_4624 SquareNumber_196 SquareNumber_324 SquareNumber_2704 SquareNumber_2116 SquareNumber_1156
SquareNumber_1156 SquareNumber_4624 SquareNumber_1681 SquareNumber_7921 SquareNumber_1600 SquareNumber_6400 SquareNumber_7396 SquareNumber_144 SquareNumber_5776 SquareNumber_81
SquareNumber_625 SquareNumber_361 SquareNumber_144 SquareNumber_2601 SquareNumber_196 SquareNumber_900 SquareNumber_4900 SquareNumber_196 SquareNumber_729 SquareNumber_7744
SquareNumber_5776 SquareNumber_1936 SquareNumber_2601 SquareNumber_400 SquareNumber_1369 SquareNumber_6889 SquareNumber_8281 SquareNumber_2401 SquareNumber_121 SquareNumber_1024
SquareNumber_7569 SquareNumber_8836 SquareNumber_7225 SquareNumber_729 SquareNumber_3481 SquareNumber_3721 SquareNumber_81 SquareNumber_144 SquareNumber_6084 SquareNumber_3481
SquareNumber_9604 SquareNumber_676 SquareNumber_9 SquareNumber_3844 SquareNumber_4489 SquareNumber_5329 SquareNumber_1089 SquareNumber_1936 SquareNumber_25 SquareNumber_196
