excited wrong spotless embarrassed nice cooperative relieved rich selfish angry
BinaryNumber_1000111 BinaryNumber_0110100 BinaryNumber_0101010 BinaryNumber_1011011 BinaryNumber_0001000 BinaryNumber_1010001 BinaryNumber_0100011 BinaryNumber_0010000 BinaryNumber_0010010 BinaryNumber_0111100
Ximenia Fig Persimmon Pomegranate Loganberry Currant Quince Pomelo Apple Sapodilla
Lulo Cempedak Orange Jostaberry Ackee Peach Salak Yuzu Watermelon Huckleberry
Date Cantaloupe Pineapple Jackfruit Peach Peach Honeyberry Tamarind Loquat Quince
Kiwano Clementine Sapodilla Bilberry Banana Kiwano Sapodilla Cantaloupe Cantaloupe Raspberry
Araza Cloudberry Lime Blueberry Avocado Pawpaw Redcurrant Cempedak Cherimoya Grape
Tamarind Huckleberry Huckleberry Loganberry Cantaloupe Pear Yuzu Pineberry Coconut Date
Raspberry Guava Grapefruit Nance Raisin Passionfruit Lulo Orange Blackcurrant Feijoa
Prune Cranberry Raspberry Watermelon Blueberry Jujube Fig Damson Marionberry Loquat
Mulberry Cranberry Cashew Melon Tangerine Yuzu Jostaberry Pear Mulberry Lulo
Kiwifruit Abiu Guava Breadfruit Akebi Loquat Tamarillo Nectarine Pear Plum
Pomegranate Tangelo Apricot Lemon Papaya Lulo Lulo Jujube Grapefruit Loganberry
