NavajoWhite DarkSeaGreen Linen Feldspar Lime OldLace MediumAquamarine CadetBlue LightCoral LavenderBlush
BinaryNumber_0110101 BinaryNumber_1000101 BinaryNumber_1001010 BinaryNumber_1011101 BinaryNumber_1011001 BinaryNumber_1010011 BinaryNumber_0101011 BinaryNumber_0011101 BinaryNumber_0000110 BinaryNumber_1010111
BinaryNumber_0101011 BinaryNumber_0111101 BinaryNumber_0101111 BinaryNumber_0100010 BinaryNumber_1000110 BinaryNumber_0111101 BinaryNumber_1100010 BinaryNumber_1100011 BinaryNumber_0001000 BinaryNumber_0110001
Tendons Teeth Arteries Thalamus Iris Mouth Tongue Analcanal Pharynx Kidneys
Cornea Middleear Tendons Largeintestine Larynx Cerebellum Analcanal Penis Ureter Capillaries
Middleear Ileum Middleear Bronchi Largeintestine Mesentery Middleear Bone  Larynx Cochlea
Cerebellum Iris Largeintestine Penis Lymphaticvessel Ganglia Nerves Urethra Esophagus Smallintestine
Cornea Middleear Tongue Clitoris Scrotum Eye Innerear Arteries Innerear Kidneys
Pharynx Cornea Capillaries Pharynx Ureter Innerear Liver Larynx Brain Placenta
Outerear Mouth Kidneys Cecum Trachea Esophagus Thymus Bladder Liver Lips
Analcanal Largeintestine Smallintestine Analcanal Cranialnerves Ossicles Nerves Earlobe Outerear Heart
Vagina Bladder Middleear Brain Cecum Cranialnerves Duodenum skeleton Cochlea Rectum
Jejunum Uterus Cecum Pons Lungs Pharynx Cervix Ileum Cornea Placenta
Stomach Capillaries Fallopiantubes Cornea Lens Cecum Tongue Pharynx Ear Uterus
17:17 17:41 14:59 11:57 21:54 20:23 13:27 12:35 19:58 14:12
23:15 12:19 16:57 20:47 22:20 12:57 12:59 10:58 20:14 22:19
10:45 13:20 20:10 23:56 11:50 20:15 15:17 19:54 16:31 17:24
13:51 18:37 20:20 20:21 12:17 21:45 17:10 13:35 22:52 14:29
22:36 10:29 18:55 12:53 13:49 21:14 16:23 19:32 18:39 21:21
19:19 18:40 18:33 21:34 12:37 20:33 18:15 13:10 16:34 18:56
17:45 14:32 13:55 18:28 18:53 10:45 15:53 19:17 14:53 23:27
10:41 17:37 10:28 17:37 10:13 15:43 10:39 13:56 16:14 23:18
11:18 12:18 19:11 17:47 14:24 15:31 13:42 13:15 22:56 14:11
19:14 15:16 15:15 21:14 14:12 14:17 14:58 15:23 15:56 14:19
20:14 17:46 13:36 11:12 15:53 19:23 13:42 10:56 15:40 11:39
