metal muses maps clarinet roulade reharmonize pizzicato bassline bugle tonality
temperature__10c temperature__130c temperature__78c temperature__116c temperature__42c temperature__140c temperature__79c temperature__34c temperature__131c temperature__86c
20:46 22:19 21:38 20:12 15:52 10:16 12:31 15:50 11:37 14:23
23:55 10:52 21:48 17:49 13:21 20:40 20:17 19:23 17:20 22:34
11:53 13:11 15:16 23:20 12:41 16:15 16:35 19:35 13:12 18:23
10:37 22:34 12:39 23:16 13:48 14:58 19:40 21:38 14:42 13:11
13:21 10:39 21:22 23:10 21:33 21:46 13:40 23:14 16:45 13:31
10:19 22:26 14:11 23:53 10:10 15:48 18:58 14:57 17:26 17:19
11:46 20:48 23:28 21:48 22:17 16:13 16:56 22:21 21:29 12:28
10:50 10:56 11:53 14:45 15:54 12:37 12:25 11:42 16:52 12:11
13:36 10:47 13:25 13:40 10:26 14:42 20:30 14:33 12:18 21:47
13:23 15:54 15:32 21:31 14:15 10:21 15:50 15:33 16:45 14:13
18:59 21:54 10:13 12:39 23:47 20:50 17:48 19:58 19:48 12:48
