bamboozle temptation hypocrisy accusation intimidation dictatorship authoritarian proxy coterie cadre
thankful thoughtless difficult tame joyous worried tense weary successful annoying
cruel doubtful thoughtless obnoxious perfect clean super wild super gleaming
foolish average naughty excited determined homely mushy busy lonely poor
CubeNumber_74088 CubeNumber_1331 CubeNumber_140608 CubeNumber_148877 CubeNumber_85184 CubeNumber_13824 CubeNumber_753571 CubeNumber_636056 CubeNumber_373248 CubeNumber_103823
CubeNumber_216000 CubeNumber_50653 CubeNumber_13824 CubeNumber_373248 CubeNumber_15625 CubeNumber_24389 CubeNumber_493039 CubeNumber_8 CubeNumber_493039 CubeNumber_185193
CubeNumber_10648 CubeNumber_74088 CubeNumber_27 CubeNumber_110592 CubeNumber_343000 CubeNumber_19683 CubeNumber_636056 CubeNumber_166375 CubeNumber_830584 CubeNumber_941192
CubeNumber_912673 CubeNumber_389017 CubeNumber_4096 CubeNumber_15625 CubeNumber_64 CubeNumber_357911 CubeNumber_8000 CubeNumber_804357 CubeNumber_300763 CubeNumber_12167
CubeNumber_857375 CubeNumber_884736 CubeNumber_6859 CubeNumber_274625 CubeNumber_250047 CubeNumber_314432 CubeNumber_262144 CubeNumber_438976 CubeNumber_216000 CubeNumber_68921
CubeNumber_59319 CubeNumber_50653 CubeNumber_9261 CubeNumber_74088 CubeNumber_29791 CubeNumber_29791 CubeNumber_753571 CubeNumber_17576 CubeNumber_287496 CubeNumber_175616
CubeNumber_97336 CubeNumber_681472 CubeNumber_125 CubeNumber_216000 CubeNumber_262144 CubeNumber_85184 CubeNumber_117649 CubeNumber_195112 CubeNumber_13824 CubeNumber_42875
CubeNumber_216 CubeNumber_35937 CubeNumber_512 CubeNumber_343 CubeNumber_389017 CubeNumber_343 CubeNumber_64 CubeNumber_729 CubeNumber_42875 CubeNumber_300763
CubeNumber_1000 CubeNumber_328509 CubeNumber_421875 CubeNumber_314432 CubeNumber_46656 CubeNumber_13824 CubeNumber_205379 CubeNumber_15625 CubeNumber_512000 CubeNumber_238328
CubeNumber_85184 CubeNumber_9261 CubeNumber_110592 CubeNumber_729 CubeNumber_12167 CubeNumber_389017 CubeNumber_729000 CubeNumber_42875 CubeNumber_592704 CubeNumber_389017
CubeNumber_27 CubeNumber_50653 CubeNumber_15625 CubeNumber_314432 CubeNumber_753571 CubeNumber_59319 CubeNumber_8 CubeNumber_148877 CubeNumber_216 CubeNumber_753571
temperature__63c temperature__70c temperature__44c temperature__44c temperature__79c temperature__30c temperature__100c temperature__100c temperature__146c temperature__126c
temperature__137c temperature__30c temperature__14c temperature__144c temperature__109c temperature__129c temperature__118c temperature__147c temperature__146c temperature__57c
temperature__78c temperature__131c temperature__56c temperature__84c temperature__95c temperature__5c temperature__24c temperature__22c temperature__21c temperature__44c
temperature__68c temperature__116c temperature__17c temperature__140c temperature__41c temperature__2c temperature__111c temperature__77c temperature__142c temperature__24c
temperature__105c temperature__11c temperature__5c temperature__119c temperature__77c temperature__118c temperature__31c temperature__0c temperature__141c temperature__10c
temperature__73c temperature__100c temperature__90c temperature__53c temperature__42c temperature__120c temperature__71c temperature__111c temperature__8c temperature__130c
temperature__23c temperature__144c temperature__7c temperature__112c temperature__49c temperature__51c temperature__138c temperature__11c temperature__112c temperature__21c
temperature__100c temperature__109c temperature__14c temperature__77c temperature__22c temperature__124c temperature__131c temperature__130c temperature__116c temperature__5c
temperature__24c temperature__36c temperature__106c temperature__34c temperature__52c temperature__0c temperature__74c temperature__136c temperature__116c temperature__6c
temperature__147c temperature__2c temperature__68c temperature__4c temperature__26c temperature__120c temperature__105c temperature__7c temperature__119c temperature__122c
temperature__78c temperature__98c temperature__59c temperature__53c temperature__112c temperature__42c temperature__90c temperature__70c temperature__77c temperature__77c
