gangsterism suspense homicides punitive massacre offence offenses legislature statutory bloodshed
physical supersport champion athletes esport sports activity social dynamic referee
Apple Abiu Plantain Bilberry Breadfruit Durian Melon Ximenia Açaí Redcurrant
Yuzu Breadfruit Marionberry Durian Quince Raspberry Soursop Sapodilla Cherry Soursop
Pawpaw Satsuma Grapefruit Canistel Nance Araza Mandarine Banana Watermelon Kiwifruit
Tangerine Rambutan  Pawpaw Blackberry Marionberry Lime Longan Fig Gooseberry Gooseberry
Sapodilla Lulo Breadfruit Pineberry Jambul Marionberry Honeydew Mandarine Sapodilla Soursop
Akebi Tamarillo Blackcurrant Durian Pear Sapodilla Cashew Loganberry Apple Apple
Canistel Banana Acerola Banana Açaí Boysenberry Pear Honeydew Watermelon Strawberry
Cantaloupe Plumcot Cherimoya Strawberry Mangosteen Persimmon Salmonberry Lemon Pineberry Canistel
Grape Kiwifruit Lemon Longan Kiwano Lulo Abiu Lychee Breadfruit Kiwifruit
Date Passionfruit Cantaloupe Sapote Watermelon Feijoa Orange Boysenberry Lime Lime
Cashew Banana Banana Elderberry Apricot Blackcurrant Prune Pomegranate Sapote Coconut
BinaryNumber_1000010 BinaryNumber_1001000 BinaryNumber_0101110 BinaryNumber_1000110 BinaryNumber_0101100 BinaryNumber_0110101 BinaryNumber_1001010 BinaryNumber_0101111 BinaryNumber_0110101 BinaryNumber_0100001
BinaryNumber_0101010 BinaryNumber_0100010 BinaryNumber_1100001 BinaryNumber_1011100 BinaryNumber_0111111 BinaryNumber_1000000 BinaryNumber_1010000 BinaryNumber_0111001 BinaryNumber_1000001 BinaryNumber_1100001
BinaryNumber_0011101 BinaryNumber_0101001 BinaryNumber_0000010 BinaryNumber_0110110 BinaryNumber_0010001 BinaryNumber_1010011 BinaryNumber_0000000 BinaryNumber_1001011 BinaryNumber_0100011 BinaryNumber_0110100
BinaryNumber_0111101 BinaryNumber_0110110 BinaryNumber_0010111 BinaryNumber_0000001 BinaryNumber_1000001 BinaryNumber_0100000 BinaryNumber_0001001 BinaryNumber_1001011 BinaryNumber_0010100 BinaryNumber_0110110
BinaryNumber_1011001 BinaryNumber_0111010 BinaryNumber_0001110 BinaryNumber_1000111 BinaryNumber_1011001 BinaryNumber_1000101 BinaryNumber_0110111 BinaryNumber_0111100 BinaryNumber_1011011 BinaryNumber_0001100
BinaryNumber_0110010 BinaryNumber_1011000 BinaryNumber_1011000 BinaryNumber_1001111 BinaryNumber_0101101 BinaryNumber_0001000 BinaryNumber_0011111 BinaryNumber_1000011 BinaryNumber_1011010 BinaryNumber_0111110
BinaryNumber_1000010 BinaryNumber_0101011 BinaryNumber_0111100 BinaryNumber_1011110 BinaryNumber_0110110 BinaryNumber_1010001 BinaryNumber_0111101 BinaryNumber_0100101 BinaryNumber_1100001 BinaryNumber_0011000
BinaryNumber_1010011 BinaryNumber_0100110 BinaryNumber_1000001 BinaryNumber_0010111 BinaryNumber_1000000 BinaryNumber_0111101 BinaryNumber_0111010 BinaryNumber_0101011 BinaryNumber_0110110 BinaryNumber_1000110
BinaryNumber_1010100 BinaryNumber_0110010 BinaryNumber_0111111 BinaryNumber_1000001 BinaryNumber_0101110 BinaryNumber_0000101 BinaryNumber_1011110 BinaryNumber_0011111 BinaryNumber_1011010 BinaryNumber_0010000
BinaryNumber_0000010 BinaryNumber_0011101 BinaryNumber_1001010 BinaryNumber_0010111 BinaryNumber_1100010 BinaryNumber_0101100 BinaryNumber_0010110 BinaryNumber_0000011 BinaryNumber_0110101 BinaryNumber_1010001
BinaryNumber_0000100 BinaryNumber_0011100 BinaryNumber_0010111 BinaryNumber_0100001 BinaryNumber_0011000 BinaryNumber_1011101 BinaryNumber_0111101 BinaryNumber_0011000 BinaryNumber_0000100 BinaryNumber_0011111
CubeNumber_4913 CubeNumber_4096 CubeNumber_343 CubeNumber_262144 CubeNumber_493039 CubeNumber_314432 CubeNumber_804357 CubeNumber_1331 CubeNumber_474552 CubeNumber_438976
CubeNumber_389017 CubeNumber_175616 CubeNumber_35937 CubeNumber_226981 CubeNumber_474552 CubeNumber_27000 CubeNumber_274625 CubeNumber_912673 CubeNumber_110592 CubeNumber_456533
CubeNumber_59319 CubeNumber_64000 CubeNumber_778688 CubeNumber_157464 CubeNumber_132651 CubeNumber_185193 CubeNumber_216 CubeNumber_912673 CubeNumber_205379 CubeNumber_13824
CubeNumber_17576 CubeNumber_12167 CubeNumber_157464 CubeNumber_79507 CubeNumber_493039 CubeNumber_125000 CubeNumber_27000 CubeNumber_9261 CubeNumber_185193 CubeNumber_32768
CubeNumber_59319 CubeNumber_531441 CubeNumber_2744 CubeNumber_27000 CubeNumber_614125 CubeNumber_19683 CubeNumber_54872 CubeNumber_103823 CubeNumber_10648 CubeNumber_4913
CubeNumber_300763 CubeNumber_274625 CubeNumber_50653 CubeNumber_857375 CubeNumber_64 CubeNumber_884736 CubeNumber_148877 CubeNumber_804357 CubeNumber_857375 CubeNumber_97336
CubeNumber_830584 CubeNumber_4096 CubeNumber_91125 CubeNumber_704969 CubeNumber_830584 CubeNumber_438976 CubeNumber_804357 CubeNumber_110592 CubeNumber_857375 CubeNumber_29791
CubeNumber_357911 CubeNumber_314432 CubeNumber_64000 CubeNumber_314432 CubeNumber_125000 CubeNumber_125 CubeNumber_27000 CubeNumber_250047 CubeNumber_166375 CubeNumber_39304
CubeNumber_50653 CubeNumber_3375 CubeNumber_64000 CubeNumber_729000 CubeNumber_79507 CubeNumber_474552 CubeNumber_1331 CubeNumber_64 CubeNumber_157464 CubeNumber_216
CubeNumber_12167 CubeNumber_2744 CubeNumber_262144 CubeNumber_1728 CubeNumber_405224 CubeNumber_474552 CubeNumber_5832 CubeNumber_35937 CubeNumber_226981 CubeNumber_19683
CubeNumber_512 CubeNumber_195112 CubeNumber_941192 CubeNumber_912673 CubeNumber_274625 CubeNumber_857375 CubeNumber_117649 CubeNumber_27000 CubeNumber_456533 CubeNumber_91125
