Capillaries Joints Muscle Smallintestine Middleear Clitoris Ovaries Penis Iris Bone 
fermata bassline bands language bass poetry part banjo performance funk
production albums hyperpop talk silence record ragtime artists chorus timbre
score beats bpm rhapsody classical subtonic ska musical euphony tone
symphonise instrument video performance music score album flute sfx soundtrack
12:15 15:22 15:40 13:13 23:51 13:16 10:43 19:55 13:11 18:57
17:32 13:49 21:48 22:18 20:25 17:51 11:38 10:11 11:10 16:40
20:48 11:16 21:36 15:36 15:36 13:42 18:33 15:47 17:38 20:22
23:27 15:48 23:36 18:27 16:57 10:40 16:39 17:33 21:28 13:38
12:59 21:43 14:38 20:48 23:59 18:34 15:30 20:28 11:53 13:31
22:27 15:48 13:25 15:47 14:14 17:35 17:11 13:46 15:58 13:49
16:10 21:13 16:17 15:40 10:11 21:31 11:16 18:25 23:32 10:23
22:15 20:38 16:40 23:31 14:57 22:13 18:16 12:20 14:58 18:47
10:52 16:17 23:46 10:53 19:30 12:29 23:41 22:54 10:34 11:25
21:52 11:50 12:40 15:34 14:44 10:40 16:36 14:13 11:17 13:35
15:53 15:34 21:45 10:19 10:48 21:56 12:44 10:32 10:30 11:15
