cell processor laptopcomputer automation information arithmetic inputdevice von neumann machine dataconverter information
computerhardware monitor ibook memory router machine personalcomputer machines hardware electronics
BinaryNumber_1100010 BinaryNumber_1001010 BinaryNumber_0100011 BinaryNumber_1011101 BinaryNumber_0011000 BinaryNumber_1010111 BinaryNumber_1011111 BinaryNumber_1000010 BinaryNumber_0000010 BinaryNumber_0100000
BinaryNumber_0100000 BinaryNumber_0101110 BinaryNumber_1100011 BinaryNumber_1001010 BinaryNumber_0110011 BinaryNumber_1001000 BinaryNumber_0101101 BinaryNumber_0110101 BinaryNumber_0111101 BinaryNumber_0101100
BinaryNumber_0111001 BinaryNumber_1010100 BinaryNumber_0111001 BinaryNumber_0100101 BinaryNumber_1001100 BinaryNumber_0010010 BinaryNumber_1011111 BinaryNumber_1011111 BinaryNumber_0001001 BinaryNumber_0000000
BinaryNumber_1000100 BinaryNumber_0110000 BinaryNumber_1011000 BinaryNumber_0001001 BinaryNumber_0110101 BinaryNumber_0011010 BinaryNumber_0010010 BinaryNumber_0010001 BinaryNumber_0011110 BinaryNumber_1001101
BinaryNumber_0010010 BinaryNumber_0011100 BinaryNumber_1011000 BinaryNumber_0101011 BinaryNumber_1001000 BinaryNumber_1010001 BinaryNumber_0011101 BinaryNumber_1001111 BinaryNumber_0110000 BinaryNumber_0011010
BinaryNumber_1001011 BinaryNumber_1011010 BinaryNumber_0110101 BinaryNumber_0010111 BinaryNumber_1100011 BinaryNumber_1010111 BinaryNumber_1010110 BinaryNumber_0000111 BinaryNumber_1011011 BinaryNumber_0110110
BinaryNumber_0100000 BinaryNumber_1010101 BinaryNumber_0011111 BinaryNumber_1000011 BinaryNumber_0000101 BinaryNumber_0101011 BinaryNumber_0000101 BinaryNumber_0001000 BinaryNumber_0001001 BinaryNumber_0101111
BinaryNumber_0100110 BinaryNumber_1001100 BinaryNumber_0001011 BinaryNumber_0101011 BinaryNumber_0111111 BinaryNumber_0100001 BinaryNumber_0010110 BinaryNumber_0101010 BinaryNumber_1010111 BinaryNumber_0000001
BinaryNumber_0100001 BinaryNumber_1011011 BinaryNumber_0111011 BinaryNumber_0100000 BinaryNumber_0001100 BinaryNumber_1010010 BinaryNumber_1000000 BinaryNumber_0001001 BinaryNumber_0011100 BinaryNumber_0001001
BinaryNumber_1100011 BinaryNumber_0100010 BinaryNumber_1100000 BinaryNumber_0011001 BinaryNumber_0010111 BinaryNumber_0111001 BinaryNumber_1011001 BinaryNumber_1010001 BinaryNumber_0111110 BinaryNumber_0100101
elegant envious uptight helpless envious sleepy wandering silly aggressive real
amused blue annoying precious mushy arrogant perfect creepy cute wild
grumpy wild open cautious poor wicked thoughtful agreeable fierce inexpensive
odd defiant bad jolly silly fantastic putrid tame victorious nasty
dark nasty old-fashioned tasty careful annoyed itchy tender rich clever
enthusiastic anxious perfect thoughtful uptight blue combative careful fantastic unusual
careful brave helpless worrisome clever horrible smoggy shiny combative angry
pleasant naughty cruel real light smiling uninterested smiling bored light
enthusiastic thoughtless strange eager gorgeous fine plain prickly delightful cheerful
calm putrid tired stupid gentle determined elegant horrible gorgeous innocent
poor bad beautiful exuberant lonely condemned wicked hurt magnificent wicked
