playing musicality live piano clarinet literature musicology fermata sfx wagner
BinaryNumber_1001001 BinaryNumber_0011101 BinaryNumber_0111011 BinaryNumber_0001101 BinaryNumber_0111000 BinaryNumber_1001101 BinaryNumber_0101101 BinaryNumber_0100010 BinaryNumber_1000001 BinaryNumber_1011001
BinaryNumber_0111010 BinaryNumber_1011101 BinaryNumber_1000111 BinaryNumber_1000100 BinaryNumber_0010000 BinaryNumber_0100101 BinaryNumber_0111000 BinaryNumber_0000100 BinaryNumber_1000011 BinaryNumber_0100001
BinaryNumber_0000101 BinaryNumber_0111110 BinaryNumber_0101000 BinaryNumber_1100010 BinaryNumber_0111001 BinaryNumber_0001100 BinaryNumber_0111111 BinaryNumber_1000110 BinaryNumber_1011000 BinaryNumber_1010010
BinaryNumber_0110000 BinaryNumber_0001000 BinaryNumber_0111011 BinaryNumber_0100111 BinaryNumber_1000101 BinaryNumber_0001101 BinaryNumber_0100001 BinaryNumber_1001001 BinaryNumber_0001110 BinaryNumber_0000111
BinaryNumber_1000100 BinaryNumber_0110111 BinaryNumber_0111100 BinaryNumber_0110011 BinaryNumber_0100100 BinaryNumber_0110010 BinaryNumber_0110110 BinaryNumber_0100100 BinaryNumber_0001011 BinaryNumber_0001010
BinaryNumber_0111001 BinaryNumber_0000010 BinaryNumber_0101110 BinaryNumber_1010011 BinaryNumber_1011011 BinaryNumber_1011101 BinaryNumber_0111010 BinaryNumber_1001011 BinaryNumber_1001110 BinaryNumber_0001010
BinaryNumber_1001111 BinaryNumber_1001010 BinaryNumber_0100010 BinaryNumber_1100011 BinaryNumber_0110001 BinaryNumber_1001111 BinaryNumber_0100000 BinaryNumber_1011001 BinaryNumber_0111000 BinaryNumber_0000100
BinaryNumber_0000000 BinaryNumber_0110001 BinaryNumber_1010001 BinaryNumber_0101010 BinaryNumber_0111110 BinaryNumber_0101100 BinaryNumber_0000101 BinaryNumber_1000001 BinaryNumber_1100000 BinaryNumber_0101100
BinaryNumber_0111010 BinaryNumber_0011011 BinaryNumber_0010100 BinaryNumber_0000100 BinaryNumber_0011100 BinaryNumber_1011111 BinaryNumber_0010100 BinaryNumber_1011001 BinaryNumber_0100010 BinaryNumber_0100111
BinaryNumber_1010001 BinaryNumber_0000010 BinaryNumber_0110100 BinaryNumber_1000111 BinaryNumber_0000111 BinaryNumber_1011000 BinaryNumber_1011000 BinaryNumber_0000110 BinaryNumber_1001001 BinaryNumber_0100111
BinaryNumber_1100000 BinaryNumber_1001011 BinaryNumber_1011001 BinaryNumber_0000101 BinaryNumber_0011101 BinaryNumber_0111100 BinaryNumber_1001111 BinaryNumber_0110000 BinaryNumber_1001110 BinaryNumber_1000110
