Guava Honeydew Sapodilla Apricot Pineapple Ackee Peach Mandarine Quince Prune
BinaryNumber_0000100 BinaryNumber_0010000 BinaryNumber_0101000 BinaryNumber_1010000 BinaryNumber_0100010 BinaryNumber_1000111 BinaryNumber_1100000 BinaryNumber_1010101 BinaryNumber_0111100 BinaryNumber_0000010
BinaryNumber_0100100 BinaryNumber_1010000 BinaryNumber_1011100 BinaryNumber_0011101 BinaryNumber_0010000 BinaryNumber_0001001 BinaryNumber_0011111 BinaryNumber_0111111 BinaryNumber_1001000 BinaryNumber_1001000
BinaryNumber_0111111 BinaryNumber_0101011 BinaryNumber_0110010 BinaryNumber_1011101 BinaryNumber_0010010 BinaryNumber_1000000 BinaryNumber_1010000 BinaryNumber_0010001 BinaryNumber_0011101 BinaryNumber_0011011
BinaryNumber_0011100 BinaryNumber_0111110 BinaryNumber_0111001 BinaryNumber_0011000 BinaryNumber_0110011 BinaryNumber_1011100 BinaryNumber_1011010 BinaryNumber_1001111 BinaryNumber_0000011 BinaryNumber_0100101
BinaryNumber_0101110 BinaryNumber_0110101 BinaryNumber_0110001 BinaryNumber_0101010 BinaryNumber_0011000 BinaryNumber_0010101 BinaryNumber_1001111 BinaryNumber_0111000 BinaryNumber_0001100 BinaryNumber_0001100
13:50 10:32 15:14 12:19 22:40 21:55 10:20 18:26 18:18 19:34
19:25 11:53 17:49 21:16 23:35 17:52 21:53 11:46 11:26 12:38
17:58 21:40 17:14 17:20 21:42 15:41 18:11 17:12 23:42 21:43
16:48 17:16 13:54 12:52 20:41 22:36 14:35 22:18 20:16 18:20
18:11 15:11 10:27 19:30 10:27 13:35 10:46 14:57 19:29 17:10
21:15 11:18 16:58 20:39 16:33 13:34 12:22 23:15 17:51 17:37
15:43 12:25 11:25 17:16 17:15 15:39 12:37 14:34 12:49 21:12
21:23 21:33 22:35 10:31 15:23 11:46 14:50 17:22 20:11 12:27
16:36 17:19 16:38 13:46 23:13 18:51 14:21 14:46 17:21 12:27
13:25 13:57 15:29 12:23 23:30 20:45 22:13 14:12 18:56 22:21
14:15 23:42 21:56 13:25 21:58 15:38 12:18 16:26 18:49 13:55
black misty drab distinct agreeable stupid wandering wide-eyed cheerful handsome
glamorous putrid stupid victorious puzzled obnoxious wrong wandering smoggy bewildered
awful depressed tasty vivacious worrisome super combative fair average black
outstanding filthy enthusiastic careful frail strange tame tough grumpy determined
kind precious worrisome uninterested important dangerous vivacious rich elated excited
beautiful defeated plain expensive dead ugly ugly light brave awful
disgusted perfect shy defeated troubled modern splendid brainy worrisome handsome
beautiful troubled wrong defiant lonely proud famous fair dead curious
victorious jolly obnoxious blue-eyed easy repulsive mushy long inquisitive gleaming
powerful arrogant adorable crowded odd nutty better dull blue encouraging
misty weary troubled hurt strange vast eager arrogant terrible good
