resignation feud partial anonymity empire coercion persecution proxy patronage reputation
DarkGoldenrod NavajoWhite DarkGray Gray Yellow Aquamarine DarkOliveGreen MidnightBlue LightCoral LemonChiffon
PowderBlue Green MistyRose Gainsboro Red Moccasin SkyBlue Peru MediumSlateBlue Seashell
AntiqueWhite SlateBlue Seashell Turquoise LightSlateGray DarkGreen LightSeaGreen DarkOliveGreen MidnightBlue DarkTurquoise
Goldenrod Azure Wheat Fuchsia Brown NavajoWhite Cornsilk VioletRed Green White
MediumSeaGreen Black NavajoWhite RoyalBlue Orchid Chartreuse GhostWhite PeachPuff DeepPink Maroon
LightGreen MediumAquamarine DarkSalmon DarkGoldenrod LightGray Beige WhiteSmoke Chocolate WhiteSmoke Black
MediumSeaGreen Black GhostWhite Feldspar DarkGreen MediumVioletRed NavajoWhite DarkSeaGreen Cyan LimeGreen
predatoryanimal poikilotherm insectivorous fleshly animals raccoon object elephants pups shelter
pitbull darter llamas thoroughbred tiger scavenger monster pigs pet pet
carnivore clams fleshly insectivore octopuses livestock mythical zoology animalkingdom jellyfish
dog porifera domesticate zooplankton fauna reptile object darter dogs embryo
insects cat livestock meat bear llamas workanimal llamas monster insectivore
reptile animatebeing darter eukaryotic fantasy superdog pig feline iguana insects
demon tufted rodent fauna darter zoology dinosaur deer insectivore mammal
fish livestock rabbit pitbull bobcat farming primate clams heterotroph llamas
insectivorous wildlife dog pigs farming zoo mammals vegan vertebrate puppy
zoo ladybug pigs domesticate carnal dinosaur marineanimal vegan marineanimal zoology
jellyfish superdog octopuses animal welfare puppy frog workanimal feline marineanimal shelter
energetic friendly confused panicky cautious sparkling exuberant bloody hungry putrid
amused fine perfect envious open innocent dark colorful wicked adventurous
lucky hurt easy brainy mushy dark excited homeless cooperative blue
relieved better defeated doubtful jittery jittery crazy bored plain clear
zany mushy jittery zealous doubtful tame sparkling clear precious cute
light ill cooperative clear funny cruel zealous obnoxious inquisitive beautiful
curious combative obedient bewildered hungry attractive fantastic determined lazy dead
fine modern wandering friendly tired frantic blue-eyed angry easy cruel
clean disturbed calm tough unsightly stupid sparkling wild outstanding blushing
long nervous depressed grieving kind precious outrageous clear thoughtless poor
bright zealous strange important drab ugly happy happy precious creepy
BinaryNumber_0101100 BinaryNumber_0011010 BinaryNumber_1011100 BinaryNumber_0100100 BinaryNumber_1001101 BinaryNumber_1000101 BinaryNumber_0001110 BinaryNumber_1001110 BinaryNumber_1010101 BinaryNumber_1001111
BinaryNumber_0000110 BinaryNumber_0000100 BinaryNumber_0110101 BinaryNumber_0001000 BinaryNumber_0111000 BinaryNumber_0010001 BinaryNumber_0010111 BinaryNumber_0110010 BinaryNumber_1100010 BinaryNumber_0000110
BinaryNumber_1011011 BinaryNumber_0010011 BinaryNumber_0011000 BinaryNumber_0111010 BinaryNumber_0000111 BinaryNumber_1001111 BinaryNumber_0010001 BinaryNumber_0000001 BinaryNumber_0100011 BinaryNumber_0000101
BinaryNumber_1000111 BinaryNumber_0001100 BinaryNumber_1010101 BinaryNumber_0101100 BinaryNumber_0101111 BinaryNumber_0000011 BinaryNumber_1001000 BinaryNumber_1001110 BinaryNumber_1010110 BinaryNumber_1000001
BinaryNumber_0011110 BinaryNumber_1100000 BinaryNumber_0000111 BinaryNumber_0000011 BinaryNumber_1001000 BinaryNumber_0100000 BinaryNumber_0000110 BinaryNumber_0100111 BinaryNumber_0001101 BinaryNumber_0100011
BinaryNumber_0100100 BinaryNumber_1000111 BinaryNumber_1010101 BinaryNumber_0010001 BinaryNumber_1001100 BinaryNumber_0001111 BinaryNumber_0010011 BinaryNumber_0000111 BinaryNumber_1011110 BinaryNumber_0011111
BinaryNumber_1001001 BinaryNumber_1100000 BinaryNumber_0010010 BinaryNumber_0110001 BinaryNumber_1000111 BinaryNumber_1000111 BinaryNumber_0100110 BinaryNumber_0110101 BinaryNumber_0001011 BinaryNumber_1001011
BinaryNumber_1010011 BinaryNumber_1011010 BinaryNumber_0010011 BinaryNumber_0001110 BinaryNumber_1010110 BinaryNumber_1011000 BinaryNumber_1100011 BinaryNumber_0100000 BinaryNumber_1010111 BinaryNumber_0001110
BinaryNumber_1001001 BinaryNumber_0111000 BinaryNumber_0000110 BinaryNumber_0111001 BinaryNumber_1011010 BinaryNumber_1011101 BinaryNumber_0101001 BinaryNumber_0101010 BinaryNumber_0110111 BinaryNumber_1010110
BinaryNumber_1010100 BinaryNumber_0000101 BinaryNumber_1011111 BinaryNumber_0111001 BinaryNumber_0010011 BinaryNumber_1000010 BinaryNumber_1000011 BinaryNumber_0001101 BinaryNumber_1100001 BinaryNumber_0001101
BinaryNumber_0000111 BinaryNumber_0100010 BinaryNumber_0010001 BinaryNumber_0110000 BinaryNumber_0010111 BinaryNumber_1001011 BinaryNumber_0101010 BinaryNumber_1010011 BinaryNumber_1011010 BinaryNumber_0110110
SquareNumber_16 SquareNumber_4096 SquareNumber_25 SquareNumber_289 SquareNumber_2401 SquareNumber_36 SquareNumber_1681 SquareNumber_5184 SquareNumber_2500 SquareNumber_49
SquareNumber_121 SquareNumber_144 SquareNumber_784 SquareNumber_5776 SquareNumber_400 SquareNumber_1369 SquareNumber_3136 SquareNumber_36 SquareNumber_324 SquareNumber_49
SquareNumber_6084 SquareNumber_2916 SquareNumber_8464 SquareNumber_9801 SquareNumber_16 SquareNumber_64 SquareNumber_121 SquareNumber_36 SquareNumber_625 SquareNumber_3364
SquareNumber_1764 SquareNumber_256 SquareNumber_900 SquareNumber_8836 SquareNumber_8836 SquareNumber_1156 SquareNumber_4225 SquareNumber_4356 SquareNumber_9604 SquareNumber_5625
SquareNumber_144 SquareNumber_8464 SquareNumber_6241 SquareNumber_8281 SquareNumber_256 SquareNumber_9025 SquareNumber_729 SquareNumber_4356 SquareNumber_4225 SquareNumber_324
SquareNumber_2401 SquareNumber_1444 SquareNumber_1521 SquareNumber_121 SquareNumber_5929 SquareNumber_7569 SquareNumber_169 SquareNumber_2601 SquareNumber_484 SquareNumber_961
SquareNumber_3721 SquareNumber_5184 SquareNumber_2500 SquareNumber_9025 SquareNumber_1600 SquareNumber_3844 SquareNumber_7921 SquareNumber_6084 SquareNumber_5476 SquareNumber_784
SquareNumber_529 SquareNumber_7396 SquareNumber_2401 SquareNumber_4096 SquareNumber_3249 SquareNumber_2601 SquareNumber_900 SquareNumber_1225 SquareNumber_6889 SquareNumber_400
SquareNumber_8649 SquareNumber_49 SquareNumber_3136 SquareNumber_324 SquareNumber_361 SquareNumber_576 SquareNumber_1849 SquareNumber_5776 SquareNumber_4 SquareNumber_4
SquareNumber_3249 SquareNumber_784 SquareNumber_1521 SquareNumber_8464 SquareNumber_1089 SquareNumber_3025 SquareNumber_6561 SquareNumber_9 SquareNumber_3481 SquareNumber_324
SquareNumber_2116 SquareNumber_2601 SquareNumber_10000 SquareNumber_36 SquareNumber_729 SquareNumber_4 SquareNumber_5929 SquareNumber_5476 SquareNumber_8836 SquareNumber_8100
Mango Feijoa Kumquat Lemon Kumquat Salmonberry Nance Jackfruit Satsuma Blueberry
Plumcot Salak Lime Pear Persimmon Feijoa Marionberry Redcurrant Clementine Kiwano
Ximenia Ximenia Canistel Boysenberry Sapote Blueberry Blackcurrant Pomegranate Papaya Guava
Sapodilla Satsuma Honeydew Honeydew Pineberry Strawberry Pawpaw Cempedak Quince Pomelo
Loganberry Fig Plumcot Watermelon Salak Fig Boysenberry Raspberry Jambul Canistel
Boysenberry Kiwifruit Rambutan  Longan Rambutan  Soursop Clementine Mandarine Plum Akebi
Clementine Avocado Plumcot Canistel Pawpaw Cantaloupe Blackcurrant Damson Yuzu Papaya
Cherry Banana Breadfruit Clementine Raisin Orange Fig Honeydew Blackcurrant Pear
Jostaberry Kiwifruit Cherimoya Raisin Watermelon Prune Guava Kiwano Prune Blackcurrant
Blueberry Boysenberry Plantain Loganberry Nance Fig Tangerine Tamarillo Tamarind Redcurrant
Blueberry Yuzu Loquat Tangerine Sapodilla Mandarine Marionberry Sapodilla Pineberry Raspberry
