jurisdiction criminals abuse arrest cop homicide noir barratry trafficking crisis
18:29 23:17 23:26 23:55 13:30 21:38 10:43 23:29 17:51 11:37
20:54 12:57 11:25 16:32 13:12 17:39 17:16 22:55 21:20 20:33
20:40 22:59 11:56 11:37 15:25 10:59 21:50 23:22 23:27 14:55
16:45 19:16 10:20 14:30 21:59 10:39 13:40 23:41 12:12 20:58
13:19 11:36 18:24 11:26 23:53 18:54 23:57 19:51 12:51 21:51
18:49 23:38 20:21 21:40 21:37 12:40 14:35 21:18 23:16 23:35
20:17 11:52 21:52 16:54 13:43 16:39 21:14 20:32 14:14 13:59
12:10 10:48 12:55 16:44 16:47 21:26 17:44 12:40 21:53 19:16
23:31 20:55 10:41 21:11 13:59 22:24 17:30 15:30 15:11 10:19
LightCyan Navy Snow LightSlateGray Sienna Moccasin GhostWhite DarkOliveGreen Khaki GreenYellow
Lime Ivory AntiqueWhite Teal DarkTurquoise PaleVioletRed LightPink LightBlue DodgerBlue SeaGreen
NavajoWhite LightGoldenrodYellow Linen Goldenrod MistyRose Ivory SandyBrown GreenYellow Chartreuse DarkFuchsia
Violet Tan Snow DarkSeaGreen LightCyan LightSlateBlue Firebrick MidnightBlue LightBlue Moccasin
LightGoldenrod Tomato Gray CadetBlue Turquoise AntiqueWhite Green SpringGreen SteelBlue VioletRed
White Beige Indigo Moccasin DarkGoldenrod Pink DarkOliveGreen PaleGoldenrod SkyBlue SteelBlue
DarkRed LightCoral PaleVioletRed MediumOrchid Ivory LightSeaGreen Violet AntiqueWhite DarkBlue FloralWhite
Plum Azure Plum Aquamarine CadetBlue Indigo Cyan Yellow BlueViolet PeachPuff
Turquoise DarkSeaGreen DimGray Tomato MediumTurquoise Firebrick DarkGoldenrod BlanchedAlmond DarkOliveGreen DarkKhaki
GreenYellow Gold MintCream SlateBlue OliveDrab DarkFuchsia Salmon Brown Firebrick PeachPuff
Plum GreenYellow OrangeRed DimGray DarkSeaGreen SkyBlue SlateBlue MediumSpringGreen DarkRed Salmon
