Nance Rambutan  Blackcurrant Cloudberry Cempedak Satsuma Plantain Pineapple Kumquat Currant
BinaryNumber_1001110 BinaryNumber_0001101 BinaryNumber_0010110 BinaryNumber_1011101 BinaryNumber_1001001 BinaryNumber_0010000 BinaryNumber_0111101 BinaryNumber_0000100 BinaryNumber_1010000 BinaryNumber_0110010
BinaryNumber_1001100 BinaryNumber_0110011 BinaryNumber_0000010 BinaryNumber_0011110 BinaryNumber_0101000 BinaryNumber_0100010 BinaryNumber_1010100 BinaryNumber_0000101 BinaryNumber_0010110 BinaryNumber_0101000
BinaryNumber_0111001 BinaryNumber_0111010 BinaryNumber_0010001 BinaryNumber_0001100 BinaryNumber_0101000 BinaryNumber_0111001 BinaryNumber_0001010 BinaryNumber_1010001 BinaryNumber_0000000 BinaryNumber_1000000
Coral Bisque SandyBrown IndianRed PaleVioletRed LightCyan Azure Moccasin SeaGreen Orchid
MintCream DodgerBlue NavajoWhite DarkOrange DarkRed MediumPurple Khaki Fuchsia SpringGreen MistyRose
LightGoldenrod MistyRose DarkGoldenrod Chocolate PeachPuff Peru Plum Orchid LightBlue DarkTurquoise
DarkTurquoise OliveDrab DarkSlateBlue LavenderBlush Blue DodgerBlue GreenYellow Honeydew LightPink ForestGreen
Coral MediumBlue Salmon Honeydew PaleTurquoise PowderBlue Orchid DarkViolet OldLace Peru
PapayaWhip DarkCyan MidnightBlue Navy Maroon Goldenrod Salmon Snow IndianRed LimeGreen
Snow SkyBlue Olive LightCoral Snow MintCream Gold DarkFuchsia Blue Seashell
LightSlateGray Feldspar LightSteelBlue PowderBlue PaleVioletRed Snow MistyRose NavajoWhite Indigo LightCyan
DarkRed RosyBrown Burlywood SandyBrown MistyRose DarkSeaGreen PaleTurquoise Gray DarkTurquoise Wheat
Goldenrod Beige DarkSlateGray Orchid Tomato OldLace BlanchedAlmond MediumBlue MediumAquamarine DeepPink
Goldenrod LawnGreen LightCoral SpringGreen Chocolate Beige PowderBlue PeachPuff MediumAquamarine MediumSpringGreen
Sofabed Rug Divan Bergere Stool Lounger Waterbed Seat Armoire Seat
Frieze Recliner Secretary Furnishings Drapery Applique Bentwood Bookcase Jardinière Sconce
Lintel Shelf Volute cubbies Bureau Hassock Light Rattle Antique Cupboard
Cushion Frieze Applique Bergere Footrest Pliant Fauteuil Bentwood Fan Island
Castor Crib Baroque Couch Baroque Hammock Fluting Cot Inlay Cabinet
Rug Breakfront Wheelchair Cupboard Island Cushion Armchair Highchair Cot Cot
Tuffet Air-conditioner Shelf Desk Sofa Vitrine Crib Buffet Pew Pliant
Armoire Armoire Crib Fauteuil Hammock Credenza Light Cabinet cubbies Chest
Divan Antique Fluting Bookcase Sconce Wheelchair Rattle Daybed Cushions Drapery
Dresser Clock Clock Mantle Easel Fauteuil Daybed Desk Rattle Castor
Pliant Bowfront Fauteuil Television Fan Vanity Tuffet Dresser Waterbed Furniture
Muscle Brain Vagina Cerebrum Hypothalamus Duodenum Spinalnerves Interstitium Nerves Bladder
Smallintestine Tendons Esophagus Tendons Middleear Cerebellum Ligaments Larynx Innerear Trachea
Pancreas Outerear Gallbladder Placenta Innerear Teeth Rectum Jejunum Jejunum Placenta
Ciliarybody Thymus Spleen Sensoryorgans Penis Thymus Interstitium Trachea Vagina Earlobe
Sensoryorgans Clitoris Tongue Sensoryorgans Veins Liver Iris Lens Liver Lens
Rectum Liver Interstitium Urethra Cecum Ossicles Cranialnerves Ganglia Thymus Kidneys
Cerebrum Mouth Nerves Retina Pons Uterus Heart Ganglia Ureter Scrotum
Gallbladder Retina Spleen Pharynx Pharynx Bladder Pharynx Kidneys Eye Larynx
Brain Capillaries Vulva Nerves Jejunum Bone  Heart Ear Teeth Ligaments
Outerear Duodenum Cerebrum Sensoryorgans Heart Bronchi Iris Midbrain Penis Cerebellum
Spinalnerves Ossicles Ear Tongue Duodenum Clitoris Thalamus Duodenum Ciliarybody Earlobe
