harp graphics triple-tongue writing exposition part rhythm noises scale tuning
BinaryNumber_1000010 BinaryNumber_0100110 BinaryNumber_1100011 BinaryNumber_0010101 BinaryNumber_0101001 BinaryNumber_0110011 BinaryNumber_0010111 BinaryNumber_0001011 BinaryNumber_0000111 BinaryNumber_0110110
BinaryNumber_0101000 BinaryNumber_0110000 BinaryNumber_0011101 BinaryNumber_0000001 BinaryNumber_0000010 BinaryNumber_0000010 BinaryNumber_1001001 BinaryNumber_1010000 BinaryNumber_0101000 BinaryNumber_1000011
BinaryNumber_0001100 BinaryNumber_0001111 BinaryNumber_0111100 BinaryNumber_0100110 BinaryNumber_0100101 BinaryNumber_0011111 BinaryNumber_0010011 BinaryNumber_0101100 BinaryNumber_1001000 BinaryNumber_0100101
BinaryNumber_0101111 BinaryNumber_1011000 BinaryNumber_0000010 BinaryNumber_0110011 BinaryNumber_0000111 BinaryNumber_0100110 BinaryNumber_1001100 BinaryNumber_1001110 BinaryNumber_1001111 BinaryNumber_1000100
BinaryNumber_0111110 BinaryNumber_0011100 BinaryNumber_0100101 BinaryNumber_0011110 BinaryNumber_1010001 BinaryNumber_0010011 BinaryNumber_0101111 BinaryNumber_0001100 BinaryNumber_1010010 BinaryNumber_0011101
BinaryNumber_1100010 BinaryNumber_1011001 BinaryNumber_0110101 BinaryNumber_1011010 BinaryNumber_0000110 BinaryNumber_0110011 BinaryNumber_1000110 BinaryNumber_0100010 BinaryNumber_0011011 BinaryNumber_0110100
CubeNumber_6859 CubeNumber_15625 CubeNumber_1728 CubeNumber_125000 CubeNumber_185193 CubeNumber_300763 CubeNumber_343000 CubeNumber_2744 CubeNumber_4096 CubeNumber_226981
CubeNumber_778688 CubeNumber_512000 CubeNumber_9261 CubeNumber_531441 CubeNumber_117649 CubeNumber_39304 CubeNumber_103823 CubeNumber_287496 CubeNumber_343000 CubeNumber_250047
CubeNumber_8 CubeNumber_117649 CubeNumber_287496 CubeNumber_704969 CubeNumber_97336 CubeNumber_195112 CubeNumber_19683 CubeNumber_17576 CubeNumber_35937 CubeNumber_8000
CubeNumber_4096 CubeNumber_9261 CubeNumber_551368 CubeNumber_8000 CubeNumber_328509 CubeNumber_32768 CubeNumber_5832 CubeNumber_50653 CubeNumber_91125 CubeNumber_5832
CubeNumber_704969 CubeNumber_216000 CubeNumber_74088 CubeNumber_125000 CubeNumber_658503 CubeNumber_1000 CubeNumber_512000 CubeNumber_405224 CubeNumber_512 CubeNumber_1728
CubeNumber_21952 CubeNumber_226981 CubeNumber_19683 CubeNumber_421875 CubeNumber_226981 CubeNumber_59319 CubeNumber_185193 CubeNumber_3375 CubeNumber_1728 CubeNumber_91125
CubeNumber_13824 CubeNumber_438976 CubeNumber_21952 CubeNumber_157464 CubeNumber_238328 CubeNumber_132651 CubeNumber_64000 CubeNumber_300763 CubeNumber_166375 CubeNumber_46656
CubeNumber_4096 CubeNumber_8000 CubeNumber_117649 CubeNumber_729 CubeNumber_32768 CubeNumber_729 CubeNumber_658503 CubeNumber_314432 CubeNumber_1331 CubeNumber_405224
CubeNumber_27 CubeNumber_274625 CubeNumber_1331 CubeNumber_8 CubeNumber_614125 CubeNumber_117649 CubeNumber_166375 CubeNumber_195112 CubeNumber_373248 CubeNumber_262144
CubeNumber_512 CubeNumber_10648 CubeNumber_29791 CubeNumber_592704 CubeNumber_941192 CubeNumber_74088 CubeNumber_729000 CubeNumber_343 CubeNumber_592704 CubeNumber_148877
CubeNumber_4913 CubeNumber_753571 CubeNumber_2744 CubeNumber_405224 CubeNumber_110592 CubeNumber_17576 CubeNumber_117649 CubeNumber_12167 CubeNumber_24389 CubeNumber_753571
temperature__118c temperature__108c temperature__118c temperature__70c temperature__122c temperature__71c temperature__46c temperature__17c temperature__59c temperature__14c
temperature__139c temperature__130c temperature__47c temperature__74c temperature__39c temperature__87c temperature__16c temperature__41c temperature__27c temperature__16c
temperature__84c temperature__16c temperature__33c temperature__40c temperature__16c temperature__130c temperature__79c temperature__84c temperature__11c temperature__92c
temperature__11c temperature__40c temperature__27c temperature__120c temperature__2c temperature__74c temperature__53c temperature__118c temperature__47c temperature__91c
temperature__145c temperature__36c temperature__98c temperature__21c temperature__58c temperature__148c temperature__39c temperature__53c temperature__109c temperature__31c
temperature__73c temperature__118c temperature__123c temperature__148c temperature__87c temperature__136c temperature__88c temperature__126c temperature__84c temperature__24c
temperature__130c temperature__27c temperature__123c temperature__141c temperature__140c temperature__58c temperature__87c temperature__63c temperature__70c temperature__3c
temperature__79c temperature__129c temperature__142c temperature__118c temperature__8c temperature__73c temperature__144c temperature__53c temperature__50c temperature__46c
temperature__120c temperature__17c temperature__3c temperature__39c temperature__148c temperature__27c temperature__124c temperature__69c temperature__31c temperature__7c
temperature__120c temperature__17c temperature__12c temperature__57c temperature__78c temperature__53c temperature__44c temperature__91c temperature__140c temperature__144c
temperature__111c temperature__44c temperature__51c temperature__88c temperature__41c temperature__147c temperature__33c temperature__64c temperature__74c temperature__95c
Rambutan  Gooseberry Longan Jackfruit Apple Satsuma Cherry Pineberry Jostaberry Acerola
Soursop Redcurrant Lemon Yuzu Salmonberry Longan Plum Pawpaw Lulo Pear
Tamarillo Akebi Blueberry Mango Rambutan  Orange Guava Cherimoya Soursop Avocado
Cherimoya Breadfruit Honeydew Ximenia Blackberry Cloudberry Yuzu Tamarillo Jujube Pineberry
Sapote Peach Lemon Blackcurrant Loquat Pineapple Ackee Pomelo Feijoa Açaí
Plum Ackee Gooseberry Mandarine Sapodilla Cashew Pomelo Apricot Avocado Nectarine
Pomegranate Cherimoya Sapodilla Lemon Grape Lime Redcurrant Marionberry Honeyberry Grapefruit
Cranberry Mulberry Salak Blackcurrant Pawpaw Cherry Acerola Prune Durian Salak
Cempedak Nance Nectarine Apple Passionfruit Blackcurrant Acerola Nance Peach Kiwano
Melon Lime Yuzu Jambul Salak Cranberry Salmonberry Pineberry Guava Mandarine
Papaya Durian Tangelo Abiu Raspberry Cranberry Marionberry Huckleberry Damson Jackfruit
