confused troubled nice eager odd mysterious obnoxious clear adventurous proud
13:36 14:19 22:48 12:39 21:23 13:55 11:26 22:57 22:51 16:55
16:48 13:57 10:48 17:59 16:46 18:20 11:45 18:34 11:24 14:15
17:30 22:38 13:42 16:16 20:32 11:24 22:14 12:15 22:48 19:28
23:13 10:33 20:15 23:28 12:26 11:46 22:27 16:34 22:59 13:52
21:37 18:33 14:50 17:59 14:53 11:56 22:41 13:23 10:36 13:14
23:25 17:25 18:29 15:29 10:21 14:53 18:37 19:34 20:42 20:37
12:38 15:10 20:54 18:22 17:13 19:36 17:16 16:25 10:57 14:17
temperature__118c temperature__73c temperature__27c temperature__17c temperature__50c temperature__42c temperature__144c temperature__17c temperature__98c temperature__50c
temperature__141c temperature__61c temperature__140c temperature__35c temperature__79c temperature__116c temperature__58c temperature__36c temperature__31c temperature__35c
temperature__27c temperature__137c temperature__77c temperature__36c temperature__30c temperature__17c temperature__138c temperature__116c temperature__87c temperature__2c
temperature__54c temperature__116c temperature__64c temperature__59c temperature__36c temperature__47c temperature__111c temperature__129c temperature__90c temperature__54c
temperature__142c temperature__26c temperature__145c temperature__112c temperature__88c temperature__141c temperature__116c temperature__31c temperature__7c temperature__40c
temperature__57c temperature__0c temperature__132c temperature__145c temperature__68c temperature__146c temperature__145c temperature__78c temperature__91c temperature__6c
temperature__58c temperature__142c temperature__33c temperature__51c temperature__131c temperature__52c temperature__57c temperature__119c temperature__92c temperature__73c
temperature__100c temperature__64c temperature__77c temperature__141c temperature__147c temperature__11c temperature__0c temperature__74c temperature__148c temperature__120c
temperature__28c temperature__138c temperature__148c temperature__61c temperature__74c temperature__16c temperature__28c temperature__116c temperature__61c temperature__40c
temperature__69c temperature__145c temperature__84c temperature__12c temperature__118c temperature__39c temperature__14c temperature__70c temperature__90c temperature__116c
temperature__40c temperature__54c temperature__68c temperature__120c temperature__139c temperature__111c temperature__44c temperature__126c temperature__42c temperature__2c
