offense homicides legal death cases guilt shootings cybercrime mafia unsolved
BinaryNumber_0001000 BinaryNumber_0011100 BinaryNumber_0110001 BinaryNumber_1000110 BinaryNumber_0110101 BinaryNumber_0110111 BinaryNumber_0100100 BinaryNumber_0110100 BinaryNumber_0101111 BinaryNumber_0001000
BinaryNumber_0011101 BinaryNumber_1010111 BinaryNumber_0000111 BinaryNumber_0011010 BinaryNumber_1001010 BinaryNumber_1010110 BinaryNumber_1000110 BinaryNumber_0010010 BinaryNumber_0101000 BinaryNumber_1011011
BinaryNumber_0001000 BinaryNumber_0111111 BinaryNumber_0000111 BinaryNumber_0101010 BinaryNumber_1000001 BinaryNumber_0001010 BinaryNumber_0111110 BinaryNumber_1000010 BinaryNumber_0010100 BinaryNumber_1011011
BinaryNumber_1001001 BinaryNumber_0110001 BinaryNumber_0001110 BinaryNumber_0010101 BinaryNumber_0100100 BinaryNumber_1000111 BinaryNumber_0101001 BinaryNumber_0001110 BinaryNumber_0000000 BinaryNumber_1000101
BinaryNumber_0110110 BinaryNumber_0111111 BinaryNumber_0111100 BinaryNumber_0110110 BinaryNumber_0101100 BinaryNumber_0111110 BinaryNumber_0000100 BinaryNumber_0101011 BinaryNumber_1011011 BinaryNumber_0110000
BinaryNumber_0111101 BinaryNumber_1001111 BinaryNumber_0111011 BinaryNumber_0111010 BinaryNumber_0100101 BinaryNumber_1010101 BinaryNumber_1011100 BinaryNumber_0110111 BinaryNumber_0101000 BinaryNumber_0001001
BinaryNumber_0101101 BinaryNumber_0000000 BinaryNumber_0101011 BinaryNumber_0111000 BinaryNumber_0111100 BinaryNumber_1100010 BinaryNumber_0000100 BinaryNumber_0010100 BinaryNumber_1100010 BinaryNumber_0110010
BinaryNumber_0010010 BinaryNumber_0110011 BinaryNumber_0001111 BinaryNumber_0010111 BinaryNumber_0101111 BinaryNumber_1000011 BinaryNumber_0000100 BinaryNumber_1000101 BinaryNumber_0100111 BinaryNumber_0111110
BinaryNumber_0011010 BinaryNumber_1000110 BinaryNumber_0110110 BinaryNumber_0000111 BinaryNumber_0110010 BinaryNumber_1000101 BinaryNumber_1001101 BinaryNumber_0011001 BinaryNumber_0010100 BinaryNumber_1011100
BinaryNumber_1011001 BinaryNumber_0101110 BinaryNumber_0000100 BinaryNumber_1001010 BinaryNumber_0101101 BinaryNumber_0000010 BinaryNumber_1000100 BinaryNumber_0101110 BinaryNumber_0110101 BinaryNumber_0010001
SquareNumber_196 SquareNumber_289 SquareNumber_8464 SquareNumber_7569 SquareNumber_2809 SquareNumber_10000 SquareNumber_5929 SquareNumber_6889 SquareNumber_64 SquareNumber_144
SquareNumber_81 SquareNumber_529 SquareNumber_121 SquareNumber_6400 SquareNumber_3481 SquareNumber_1296 SquareNumber_4225 SquareNumber_2601 SquareNumber_4900 SquareNumber_784
SquareNumber_1024 SquareNumber_5625 SquareNumber_3721 SquareNumber_5041 SquareNumber_1296 SquareNumber_16 SquareNumber_1156 SquareNumber_2916 SquareNumber_4 SquareNumber_1600
SquareNumber_9025 SquareNumber_484 SquareNumber_729 SquareNumber_2304 SquareNumber_2401 SquareNumber_4096 SquareNumber_9025 SquareNumber_1849 SquareNumber_5776 SquareNumber_7569
SquareNumber_4356 SquareNumber_7225 SquareNumber_3025 SquareNumber_1089 SquareNumber_8836 SquareNumber_676 SquareNumber_625 SquareNumber_3481 SquareNumber_4096 SquareNumber_4225
SquareNumber_5625 SquareNumber_6561 SquareNumber_5625 SquareNumber_441 SquareNumber_1681 SquareNumber_3969 SquareNumber_2304 SquareNumber_3969 SquareNumber_7396 SquareNumber_2500
SquareNumber_49 SquareNumber_7056 SquareNumber_5776 SquareNumber_3364 SquareNumber_9604 SquareNumber_8836 SquareNumber_7744 SquareNumber_10000 SquareNumber_225 SquareNumber_7225
SquareNumber_9216 SquareNumber_3136 SquareNumber_3364 SquareNumber_4489 SquareNumber_2704 SquareNumber_4900 SquareNumber_1936 SquareNumber_324 SquareNumber_324 SquareNumber_9216
SquareNumber_2025 SquareNumber_3249 SquareNumber_3249 SquareNumber_2916 SquareNumber_81 SquareNumber_3600 SquareNumber_2209 SquareNumber_1369 SquareNumber_1156 SquareNumber_2304
SquareNumber_441 SquareNumber_441 SquareNumber_729 SquareNumber_4489 SquareNumber_9604 SquareNumber_64 SquareNumber_2025 SquareNumber_6724 SquareNumber_144 SquareNumber_6084
SquareNumber_1681 SquareNumber_10000 SquareNumber_9604 SquareNumber_5776 SquareNumber_64 SquareNumber_3969 SquareNumber_2304 SquareNumber_4900 SquareNumber_1296 SquareNumber_9801
Pancreas Larynx Esophagus Analcanal Pharynx Tendons Tonsils Placenta Pharynx Bone 
Middleear Ileum Larynx Lungs Muscle Interstitium Urethra Innerear Ear Bronchi
Scrotum Sensoryorgans Tonsils Ligaments Spleen Outerear Analcanal Spleen Spinalnerves Thymus
Larynx Gallbladder Pancreas Largeintestine Cranialnerves Spinalnerves Pancreas Heart Ear Ureter
Pharynx Eye Ganglia Bladder Lungs Pancreas Liver Hypothalamus Vulva Smallintestine
Cochlea Ear Vagina Middleear Heart Vagina Pharynx Outerear Sensoryorgans skeleton
Tendons Tongue Penis Lens Uterus Middleear Ureter Stomach Liver Pons
Pons Bone  Trachea Lungs Mouth Iris Hypothalamus Cerebrum Bronchi Eye
Capillaries Heart Penis Teeth Ciliarybody Rectum Ear Analcanal Tonsils Ciliarybody
Ileum Trachea Innerear Lens Ureter Midbrain Middleear Mouth Bone  Tongue
Innerear Bronchi Tonsils Muscle Bronchi Vulva Cervix Ovaries Ciliarybody Urethra
mercurial defamation mendacity impunity revelation proxy accusation fray retaliation manipulate
cadre unethical endorsement endorsement sloth allegation mendacity subterfuge tycoon recrimination
endorsement temptation malfeasance deficit authoritarian incident ignorant deflect subterfuge unethical
blame deny bamboozle laconic corruption claim lobby bamboozle scandal mendacity
revelation sloth collaboration fray malfeasance parry conceal hypocrisy assail debacle
ignorant claim partial refute illicit mendacity fray prestidigitation parry tycoon
hypocrisy opportunist tainted deflect reckless engagement demagogue beleaguer collaboration feud
acolyte reckless persecution rebut lobby patriarchy accusation reckless alliance regime
proxy illegal tarnish massive extortion extortion corruption persecution retaliation saga
onerous proxy illicit patronage regime cadre infringement patriarchy resignation blame
demagogue anonymity claim parry expose saga refute acolyte resignation prestidigitation
Red MediumSpringGreen MediumSeaGreen WhiteSmoke LightGoldenrod Yellow MidnightBlue Bisque Orchid SaddleBrown
PeachPuff Indigo Chocolate MediumVioletRed LightSeaGreen AliceBlue LightSlateGray ForestGreen MintCream DarkViolet
MintCream GreenYellow IndianRed Sienna DarkSalmon Chartreuse DarkSeaGreen DarkViolet Fuchsia LavenderBlush
IndianRed DarkSeaGreen MediumAquamarine Blue DarkGreen NavajoWhite VioletRed LightCoral HotPink DarkBlue
BlueViolet ForestGreen Feldspar CadetBlue DarkSlateGray MediumSpringGreen LightSkyBlue PeachPuff LightSeaGreen NavajoWhite
Lime FloralWhite FloralWhite Red LightGreen AntiqueWhite Teal Coral Coral Ivory
LavenderBlush AliceBlue PaleGoldenrod Silver Feldspar Coral White Gold LightBlue LimeGreen
DarkGreen LavenderBlush DarkSlateBlue MintCream MediumAquamarine DeepSkyBlue LightBlue Crimson MediumAquamarine LavenderBlush
DarkGray BlueViolet PaleGoldenrod Firebrick SteelBlue Khaki GreenYellow MediumSeaGreen Bisque Snow
MediumSpringGreen Olive GhostWhite LimeGreen AntiqueWhite Khaki LightSlateGray CadetBlue Red Fuchsia
Azure CadetBlue LightCoral Tan DarkOrange Navy DarkRed DarkBlue DarkSlateBlue OrangeRed
