metre motif musicality harpsichord performance lyric percussion movies spotify bars
Guava Papaya Pear Sapote Jostaberry Marionberry Sapote Pineapple Pomegranate Grape
Canistel Cashew Blackcurrant Ackee Damson Avocado Strawberry Grape Marionberry Orange
Cloudberry Pineberry Passionfruit Açaí Pineapple Lime Raspberry Pawpaw Salak Satsuma
Guava Strawberry Pomegranate Loquat Guava Cherimoya Mandarine Melon Ximenia Plum
Marionberry Cempedak Sapote Bilberry Plumcot Elderberry Tamarind Passionfruit Salmonberry Mandarine
Rambutan  Pomelo Passionfruit Cashew Pomelo Nance Apple Cashew Clementine Tangelo
Cranberry Passionfruit Cloudberry Marionberry Apple Jujube Mulberry Watermelon Salak Gooseberry
Lychee Bilberry Rambutan  Nectarine Lime Plum Longan Salmonberry Breadfruit Orange
Cantaloupe Avocado Ackee Passionfruit Bilberry Cherry Tayberry Banana Tangerine Passionfruit
SlateBlue Chocolate LightSalmon OliveDrab WhiteSmoke DarkSlateGray DeepPink DodgerBlue DarkBlue PaleVioletRed
LightGray LightSlateGray OrangeRed LightSlateGray DarkOrange DarkGoldenrod Silver LightPink ForestGreen LightGray
Turquoise OldLace PapayaWhip LightBlue LavenderBlush LightSlateBlue SeaGreen MidnightBlue DarkGray MediumSlateBlue
LightCyan Peru Cornsilk MediumSeaGreen Chartreuse PaleTurquoise SlateBlue MediumSlateBlue PaleGreen DimGray
Red LightSkyBlue SlateBlue Yellow Goldenrod RosyBrown Green Teal LightYellow LightGreen
SkyBlue LightGoldenrod SlateGray OldLace GhostWhite NavajoWhite MistyRose IndianRed Teal Navy
DarkRed RosyBrown DarkKhaki Burlywood Firebrick Chartreuse Thistle Bisque PaleGoldenrod DodgerBlue
Indigo MediumAquamarine Red Feldspar Gray LightSkyBlue Purple Cyan DarkGray LavenderBlush
DarkOliveGreen PowderBlue Goldenrod MidnightBlue LavenderBlush LightSalmon Gray DarkSlateBlue MediumBlue BlanchedAlmond
DarkOrange NavajoWhite Sienna LightYellow LightSteelBlue RoyalBlue DarkKhaki Green Crimson AntiqueWhite
Gold DeepPink Black LightBlue Blue BlueViolet LemonChiffon Thistle Orange DarkFuchsia
11:40 19:46 12:36 16:27 14:19 18:46 19:24 10:23 13:43 20:24
22:54 12:50 21:55 22:35 22:10 18:11 21:33 13:43 14:36 11:20
19:17 16:57 19:25 10:31 12:51 18:44 14:13 20:25 13:25 10:20
17:12 19:56 17:34 17:10 23:16 15:27 17:44 19:55 20:18 17:47
11:31 12:58 16:33 11:19 15:36 19:52 20:44 14:50 21:45 20:10
16:18 11:55 18:27 15:19 18:42 19:49 22:11 15:42 13:12 18:51
14:38 11:58 17:27 18:17 20:13 17:26 14:38 21:19 21:12 15:27
13:57 19:40 18:57 23:44 20:17 23:46 16:21 12:37 10:42 16:46
12:22 10:14 22:47 14:47 20:48 11:49 21:15 22:19 18:11 10:30
14:19 20:26 15:52 13:55 23:36 23:19 13:46 11:30 21:56 19:58
13:47 14:54 22:15 11:57 10:11 22:17 22:45 13:26 19:19 15:25
