field judo tournaments referee supersport pack ineligible music hobbies hockey
BinaryNumber_0011101 BinaryNumber_0101010 BinaryNumber_0101110 BinaryNumber_0001001 BinaryNumber_1011001 BinaryNumber_1011101 BinaryNumber_1001010 BinaryNumber_0001111 BinaryNumber_0000111 BinaryNumber_0101110
BinaryNumber_0101100 BinaryNumber_1000111 BinaryNumber_1011001 BinaryNumber_1100011 BinaryNumber_0010011 BinaryNumber_0000010 BinaryNumber_0110000 BinaryNumber_1010010 BinaryNumber_0111100 BinaryNumber_0111110
BinaryNumber_0010011 BinaryNumber_0000110 BinaryNumber_1010100 BinaryNumber_0100010 BinaryNumber_1010001 BinaryNumber_1100001 BinaryNumber_0010000 BinaryNumber_1011000 BinaryNumber_1011101 BinaryNumber_0011001
BinaryNumber_0011111 BinaryNumber_1000010 BinaryNumber_1010011 BinaryNumber_0000100 BinaryNumber_0000011 BinaryNumber_0010010 BinaryNumber_1000110 BinaryNumber_1001010 BinaryNumber_0111111 BinaryNumber_0001000
BinaryNumber_1011000 BinaryNumber_0100001 BinaryNumber_1000011 BinaryNumber_1001101 BinaryNumber_0000101 BinaryNumber_0101100 BinaryNumber_1100000 BinaryNumber_0000001 BinaryNumber_0100000 BinaryNumber_0000011
BinaryNumber_0011010 BinaryNumber_0001001 BinaryNumber_1100010 BinaryNumber_0011110 BinaryNumber_0001011 BinaryNumber_0011011 BinaryNumber_0011000 BinaryNumber_0101100 BinaryNumber_1010001 BinaryNumber_0010101
BinaryNumber_1000011 BinaryNumber_1001110 BinaryNumber_0100011 BinaryNumber_1001100 BinaryNumber_0110011 BinaryNumber_0111011 BinaryNumber_0000000 BinaryNumber_0110000 BinaryNumber_1000000 BinaryNumber_0010011
BinaryNumber_0011101 BinaryNumber_0001000 BinaryNumber_1100000 BinaryNumber_1000011 BinaryNumber_0101000 BinaryNumber_0011000 BinaryNumber_0000100 BinaryNumber_0000111 BinaryNumber_1100000 BinaryNumber_0011010
temperature__22c temperature__129c temperature__70c temperature__3c temperature__34c temperature__44c temperature__141c temperature__145c temperature__78c temperature__51c
temperature__118c temperature__93c temperature__51c temperature__93c temperature__116c temperature__56c temperature__77c temperature__41c temperature__12c temperature__40c
temperature__14c temperature__58c temperature__69c temperature__144c temperature__138c temperature__41c temperature__51c temperature__144c temperature__41c temperature__58c
temperature__59c temperature__16c temperature__91c temperature__147c temperature__137c temperature__8c temperature__27c temperature__142c temperature__36c temperature__141c
temperature__93c temperature__17c temperature__119c temperature__98c temperature__106c temperature__40c temperature__79c temperature__24c temperature__123c temperature__95c
temperature__0c temperature__10c temperature__0c temperature__74c temperature__122c temperature__119c temperature__93c temperature__23c temperature__71c temperature__40c
temperature__70c temperature__116c temperature__0c temperature__123c temperature__126c temperature__44c temperature__111c temperature__24c temperature__24c temperature__51c
temperature__131c temperature__3c temperature__100c temperature__93c temperature__120c temperature__105c temperature__51c temperature__21c temperature__2c temperature__3c
temperature__35c temperature__69c temperature__33c temperature__50c temperature__26c temperature__65c temperature__47c temperature__58c temperature__100c temperature__34c
temperature__51c temperature__53c temperature__144c temperature__58c temperature__57c temperature__34c temperature__54c temperature__36c temperature__147c temperature__8c
temperature__65c temperature__146c temperature__118c temperature__39c temperature__85c temperature__22c temperature__87c temperature__82c temperature__123c temperature__93c
