Thymus Innerear Capillaries Trachea Mesentery Vagina Kidneys Ovaries Stomach Earlobe
Sapote Tamarillo Lulo Rambutan  Mandarine Cashew Jackfruit Salmonberry Ackee Pineapple
Watermelon Pawpaw Grapefruit Jackfruit Jackfruit Salak Cantaloupe Akebi Acerola Lulo
Gooseberry Akebi Coconut Prune Breadfruit Raspberry Mangosteen Plumcot Pomelo Kumquat
Soursop Loquat Lulo Jackfruit Grape Apricot Feijoa Cashew Cherry Raisin
Date Raspberry Nectarine Feijoa Pomelo Fig Lime Soursop Salak Kumquat
Lime Currant Kiwifruit Araza Blackcurrant Plum Blackberry Boysenberry Pomegranate Pomelo
Papaya Cempedak Peach Blueberry Salak Tamarillo Jujube Redcurrant Akebi Clementine
BinaryNumber_0111100 BinaryNumber_0010111 BinaryNumber_0110111 BinaryNumber_0011010 BinaryNumber_0101111 BinaryNumber_1001101 BinaryNumber_1000011 BinaryNumber_0110010 BinaryNumber_0001110 BinaryNumber_0110010
BinaryNumber_0111101 BinaryNumber_0000001 BinaryNumber_0010110 BinaryNumber_1010110 BinaryNumber_0110101 BinaryNumber_0111101 BinaryNumber_0010101 BinaryNumber_0001000 BinaryNumber_1100000 BinaryNumber_0011010
BinaryNumber_0110100 BinaryNumber_0001011 BinaryNumber_0101101 BinaryNumber_1000000 BinaryNumber_0000001 BinaryNumber_0011010 BinaryNumber_0101000 BinaryNumber_1011000 BinaryNumber_0100110 BinaryNumber_1000111
BinaryNumber_0101101 BinaryNumber_1001110 BinaryNumber_0100110 BinaryNumber_0101001 BinaryNumber_0110000 BinaryNumber_0010011 BinaryNumber_0011001 BinaryNumber_1011000 BinaryNumber_0111000 BinaryNumber_0010100
BinaryNumber_0001110 BinaryNumber_1100001 BinaryNumber_0001010 BinaryNumber_0001011 BinaryNumber_0011010 BinaryNumber_0100110 BinaryNumber_0001100 BinaryNumber_0100000 BinaryNumber_1100000 BinaryNumber_0110111
BinaryNumber_0101101 BinaryNumber_0111111 BinaryNumber_0110111 BinaryNumber_0111010 BinaryNumber_0110010 BinaryNumber_0101100 BinaryNumber_0110000 BinaryNumber_1001000 BinaryNumber_1011010 BinaryNumber_1001011
BinaryNumber_0101100 BinaryNumber_1000000 BinaryNumber_1001010 BinaryNumber_1100001 BinaryNumber_0101100 BinaryNumber_0100111 BinaryNumber_0111000 BinaryNumber_1000110 BinaryNumber_0111011 BinaryNumber_0010101
BinaryNumber_0000100 BinaryNumber_1010100 BinaryNumber_1001100 BinaryNumber_0011111 BinaryNumber_1100011 BinaryNumber_0001000 BinaryNumber_0010101 BinaryNumber_1001001 BinaryNumber_1001100 BinaryNumber_1001100
BinaryNumber_0010011 BinaryNumber_0010011 BinaryNumber_0001101 BinaryNumber_0111101 BinaryNumber_0100111 BinaryNumber_0010010 BinaryNumber_0001111 BinaryNumber_0010010 BinaryNumber_1001000 BinaryNumber_0010000
BinaryNumber_0010100 BinaryNumber_0111000 BinaryNumber_0111010 BinaryNumber_0110100 BinaryNumber_0010011 BinaryNumber_0101100 BinaryNumber_0101010 BinaryNumber_0011010 BinaryNumber_0110001 BinaryNumber_1001010
BinaryNumber_1010011 BinaryNumber_0100111 BinaryNumber_1000100 BinaryNumber_1000111 BinaryNumber_0101100 BinaryNumber_0000011 BinaryNumber_0111101 BinaryNumber_1010100 BinaryNumber_0110011 BinaryNumber_0111000
