Thymus Bronchi Pharynx Hypothalamus Lungs Stomach Largeintestine Thalamus Capillaries Tongue
CadetBlue Maroon Maroon WhiteSmoke GreenYellow Gold DarkSlateBlue Salmon LightSteelBlue Salmon
Aquamarine Turquoise OrangeRed Aquamarine Fuchsia Seashell Pink LightCyan CornflowerBlue AliceBlue
MediumTurquoise Aquamarine DarkSalmon Firebrick Chartreuse DarkBlue DarkSlateBlue MistyRose LightYellow OrangeRed
CornflowerBlue Feldspar SpringGreen LemonChiffon DarkOrange SlateGray Brown NavajoWhite OliveDrab Cyan
CadetBlue SandyBrown Gainsboro MediumSeaGreen IndianRed LightGreen Cyan White SlateGray BlueViolet
LightSteelBlue BlanchedAlmond Purple Plum Azure LightGoldenrod DarkSeaGreen Pink DarkSalmon DarkOliveGreen
WhiteSmoke DarkCyan Burlywood PaleVioletRed DodgerBlue LightGoldenrodYellow BlueViolet Aquamarine Navy IndianRed
DarkSlateGray AntiqueWhite LawnGreen NavajoWhite MintCream Black MediumVioletRed AntiqueWhite DarkOliveGreen Maroon
Azure Sienna Green Orange Honeydew Tan Yellow DarkCyan Yellow LemonChiffon
Moccasin Turquoise Moccasin LightGreen Fuchsia MediumSpringGreen SlateGray Tan Tomato Tan
Pink SkyBlue Gray DarkOliveGreen BlueViolet AntiqueWhite Blue NavajoWhite LightGoldenrod RoyalBlue
