Raisin Prune Plumcot Yuzu Papaya Rambutan  Cherry Redcurrant Bilberry Kiwifruit
CubeNumber_9261 CubeNumber_4096 CubeNumber_512 CubeNumber_474552 CubeNumber_46656 CubeNumber_729000 CubeNumber_29791 CubeNumber_85184 CubeNumber_15625 CubeNumber_681472
CubeNumber_132651 CubeNumber_592704 CubeNumber_12167 CubeNumber_226981 CubeNumber_64000 CubeNumber_729000 CubeNumber_314432 CubeNumber_8 CubeNumber_941192 CubeNumber_68921
temperature__22c temperature__30c temperature__6c temperature__146c temperature__49c temperature__30c temperature__111c temperature__35c temperature__3c temperature__138c
temperature__140c temperature__7c temperature__106c temperature__6c temperature__24c temperature__58c temperature__33c temperature__23c temperature__36c temperature__126c
temperature__92c temperature__95c temperature__141c temperature__42c temperature__130c temperature__122c temperature__27c temperature__34c temperature__77c temperature__98c
temperature__119c temperature__123c temperature__4c temperature__120c temperature__144c temperature__36c temperature__118c temperature__142c temperature__0c temperature__35c
temperature__85c temperature__92c temperature__2c temperature__74c temperature__108c temperature__93c temperature__91c temperature__130c temperature__140c temperature__39c
temperature__88c temperature__106c temperature__24c temperature__27c temperature__141c temperature__50c temperature__119c temperature__106c temperature__49c temperature__49c
temperature__123c temperature__41c temperature__47c temperature__112c temperature__100c temperature__2c temperature__141c temperature__33c temperature__123c temperature__91c
temperature__74c temperature__92c temperature__82c temperature__57c temperature__23c temperature__27c temperature__70c temperature__119c temperature__122c temperature__78c
temperature__68c temperature__85c temperature__16c temperature__116c temperature__85c temperature__91c temperature__12c temperature__91c temperature__85c temperature__16c
temperature__92c temperature__79c temperature__34c temperature__82c temperature__44c temperature__33c temperature__112c temperature__24c temperature__90c temperature__24c
temperature__93c temperature__4c temperature__131c temperature__111c temperature__23c temperature__33c temperature__69c temperature__105c temperature__129c temperature__129c
