grumpy funny sparkling weary shy disgusted grieving obnoxious bloody cruel
temperature__30c temperature__14c temperature__3c temperature__49c temperature__119c temperature__2c temperature__124c temperature__95c temperature__61c temperature__5c
temperature__21c temperature__28c temperature__61c temperature__148c temperature__132c temperature__6c temperature__93c temperature__21c temperature__119c temperature__132c
temperature__111c temperature__74c temperature__23c temperature__138c temperature__95c temperature__95c temperature__31c temperature__57c temperature__74c temperature__73c
temperature__79c temperature__112c temperature__34c temperature__21c temperature__23c temperature__112c temperature__84c temperature__137c temperature__132c temperature__87c
temperature__24c temperature__146c temperature__147c temperature__92c temperature__129c temperature__64c temperature__0c temperature__73c temperature__138c temperature__12c
temperature__5c temperature__35c temperature__10c temperature__95c temperature__12c temperature__0c temperature__129c temperature__73c temperature__120c temperature__79c
temperature__108c temperature__78c temperature__64c temperature__108c temperature__88c temperature__65c temperature__73c temperature__136c temperature__78c temperature__51c
temperature__92c temperature__82c temperature__35c temperature__58c temperature__116c temperature__64c temperature__131c temperature__41c temperature__124c temperature__26c
temperature__109c temperature__31c temperature__124c temperature__6c temperature__109c temperature__2c temperature__146c temperature__71c temperature__71c temperature__46c
tabs bars madrigal tongue triple-tongue film pianist noises streaming instruments
lights compositions modulate atonal ambient recording tongue sforzando graphics flute
melody action dynamics noise bands madrigal section talk bands violin
triple-tongue language vinyl theme ska choir cello dynamics tone triple-tongue
rockabilly speak blues pianist symphony artists studio recapitulation double bass bass
noise texture ambience gospel trumpet rag bebop concert rag speak
drum works hymn videos part instrumental saxophone melodies banjo dance
soundtracks jazz instruments talking theme subdivision sonata production singers electronica
instrumental violoncello tone medicine culture symphonise clarion triple-tongue musicians violoncello
favorite medicine accompaniment story songwriter production classical tuba musical modulate
cadence reggae tongue tuba pizzicato violin score trio albums bebop
