massive ignorant embezzlement infringement temptation collaboration illegal acolyte scapegoat onerous
SquareNumber_3249 SquareNumber_2601 SquareNumber_576 SquareNumber_1849 SquareNumber_361 SquareNumber_169 SquareNumber_2601 SquareNumber_3844 SquareNumber_3969 SquareNumber_3969
SquareNumber_8836 SquareNumber_361 SquareNumber_8464 SquareNumber_6241 SquareNumber_9 SquareNumber_8649 SquareNumber_1764 SquareNumber_8464 SquareNumber_1764 SquareNumber_5476
SquareNumber_1681 SquareNumber_5184 SquareNumber_4356 SquareNumber_676 SquareNumber_3136 SquareNumber_8281 SquareNumber_8100 SquareNumber_4489 SquareNumber_7225 SquareNumber_900
SquareNumber_9801 SquareNumber_1089 SquareNumber_676 SquareNumber_5041 SquareNumber_8464 SquareNumber_169 SquareNumber_4900 SquareNumber_5041 SquareNumber_529 SquareNumber_2025
SquareNumber_7744 SquareNumber_1089 SquareNumber_25 SquareNumber_3249 SquareNumber_841 SquareNumber_5041 SquareNumber_3600 SquareNumber_484 SquareNumber_7225 SquareNumber_16
BinaryNumber_1011010 BinaryNumber_0001010 BinaryNumber_0001110 BinaryNumber_1011000 BinaryNumber_0111000 BinaryNumber_0000100 BinaryNumber_0100001 BinaryNumber_0100000 BinaryNumber_1010000 BinaryNumber_1001100
BinaryNumber_0011000 BinaryNumber_1001111 BinaryNumber_0110000 BinaryNumber_1000100 BinaryNumber_1010100 BinaryNumber_1010111 BinaryNumber_1010000 BinaryNumber_0111010 BinaryNumber_0010001 BinaryNumber_0101010
BinaryNumber_1000011 BinaryNumber_0011001 BinaryNumber_1001000 BinaryNumber_0111011 BinaryNumber_0101111 BinaryNumber_0000110 BinaryNumber_1011100 BinaryNumber_1011001 BinaryNumber_0011001 BinaryNumber_0011000
BinaryNumber_1001001 BinaryNumber_0110000 BinaryNumber_0011010 BinaryNumber_1010110 BinaryNumber_1010110 BinaryNumber_1011101 BinaryNumber_0101011 BinaryNumber_0011100 BinaryNumber_0100111 BinaryNumber_0111000
BinaryNumber_1000010 BinaryNumber_0011001 BinaryNumber_0111001 BinaryNumber_0101111 BinaryNumber_0111001 BinaryNumber_0110000 BinaryNumber_0110101 BinaryNumber_0010110 BinaryNumber_1011010 BinaryNumber_0101000
BinaryNumber_0101010 BinaryNumber_1001110 BinaryNumber_1011000 BinaryNumber_0111100 BinaryNumber_0101011 BinaryNumber_0000111 BinaryNumber_0001001 BinaryNumber_0001011 BinaryNumber_0100100 BinaryNumber_1011101
BinaryNumber_0010001 BinaryNumber_0100100 BinaryNumber_0100011 BinaryNumber_0110000 BinaryNumber_0000110 BinaryNumber_1000001 BinaryNumber_0000110 BinaryNumber_1011010 BinaryNumber_1001100 BinaryNumber_1010100
BinaryNumber_0111000 BinaryNumber_0100101 BinaryNumber_0001010 BinaryNumber_0000111 BinaryNumber_0111101 BinaryNumber_0011110 BinaryNumber_0101001 BinaryNumber_0000101 BinaryNumber_0101010 BinaryNumber_1001010
BinaryNumber_1010001 BinaryNumber_1000001 BinaryNumber_0010100 BinaryNumber_1000110 BinaryNumber_0011011 BinaryNumber_1010111 BinaryNumber_1100011 BinaryNumber_0100000 BinaryNumber_0000010 BinaryNumber_0101111
BinaryNumber_1010010 BinaryNumber_0011100 BinaryNumber_0000000 BinaryNumber_0011000 BinaryNumber_0001001 BinaryNumber_0000000 BinaryNumber_1010110 BinaryNumber_0000110 BinaryNumber_0110100 BinaryNumber_0101000
BinaryNumber_1011110 BinaryNumber_0100100 BinaryNumber_0001110 BinaryNumber_1001100 BinaryNumber_0100001 BinaryNumber_1011001 BinaryNumber_0011000 BinaryNumber_0110011 BinaryNumber_0110101 BinaryNumber_0100111
Seashell AntiqueWhite DeepSkyBlue LimeGreen Azure LimeGreen LightCyan Sienna PeachPuff LightGray
Beige Teal Black DarkGreen LightCoral GreenYellow LightSteelBlue CornflowerBlue Silver Lavender
DarkOliveGreen DarkGoldenrod BlueViolet DimGray LavenderBlush LightYellow Gainsboro SkyBlue Lime DarkOrchid
DarkBlue LightYellow MediumOrchid SlateBlue MediumSlateBlue MediumTurquoise Blue Black AntiqueWhite MediumOrchid
SlateBlue LightSkyBlue Tomato Linen Thistle DarkGoldenrod GreenYellow Moccasin Gold Salmon
Thistle DarkBlue DarkSeaGreen DarkCyan WhiteSmoke AliceBlue RoyalBlue MediumSeaGreen IndianRed DarkGreen
SkyBlue Azure LightBlue Coral LightSeaGreen PeachPuff Aquamarine DarkFuchsia Maroon Chocolate
PaleGreen DarkSalmon LimeGreen DeepPink CornflowerBlue SlateBlue PaleTurquoise OldLace Gold LightGoldenrodYellow
Fuchsia MediumPurple PowderBlue DarkGoldenrod LightGoldenrod MediumPurple DimGray LightSkyBlue Orchid Pink
DarkFuchsia LightGreen DarkOrchid Tomato Cornsilk OldLace Gold OldLace MediumSpringGreen RoyalBlue
MediumSeaGreen PaleGreen Tomato IndianRed LightSeaGreen Plum AliceBlue LightBlue GhostWhite DarkSalmon
old-fashioned tough elegant average clever beautiful alert horrible faithful evil
easy jittery clever mushy crowded anxious colorful healthy embarrassed perfect
unsightly important evil foolish angry proud mysterious sore zealous arrogant
enchanting thankful distinct difficult attractive rich poised fantastic cooperative elated
adventurous combative successful frail scary misty happy shy long long
aggressive delightful bright thoughtless jealous helpful lazy odd itchy open
unusual scary smoggy happy cute wandering adorable horrible colorful careful
agreeable bloody crazy alive nice brainy filthy grotesque proud arrogant
tame hungry inquisitive weary terrible important cloudy bored wandering friendly
mysterious clumsy distinct hilarious doubtful upset proud gifted gifted selfish
uninterested hurt clumsy panicky troubled clean frantic unsightly glorious foolish
rice fruits vegetables seafood nutrient nutrient eat milk milk victuals seafood
eat eat chicken cheese milk nourishment meals plant soup fruit
drinks nutrient cereal sushi cereal fruits vegetables fruits vegetables meal beef cooking
drinks rice soup nutrient fruit soup pasta seafood edible nutrient
seafood fruits vegetables edible meat edible drinks rice restaurant victuals victuals
seafood meal cheese edible meat pasta drinks vegetable cereal animal
chicken animal fruit milk seafood rice cereal meals provender soup
chicken fruits vegetables fruit chicken vegetable meals sushi fruits vegetables sushi cooking
restaurant chicken edible cheese restaurant nutrition soup milk chicken chicken
meat animal meals cheese animal beef vegetable chicken cereal edible
soup vegetable plant vegetable edible milk cereal milk meals victuals
temperature__63c temperature__42c temperature__31c temperature__87c temperature__82c temperature__70c temperature__14c temperature__109c temperature__35c temperature__64c
temperature__90c temperature__109c temperature__28c temperature__123c temperature__36c temperature__86c temperature__33c temperature__7c temperature__145c temperature__79c
temperature__122c temperature__58c temperature__131c temperature__41c temperature__126c temperature__8c temperature__141c temperature__23c temperature__139c temperature__116c
temperature__122c temperature__6c temperature__120c temperature__8c temperature__108c temperature__12c temperature__58c temperature__2c temperature__12c temperature__136c
temperature__126c temperature__4c temperature__12c temperature__50c temperature__116c temperature__140c temperature__2c temperature__41c temperature__12c temperature__74c
temperature__100c temperature__6c temperature__98c temperature__73c temperature__63c temperature__40c temperature__140c temperature__87c temperature__79c temperature__137c
temperature__59c temperature__145c temperature__137c temperature__129c temperature__86c temperature__46c temperature__44c temperature__41c temperature__51c temperature__141c
temperature__54c temperature__93c temperature__92c temperature__122c temperature__22c temperature__137c temperature__54c temperature__6c temperature__57c temperature__148c
temperature__2c temperature__3c temperature__77c temperature__28c temperature__61c temperature__63c temperature__126c temperature__30c temperature__39c temperature__112c
temperature__53c temperature__22c temperature__0c temperature__98c temperature__30c temperature__84c temperature__0c temperature__63c temperature__68c temperature__68c
temperature__47c temperature__85c temperature__138c temperature__2c temperature__119c temperature__11c temperature__131c temperature__90c temperature__108c temperature__86c
