creature octopuses ladybug elephants multicellular bug carnal clams plant poikilotherm
temperature__17c temperature__87c temperature__26c temperature__130c temperature__130c temperature__123c temperature__130c temperature__131c temperature__36c temperature__78c
temperature__33c temperature__53c temperature__92c temperature__118c temperature__46c temperature__86c temperature__28c temperature__119c temperature__106c temperature__33c
temperature__129c temperature__138c temperature__124c temperature__4c temperature__39c temperature__118c temperature__42c temperature__106c temperature__98c temperature__129c
temperature__139c temperature__90c temperature__138c temperature__34c temperature__68c temperature__5c temperature__106c temperature__24c temperature__100c temperature__22c
temperature__130c temperature__109c temperature__106c temperature__52c temperature__100c temperature__138c temperature__144c temperature__0c temperature__130c temperature__64c
temperature__12c temperature__39c temperature__16c temperature__147c temperature__148c temperature__21c temperature__126c temperature__63c temperature__4c temperature__69c
temperature__147c temperature__106c temperature__88c temperature__11c temperature__7c temperature__106c temperature__58c temperature__78c temperature__42c temperature__147c
temperature__39c temperature__65c temperature__108c temperature__42c temperature__42c temperature__148c temperature__36c temperature__46c temperature__120c temperature__3c
temperature__56c temperature__64c temperature__54c temperature__0c temperature__33c temperature__22c temperature__17c temperature__88c temperature__69c temperature__98c
Thalamus Lymphaticvessel Bronchi Capillaries Midbrain Urethra Penis Joints Ureter Earlobe
Uterus Sensoryorgans Ovaries Cochlea Urethra Clitoris Pharynx Stomach Lens Bladder
Scrotum Placenta Eardrum Eye Tongue Cervix Arteries Ovaries Tongue Trachea
Capillaries Pharynx Ureter Earlobe Lymphaticvessel Lens Smallintestine Ligaments Midbrain Thymus
Earlobe Bladder Arteries Rectum Spinalnerves Earlobe Liver Tongue Cranialnerves Lips
Muscle Tongue Brain Rectum Capillaries Urethra Retina Ossicles Trachea Tonsils
Muscle Analcanal Esophagus Mesentery Outerear Veins Placenta Liver Thalamus Ciliarybody
Ureter Pharynx Ureter Clitoris Bone  Lens Pharynx Middleear Duodenum Largeintestine
Placenta Vulva Hypothalamus Capillaries Penis Larynx Muscle Kidneys Pharynx Gallbladder
Duodenum Bone  Cerebellum Liver Joints Thalamus Tastebuds Ureter Earlobe Ossicles
Stomach Analcanal Duodenum Ligaments Ligaments Eye Ligaments Mesentery Lips Pharynx
