Raisin Feijoa Pineberry Jujube Banana Elderberry Apple Mango Mangosteen Nectarine
temperature__28c temperature__105c temperature__57c temperature__52c temperature__100c temperature__98c temperature__7c temperature__17c temperature__123c temperature__27c
temperature__142c temperature__79c temperature__8c temperature__8c temperature__98c temperature__52c temperature__40c temperature__85c temperature__108c temperature__93c
temperature__40c temperature__51c temperature__63c temperature__8c temperature__87c temperature__64c temperature__63c temperature__108c temperature__109c temperature__21c
temperature__95c temperature__95c temperature__14c temperature__88c temperature__79c temperature__82c temperature__144c temperature__27c temperature__141c temperature__79c
temperature__77c temperature__42c temperature__120c temperature__58c temperature__53c temperature__140c temperature__21c temperature__54c temperature__118c temperature__91c
temperature__58c temperature__144c temperature__61c temperature__98c temperature__100c temperature__112c temperature__8c temperature__42c temperature__123c temperature__8c
SquareNumber_1521 SquareNumber_4761 SquareNumber_5329 SquareNumber_1369 SquareNumber_5184 SquareNumber_6400 SquareNumber_7744 SquareNumber_484 SquareNumber_1681 SquareNumber_7396
SquareNumber_4 SquareNumber_2209 SquareNumber_1681 SquareNumber_49 SquareNumber_4 SquareNumber_4 SquareNumber_784 SquareNumber_9409 SquareNumber_9025 SquareNumber_3844
SquareNumber_7225 SquareNumber_7569 SquareNumber_144 SquareNumber_3721 SquareNumber_2025 SquareNumber_2601 SquareNumber_3600 SquareNumber_64 SquareNumber_9409 SquareNumber_324
SquareNumber_9216 SquareNumber_3025 SquareNumber_5041 SquareNumber_4761 SquareNumber_441 SquareNumber_1444 SquareNumber_729 SquareNumber_144 SquareNumber_784 SquareNumber_1600
SquareNumber_324 SquareNumber_7744 SquareNumber_8100 SquareNumber_625 SquareNumber_144 SquareNumber_64 SquareNumber_1296 SquareNumber_7921 SquareNumber_7396 SquareNumber_1936
SquareNumber_1225 SquareNumber_6724 SquareNumber_8649 SquareNumber_400 SquareNumber_3481 SquareNumber_1024 SquareNumber_1444 SquareNumber_7056 SquareNumber_81 SquareNumber_1225
SquareNumber_484 SquareNumber_729 SquareNumber_7056 SquareNumber_2209 SquareNumber_1521 SquareNumber_961 SquareNumber_8464 SquareNumber_529 SquareNumber_2025 SquareNumber_9025
SquareNumber_5041 SquareNumber_5184 SquareNumber_9409 SquareNumber_4225 SquareNumber_144 SquareNumber_1156 SquareNumber_8281 SquareNumber_1764 SquareNumber_4761 SquareNumber_5625
SquareNumber_7225 SquareNumber_4489 SquareNumber_1936 SquareNumber_8464 SquareNumber_1369 SquareNumber_961 SquareNumber_256 SquareNumber_1600 SquareNumber_2401 SquareNumber_6400
SquareNumber_196 SquareNumber_3721 SquareNumber_2916 SquareNumber_289 SquareNumber_576 SquareNumber_100 SquareNumber_100 SquareNumber_289 SquareNumber_5929 SquareNumber_49
SquareNumber_3721 SquareNumber_100 SquareNumber_3969 SquareNumber_2809 SquareNumber_1849 SquareNumber_10000 SquareNumber_7744 SquareNumber_6889 SquareNumber_2116 SquareNumber_9604
