gun gangsterism imprisonment story crime massacre cases incarceration bloodshed trial
SquareNumber_256 SquareNumber_2916 SquareNumber_169 SquareNumber_5776 SquareNumber_961 SquareNumber_16 SquareNumber_9604 SquareNumber_2601 SquareNumber_36 SquareNumber_8836
SquareNumber_1369 SquareNumber_1369 SquareNumber_1849 SquareNumber_6561 SquareNumber_256 SquareNumber_2809 SquareNumber_9409 SquareNumber_400 SquareNumber_5476 SquareNumber_1089
SquareNumber_4489 SquareNumber_4761 SquareNumber_169 SquareNumber_7225 SquareNumber_1849 SquareNumber_1600 SquareNumber_9025 SquareNumber_4900 SquareNumber_1156 SquareNumber_49
SquareNumber_2916 SquareNumber_6561 SquareNumber_1521 SquareNumber_5184 SquareNumber_784 SquareNumber_196 SquareNumber_8649 SquareNumber_441 SquareNumber_1681 SquareNumber_144
SquareNumber_3364 SquareNumber_1764 SquareNumber_4489 SquareNumber_4356 SquareNumber_4356 SquareNumber_3844 SquareNumber_6561 SquareNumber_3721 SquareNumber_484 SquareNumber_4225
SquareNumber_441 SquareNumber_1521 SquareNumber_1156 SquareNumber_1444 SquareNumber_16 SquareNumber_7921 SquareNumber_64 SquareNumber_729 SquareNumber_6724 SquareNumber_144
Nance Durian Tamarind Lime Passionfruit Durian Strawberry Papaya Tangerine Tayberry
Jambul Kiwifruit Plumcot Tamarind Date Mulberry Coconut Fig Cherry Sapodilla
Ackee Damson Pawpaw Redcurrant Cherry Mangosteen Fig Watermelon Plum Passionfruit
Quince Canistel Grapefruit Apple Mulberry Cloudberry Mulberry Honeyberry Mandarine Jackfruit
Blackcurrant Jostaberry Fig Blackcurrant Damson Cherimoya Peach Tangelo Elderberry Jambul
Lulo Tamarillo Cempedak Honeydew Pineapple Blueberry Mulberry Plantain Persimmon Tamarind
Honeyberry Passionfruit Cashew Salmonberry Soursop Sapodilla Damson Apple Grapefruit Clementine
Sapodilla Gooseberry Rambutan  Mandarine Mangosteen Canistel Banana Mangosteen Pomelo Salmonberry
Peach Araza Pawpaw Loganberry Sapote Jambul Sapote Raisin Soursop Jackfruit
Huckleberry Pawpaw Pomelo Cranberry Elderberry Raisin Lulo Fig Cempedak Feijoa
Clementine Damson Plantain Pomegranate Salak Melon Pawpaw Tamarind Blackcurrant Rambutan 
temperature__139c temperature__8c temperature__142c temperature__27c temperature__93c temperature__120c temperature__44c temperature__46c temperature__0c temperature__0c
temperature__69c temperature__21c temperature__118c temperature__5c temperature__46c temperature__111c temperature__106c temperature__59c temperature__65c temperature__70c
temperature__53c temperature__93c temperature__124c temperature__44c temperature__140c temperature__14c temperature__59c temperature__119c temperature__23c temperature__90c
temperature__111c temperature__57c temperature__0c temperature__52c temperature__132c temperature__79c temperature__5c temperature__44c temperature__3c temperature__61c
temperature__11c temperature__130c temperature__85c temperature__120c temperature__0c temperature__53c temperature__24c temperature__116c temperature__69c temperature__92c
temperature__130c temperature__100c temperature__58c temperature__112c temperature__129c temperature__116c temperature__145c temperature__116c temperature__50c temperature__28c
temperature__123c temperature__3c temperature__30c temperature__33c temperature__16c temperature__100c temperature__27c temperature__4c temperature__111c temperature__71c
temperature__106c temperature__0c temperature__47c temperature__84c temperature__123c temperature__130c temperature__70c temperature__124c temperature__136c temperature__142c
temperature__131c temperature__49c temperature__17c temperature__137c temperature__116c temperature__71c temperature__90c temperature__139c temperature__119c temperature__5c
temperature__33c temperature__132c temperature__28c temperature__5c temperature__95c temperature__33c temperature__86c temperature__39c temperature__46c temperature__0c
temperature__130c temperature__63c temperature__70c temperature__7c temperature__39c temperature__79c temperature__27c temperature__136c temperature__54c temperature__79c
