Soursop Prune Honeyberry Lime Apricot Durian Bilberry Guava Cantaloupe Pineberry
BinaryNumber_0110000 BinaryNumber_0010001 BinaryNumber_1011111 BinaryNumber_1000010 BinaryNumber_0011011 BinaryNumber_1010111 BinaryNumber_1000001 BinaryNumber_0000001 BinaryNumber_0101101 BinaryNumber_0010010
BinaryNumber_1100011 BinaryNumber_0001100 BinaryNumber_1000110 BinaryNumber_0111111 BinaryNumber_0010110 BinaryNumber_0001110 BinaryNumber_0010111 BinaryNumber_1001011 BinaryNumber_0101110 BinaryNumber_1001010
BinaryNumber_0010101 BinaryNumber_0111111 BinaryNumber_1100000 BinaryNumber_0100100 BinaryNumber_0011100 BinaryNumber_0011001 BinaryNumber_0110111 BinaryNumber_0011000 BinaryNumber_0101011 BinaryNumber_1001001
smoggy clear stormy attractive innocent awful smoggy colorful tense fine
disturbed enchanting confused magnificent disgusted funny kind puzzled shiny disgusted
proud doubtful concerned disgusted ashamed creepy calm upset tender quaint
colorful selfish outstanding lazy easy tasty splendid combative bewildered smiling
putrid calm ugly good tame ugly awful spotless confused upset
cautious difficult dull mushy repulsive sparkling clever comfortable selfish poised
wide-eyed agreeable shy zealous homeless defiant glamorous nice vast clumsy
blue-eyed dull annoying clear foolish hungry worrisome stormy dark lovely
wandering hungry worried comfortable faithful wicked joyous tender quaint graceful
evil dizzy dark filthy adventurous jittery nice tense successful inquisitive
annoyed worrisome enthusiastic concerned bad victorious relieved witty good motionless
sportaccord health culture form hobby multisport motorsports gymnastics basketball games
industry diver teams tournament downfield hobby tournament multisport bouldering boast
organization pro bike chess sport frolic polo blazers gambol rowing
exercises referee industry skating industry dive muscle career basketball lead
extracurricular suit physical social mutant extracurricular active schuss pack hobbies
lead sport schuss fitness boast activities utility movement frisk muscle
concert cavort lifestyle company culture athletic archery entertainment hockey hunting
work hobby career tennis competitive club recreation competition frisk club
diver play sportsman frisk form social football dive athletics pack
gym physical judo disport disport ineligible exercise champion triathlon team
job gamely funambulism run schuss recreation games sports bike sportsmanship
