Yellow Bisque Indigo FloralWhite Goldenrod DarkBlue DarkCyan Chartreuse Wheat Turquoise
BinaryNumber_0101111 BinaryNumber_1001010 BinaryNumber_0100011 BinaryNumber_0111001 BinaryNumber_0110101 BinaryNumber_1011011 BinaryNumber_1001101 BinaryNumber_0100010 BinaryNumber_0110110 BinaryNumber_1011111
BinaryNumber_1000000 BinaryNumber_0011011 BinaryNumber_0100000 BinaryNumber_1011110 BinaryNumber_0110000 BinaryNumber_1100010 BinaryNumber_1000001 BinaryNumber_0011000 BinaryNumber_0011101 BinaryNumber_0011011
BinaryNumber_0111011 BinaryNumber_0001011 BinaryNumber_1000001 BinaryNumber_1000010 BinaryNumber_0110100 BinaryNumber_1001001 BinaryNumber_0010110 BinaryNumber_0100101 BinaryNumber_1001101 BinaryNumber_0101110
BinaryNumber_0110000 BinaryNumber_1011010 BinaryNumber_0110010 BinaryNumber_0111011 BinaryNumber_0010001 BinaryNumber_0101111 BinaryNumber_1100011 BinaryNumber_0111011 BinaryNumber_0011100 BinaryNumber_0001110
BinaryNumber_1000001 BinaryNumber_1010100 BinaryNumber_1001110 BinaryNumber_0001100 BinaryNumber_0100100 BinaryNumber_0101000 BinaryNumber_0110111 BinaryNumber_0010001 BinaryNumber_0101011 BinaryNumber_0011101
BinaryNumber_0111100 BinaryNumber_0100010 BinaryNumber_0111101 BinaryNumber_0011010 BinaryNumber_0010001 BinaryNumber_0100110 BinaryNumber_0100111 BinaryNumber_1001001 BinaryNumber_0001110 BinaryNumber_0100100
cereal seafood nutrition fruits vegetables meal pasta vegetable chicken cooking meat
rice cheese victuals eat nutrition rice edible victuals fruits vegetables restaurant
rice victuals restaurant drinks sushi cooking soup vegetable provender cereal
edible meal fruit restaurant animal cheese restaurant cooking fruits vegetables edible
chicken plant meals rice rice fruits vegetables eat nutrient beef victuals
meal seafood nourishment rice soup seafood pasta nutrient nourishment soup
cooking soup nourishment plant meals eat victuals rice cereal vegetable
pasta animal chicken chicken chicken meals meat seafood cheese cereal
meat nutrition plant meal victuals beef meat soup edible rice
restaurant victuals nourishment cooking soup chicken seafood meals cheese nutrient
soup rice beef restaurant meals drinks restaurant cereal cooking fruit
