murders corrupt drama crime muggings sentence pirate mutilation police rape
BinaryNumber_1001000 BinaryNumber_1010111 BinaryNumber_1001110 BinaryNumber_0100111 BinaryNumber_0001100 BinaryNumber_1011010 BinaryNumber_0101011 BinaryNumber_0010100 BinaryNumber_0111100 BinaryNumber_0100111
BinaryNumber_0001001 BinaryNumber_0000000 BinaryNumber_0010011 BinaryNumber_1000111 BinaryNumber_0000000 BinaryNumber_0001000 BinaryNumber_0011011 BinaryNumber_1000110 BinaryNumber_0111100 BinaryNumber_0100000
BinaryNumber_1011110 BinaryNumber_1001100 BinaryNumber_0110111 BinaryNumber_0100011 BinaryNumber_0011000 BinaryNumber_1000110 BinaryNumber_1010111 BinaryNumber_0001100 BinaryNumber_1000110 BinaryNumber_0111101
BinaryNumber_0111001 BinaryNumber_1001011 BinaryNumber_1011011 BinaryNumber_0111110 BinaryNumber_0101010 BinaryNumber_1010111 BinaryNumber_0000101 BinaryNumber_1011111 BinaryNumber_1011101 BinaryNumber_0000110
BinaryNumber_0010010 BinaryNumber_0100101 BinaryNumber_0001010 BinaryNumber_0101110 BinaryNumber_0000111 BinaryNumber_0011110 BinaryNumber_1011001 BinaryNumber_0100000 BinaryNumber_1010001 BinaryNumber_0000101
BinaryNumber_0100110 BinaryNumber_1100010 BinaryNumber_0110010 BinaryNumber_1001011 BinaryNumber_1100000 BinaryNumber_0100001 BinaryNumber_1011010 BinaryNumber_0110100 BinaryNumber_1001111 BinaryNumber_1011001
BinaryNumber_0011011 BinaryNumber_1000011 BinaryNumber_0101110 BinaryNumber_0001000 BinaryNumber_0110101 BinaryNumber_1011010 BinaryNumber_0000100 BinaryNumber_1010001 BinaryNumber_0001011 BinaryNumber_1100010
BinaryNumber_1000111 BinaryNumber_1011101 BinaryNumber_0001110 BinaryNumber_0100001 BinaryNumber_0000111 BinaryNumber_1011011 BinaryNumber_0101111 BinaryNumber_0101001 BinaryNumber_0001100 BinaryNumber_0010101
fruit meals meal provender meals meals edible nourishment fruit drinks
vegetable nourishment restaurant meat seafood nutrition nourishment rice provender nourishment
seafood cereal meat animal eat eat meat pasta seafood rice
eat drinks meals meat drinks sushi fruit nutrition meals fruit
eat meat eat cooking chicken fruits vegetables nourishment restaurant milk nourishment
eat rice drinks cheese beef victuals cooking cereal nutrition nutrition
plant cheese victuals sushi sushi nourishment cereal nutrition edible cereal
vegetable fruits vegetables vegetable meal nutrient sushi milk nutrition seafood fruits vegetables
provender cereal sushi edible chicken beef meals meat sushi meal
nourishment meat sushi victuals nourishment victuals meal nutrient fruit nutrient
beef restaurant nutrient pasta provender pasta plant drinks animal meal
