activity hockey triathlon skateboarding cross football sport hunters motorsports challenge
AliceBlue DarkTurquoise LightSlateBlue SeaGreen SaddleBrown Turquoise PaleTurquoise Seashell Indigo LightSalmon
DarkTurquoise FloralWhite OliveDrab PaleGreen Salmon Snow LightGoldenrod Goldenrod MediumPurple PaleGreen
Burlywood Gainsboro MediumAquamarine Honeydew DeepPink Maroon Blue MediumSpringGreen LightSalmon BlanchedAlmond
WhiteSmoke Yellow VioletRed Plum DarkViolet Gold DarkOrchid AliceBlue PapayaWhip DarkGray
Purple FloralWhite Indigo Chocolate LemonChiffon Moccasin ForestGreen LightPink SaddleBrown DimGray
SeaGreen BlanchedAlmond BlueViolet VioletRed MediumOrchid PaleVioletRed SlateGray Salmon Ivory BlueViolet
Peru LimeGreen AntiqueWhite LightCyan GhostWhite DarkGray Aquamarine Azure DarkOliveGreen Plum
Thistle Azure BlueViolet Linen White SaddleBrown MediumAquamarine LightGray DarkCyan PaleTurquoise
incompatible floppydisk abacus machine computercircuit cybertechnology smartphone server microprocessor imac
screen browser internet laptopcomputer virtualreality abacus digital game hardware chip
laptopcomputer pc computing smartphone screen antivirus internet arithmetic computing spyware
digitalcommunication game bit monitor console programmer centralprocessing unit digitalaudioplayer algorithm visualdisplayunit
peripheral mobiledevice computerhardware compatible mobile memory computerhardware console bit machines
monitor dataconverter integratedcircuit machines sliderule sliderule mobile expansionslot internet automation
compatible daw mobile arithmetic astrolabe information computerscience bit software sliderule
computerprogramming office monitor computercircuit calculator data tablet screen mechanicalcomputer digitalcommunication
game mobiledevice computercide mechanicalcomputer supercomputer pc software electrical office computerprogram
cyber imac homecomputer inputdevice computercircuit cyber homecomputer chip memory abacus
electrical computation data social cpu phone electronics computation arithmetic vacuumtube
legal homelessness gangs tort punitive transgression structuralism muggings violence serial
imprisonment poverty investigation trial trial corruption guilt noir assault terrorism
accident story racism slay barratry offense homeless police cases robbery
spy drugs forensic felony felony poison liberty brutality trafficking corrupt
mob misdemeanor murder homicide mystery unsolved gun war mafia law
noir punitive law-breaking poison abuse incarceration serial sentence shootings legal
drama guilt corruption evidence threats homeless trial rape lift incarceration
incarceration murders fraud imprisonment trial barratry serial transgression offenders violence
terrorism accident mutilation corruption illegal offenses kill poison criminals offense
brutality offenses spy noir slay gangs punitive unsolved structuralism transgression
snitching government suspense theft legislature racism mutilation gangsterism forensic cop
