tame concerned encouraging pleasant energetic scary clever good modern busy
SquareNumber_961 SquareNumber_3969 SquareNumber_169 SquareNumber_5476 SquareNumber_6724 SquareNumber_3600 SquareNumber_225 SquareNumber_2025 SquareNumber_4096 SquareNumber_1849
SquareNumber_441 SquareNumber_361 SquareNumber_3136 SquareNumber_1156 SquareNumber_1764 SquareNumber_144 SquareNumber_1444 SquareNumber_2116 SquareNumber_400 SquareNumber_4356
SquareNumber_25 SquareNumber_6241 SquareNumber_3969 SquareNumber_49 SquareNumber_6400 SquareNumber_49 SquareNumber_1681 SquareNumber_7921 SquareNumber_4356 SquareNumber_7744
temperature__42c temperature__0c temperature__4c temperature__2c temperature__73c temperature__137c temperature__65c temperature__71c temperature__147c temperature__10c
temperature__74c temperature__23c temperature__79c temperature__65c temperature__140c temperature__111c temperature__54c temperature__111c temperature__123c temperature__41c
temperature__23c temperature__79c temperature__2c temperature__40c temperature__12c temperature__93c temperature__123c temperature__126c temperature__57c temperature__129c
temperature__141c temperature__132c temperature__144c temperature__118c temperature__142c temperature__147c temperature__82c temperature__141c temperature__71c temperature__84c
temperature__139c temperature__142c temperature__87c temperature__35c temperature__34c temperature__95c temperature__14c temperature__44c temperature__53c temperature__34c
temperature__40c temperature__87c temperature__34c temperature__39c temperature__24c temperature__14c temperature__59c temperature__123c temperature__11c temperature__24c
temperature__40c temperature__5c temperature__16c temperature__86c temperature__118c temperature__50c temperature__31c temperature__23c temperature__109c temperature__52c
temperature__140c temperature__78c temperature__86c temperature__3c temperature__41c temperature__33c temperature__56c temperature__17c temperature__124c temperature__30c
temperature__65c temperature__53c temperature__24c temperature__136c temperature__14c temperature__53c temperature__88c temperature__58c temperature__118c temperature__87c
temperature__131c temperature__10c temperature__70c temperature__106c temperature__106c temperature__87c temperature__126c temperature__28c temperature__14c temperature__5c
temperature__61c temperature__39c temperature__108c temperature__137c temperature__52c temperature__14c temperature__51c temperature__41c temperature__84c temperature__24c
