teams boulder soccerball lead snowboarding skateboarding hobbies dance extracurricular boast
BinaryNumber_1000000 BinaryNumber_0111110 BinaryNumber_0000010 BinaryNumber_1011001 BinaryNumber_0111101 BinaryNumber_0001101 BinaryNumber_1011011 BinaryNumber_0001111 BinaryNumber_0111111 BinaryNumber_1000110
BinaryNumber_1010111 BinaryNumber_1100001 BinaryNumber_0101110 BinaryNumber_0011101 BinaryNumber_0110000 BinaryNumber_1100001 BinaryNumber_0001000 BinaryNumber_0010000 BinaryNumber_0110001 BinaryNumber_1010101
BinaryNumber_1000001 BinaryNumber_0100101 BinaryNumber_1100011 BinaryNumber_0111100 BinaryNumber_1011010 BinaryNumber_1001100 BinaryNumber_1001001 BinaryNumber_0100100 BinaryNumber_1000001 BinaryNumber_1000010
BinaryNumber_0000011 BinaryNumber_0011110 BinaryNumber_0101011 BinaryNumber_1001001 BinaryNumber_0011111 BinaryNumber_0101110 BinaryNumber_0000101 BinaryNumber_0011000 BinaryNumber_0110101 BinaryNumber_0100010
BinaryNumber_0001000 BinaryNumber_0001010 BinaryNumber_1011000 BinaryNumber_0110101 BinaryNumber_1000110 BinaryNumber_0110010 BinaryNumber_1000101 BinaryNumber_0001101 BinaryNumber_0110110 BinaryNumber_0111010
BinaryNumber_1010000 BinaryNumber_1001100 BinaryNumber_0000011 BinaryNumber_0000100 BinaryNumber_0110010 BinaryNumber_1000001 BinaryNumber_1100011 BinaryNumber_0111100 BinaryNumber_0010110 BinaryNumber_1001111
BinaryNumber_0000000 BinaryNumber_0100111 BinaryNumber_0111110 BinaryNumber_0010110 BinaryNumber_0101110 BinaryNumber_0000100 BinaryNumber_0111100 BinaryNumber_1000010 BinaryNumber_0101011 BinaryNumber_1010101
BinaryNumber_1010011 BinaryNumber_1000100 BinaryNumber_1000110 BinaryNumber_0110000 BinaryNumber_0110000 BinaryNumber_1100010 BinaryNumber_0010110 BinaryNumber_0101110 BinaryNumber_0001110 BinaryNumber_1010010
Pineberry Lime Tangerine Kiwano Pomelo Grape Sapote Soursop Sapodilla Tangerine
Watermelon Pomegranate Apricot Jostaberry Quince Tamarind Acerola Currant Durian Tamarillo
Marionberry Mangosteen Grape Persimmon Blackberry Tamarillo Tangelo Fig Kiwifruit Grapefruit
Pomegranate Raisin Cherimoya Plum Plumcot Lime Jackfruit Nance Lulo Yuzu
Jujube Canistel Nance Cherimoya Redcurrant Raspberry Apricot Melon Canistel Cranberry
Salak Papaya Honeydew Lulo Redcurrant Pineberry Rambutan  Orange Canistel Cranberry
Cherry Tangelo Plum Apricot Blackcurrant Lulo Kiwifruit Tamarillo Feijoa Cloudberry
Grape Sapodilla Lychee Clementine Cranberry Blueberry Salmonberry Feijoa Tamarillo Raisin
Feijoa Plumcot Bilberry Abiu Nectarine Cranberry Durian Plumcot Tamarillo Fig
Elderberry Kiwifruit Pomelo Grape Tayberry Strawberry Date Blackberry Honeydew Damson
Mulberry Plumcot Pomegranate Jackfruit Breadfruit Araza Fig Rambutan  Mandarine Lemon
