cat workanimal chickens superdog pig embryo mammals bear elephants tame
BinaryNumber_0001000 BinaryNumber_1000111 BinaryNumber_1000110 BinaryNumber_0101110 BinaryNumber_1011111 BinaryNumber_0111000 BinaryNumber_0111100 BinaryNumber_0100110 BinaryNumber_0000011 BinaryNumber_1100011
BinaryNumber_0000010 BinaryNumber_0010100 BinaryNumber_0011111 BinaryNumber_1000011 BinaryNumber_1001101 BinaryNumber_0110011 BinaryNumber_1011101 BinaryNumber_1011110 BinaryNumber_1011100 BinaryNumber_1001101
BinaryNumber_0110100 BinaryNumber_1011011 BinaryNumber_0110111 BinaryNumber_1000011 BinaryNumber_0111110 BinaryNumber_0110000 BinaryNumber_0100100 BinaryNumber_0110011 BinaryNumber_0100011 BinaryNumber_0101001
BinaryNumber_1000110 BinaryNumber_0011010 BinaryNumber_0010001 BinaryNumber_1011011 BinaryNumber_0100111 BinaryNumber_0011011 BinaryNumber_0110001 BinaryNumber_0011111 BinaryNumber_0011000 BinaryNumber_0101001
BinaryNumber_1001111 BinaryNumber_1000110 BinaryNumber_1010110 BinaryNumber_1000000 BinaryNumber_0010110 BinaryNumber_0100101 BinaryNumber_0001011 BinaryNumber_0010010 BinaryNumber_1000110 BinaryNumber_0111001
BinaryNumber_0111101 BinaryNumber_0011111 BinaryNumber_0111001 BinaryNumber_0000101 BinaryNumber_0100110 BinaryNumber_0010000 BinaryNumber_1000111 BinaryNumber_0101011 BinaryNumber_0101101 BinaryNumber_1100000
BinaryNumber_0110001 BinaryNumber_0111011 BinaryNumber_1010001 BinaryNumber_1010101 BinaryNumber_1000101 BinaryNumber_0000001 BinaryNumber_1011011 BinaryNumber_0110001 BinaryNumber_1001000 BinaryNumber_0100010
BinaryNumber_0000000 BinaryNumber_0110010 BinaryNumber_1100000 BinaryNumber_0111010 BinaryNumber_1001111 BinaryNumber_0001010 BinaryNumber_1001011 BinaryNumber_0110001 BinaryNumber_0110100 BinaryNumber_1001110
BinaryNumber_1001010 BinaryNumber_1100010 BinaryNumber_1010110 BinaryNumber_1011011 BinaryNumber_0111111 BinaryNumber_1011011 BinaryNumber_0111110 BinaryNumber_0010111 BinaryNumber_1011001 BinaryNumber_0111110
BinaryNumber_0100000 BinaryNumber_0110110 BinaryNumber_0011110 BinaryNumber_1010011 BinaryNumber_1100010 BinaryNumber_0001100 BinaryNumber_0001000 BinaryNumber_0110011 BinaryNumber_0101011 BinaryNumber_0111000
pasta meat chicken fruits vegetables cereal cooking fruit nourishment victuals soup
vegetable milk plant nutrition vegetable eat seafood edible fruit seafood
provender soup drinks plant sushi eat nutrient eat meal cooking
cereal beef sushi cooking animal vegetable drinks meat cereal nutrient
milk victuals provender milk sushi chicken vegetable plant cereal nutrient
animal provender drinks plant pasta plant victuals eat meals milk
milk vegetable seafood cereal cheese nutrient provender animal chicken meal
nourishment cereal victuals milk plant meals victuals plant cereal meal
nourishment cereal drinks vegetable restaurant eat pasta drinks fruits vegetables seafood
beef meals pasta nutrient cooking nutrition animal rice restaurant fruit
fruit chicken nourishment chicken vegetable nutrition drinks victuals cooking milk
