deer carnal zoology ladybug birds workanimal bird chordate farming domesticate
BinaryNumber_0011101 BinaryNumber_1001101 BinaryNumber_1010110 BinaryNumber_0000001 BinaryNumber_0111100 BinaryNumber_1100000 BinaryNumber_0011000 BinaryNumber_0001111 BinaryNumber_1010111 BinaryNumber_0000000
BinaryNumber_0011010 BinaryNumber_1011010 BinaryNumber_0011000 BinaryNumber_0110101 BinaryNumber_1000000 BinaryNumber_0110100 BinaryNumber_0101011 BinaryNumber_1100000 BinaryNumber_0010010 BinaryNumber_1010010
BinaryNumber_0110010 BinaryNumber_1001101 BinaryNumber_1001100 BinaryNumber_1001111 BinaryNumber_1000010 BinaryNumber_0100110 BinaryNumber_1011010 BinaryNumber_0000110 BinaryNumber_0101010 BinaryNumber_1000101
BinaryNumber_1000001 BinaryNumber_1010110 BinaryNumber_1010100 BinaryNumber_1100001 BinaryNumber_0001110 BinaryNumber_1001100 BinaryNumber_0001110 BinaryNumber_1001101 BinaryNumber_0111101 BinaryNumber_0110010
Lavender LightSkyBlue LightCyan MediumAquamarine IndianRed DarkTurquoise LightSteelBlue AntiqueWhite MistyRose MediumOrchid
Fuchsia DarkGray DarkSeaGreen Wheat Brown AliceBlue Tan PaleVioletRed MediumSlateBlue Indigo
AliceBlue DarkSalmon OrangeRed Chartreuse DarkTurquoise Burlywood SpringGreen LightSalmon OliveDrab Green
DeepPink Plum LightSeaGreen Silver DarkSlateBlue Purple RosyBrown MediumBlue LightGray Chocolate
Blue Red DarkKhaki PowderBlue SkyBlue Tan Thistle Gainsboro Brown Tomato
Azure DarkFuchsia Wheat LawnGreen SaddleBrown DarkViolet Crimson Linen OliveDrab Gray
DarkRed White Green DarkOrchid MediumTurquoise MediumBlue Cornsilk PeachPuff LightGoldenrodYellow Coral
MediumTurquoise PaleTurquoise OldLace DarkSalmon Turquoise White LemonChiffon Black Tan BlueViolet
DarkRed LightGoldenrodYellow LavenderBlush IndianRed MediumSlateBlue DarkOrange Snow Goldenrod Green DarkGreen
PaleGoldenrod DarkSlateBlue MediumVioletRed DarkOrange White Brown DimGray Crimson Ivory BlueViolet
SandyBrown LightGray Salmon LightGreen DarkSlateGray LightCoral LightCyan Olive DarkViolet Bisque
