Quince Sapote Soursop Ximenia Jostaberry Huckleberry Mandarine Currant Salak Lulo
BinaryNumber_1001010 BinaryNumber_0001110 BinaryNumber_0010011 BinaryNumber_1001110 BinaryNumber_0011010 BinaryNumber_0001111 BinaryNumber_0001110 BinaryNumber_1010000 BinaryNumber_1011001 BinaryNumber_1001110
BinaryNumber_1001100 BinaryNumber_0000100 BinaryNumber_1000110 BinaryNumber_0000000 BinaryNumber_0001011 BinaryNumber_1010100 BinaryNumber_0101011 BinaryNumber_0000100 BinaryNumber_0111100 BinaryNumber_0110110
BinaryNumber_1000100 BinaryNumber_1001011 BinaryNumber_1011111 BinaryNumber_0101101 BinaryNumber_1010101 BinaryNumber_0100011 BinaryNumber_0000000 BinaryNumber_0001001 BinaryNumber_0111000 BinaryNumber_0111100
BinaryNumber_0011001 BinaryNumber_1001100 BinaryNumber_1010011 BinaryNumber_1000111 BinaryNumber_1000000 BinaryNumber_1000010 BinaryNumber_1011011 BinaryNumber_0011010 BinaryNumber_1011111 BinaryNumber_0010101
BinaryNumber_0001001 BinaryNumber_1000111 BinaryNumber_1000111 BinaryNumber_0011110 BinaryNumber_0110111 BinaryNumber_0001001 BinaryNumber_0001110 BinaryNumber_0100001 BinaryNumber_0000110 BinaryNumber_0011100
BinaryNumber_1011100 BinaryNumber_0001100 BinaryNumber_1010010 BinaryNumber_0000101 BinaryNumber_0110111 BinaryNumber_1010001 BinaryNumber_1000011 BinaryNumber_0101001 BinaryNumber_0110101 BinaryNumber_0110001
BinaryNumber_0110111 BinaryNumber_1010001 BinaryNumber_0110111 BinaryNumber_0110101 BinaryNumber_0110101 BinaryNumber_0001010 BinaryNumber_0100100 BinaryNumber_1011111 BinaryNumber_1010100 BinaryNumber_0011101
temperature__10c temperature__68c temperature__86c temperature__91c temperature__68c temperature__40c temperature__86c temperature__49c temperature__142c temperature__136c
temperature__130c temperature__106c temperature__77c temperature__122c temperature__141c temperature__16c temperature__147c temperature__63c temperature__82c temperature__71c
temperature__112c temperature__138c temperature__4c temperature__21c temperature__74c temperature__39c temperature__59c temperature__124c temperature__65c temperature__68c
temperature__108c temperature__40c temperature__3c temperature__118c temperature__28c temperature__35c temperature__130c temperature__68c temperature__28c temperature__4c
temperature__112c temperature__2c temperature__52c temperature__31c temperature__139c temperature__46c temperature__90c temperature__142c temperature__74c temperature__42c
temperature__141c temperature__123c temperature__0c temperature__35c temperature__71c temperature__63c temperature__30c temperature__119c temperature__120c temperature__7c
temperature__6c temperature__90c temperature__106c temperature__118c temperature__46c temperature__42c temperature__130c temperature__64c temperature__56c temperature__2c
temperature__34c temperature__40c temperature__98c temperature__40c temperature__95c temperature__5c temperature__12c temperature__6c temperature__98c temperature__98c
temperature__68c temperature__105c temperature__148c temperature__23c temperature__42c temperature__3c temperature__79c temperature__5c temperature__136c temperature__5c
temperature__106c temperature__73c temperature__44c temperature__136c temperature__132c temperature__42c temperature__68c temperature__140c temperature__34c temperature__41c
temperature__22c temperature__17c temperature__49c temperature__82c temperature__84c temperature__112c temperature__87c temperature__147c temperature__47c temperature__35c
