Loquat Blackcurrant Jackfruit Currant Tamarind Mandarine Cantaloupe Kiwifruit Boysenberry Fig
annoying tame ugliest cruel difficult naughty muddy blue grotesque defeated
grieving cheerful blue-eyed tough motionless shiny blushing shiny agreeable zealous
glamorous obedient beautiful wicked smiling putrid fierce calm annoyed confused
encouraging wrong terrible healthy old-fashioned depressed bright courageous selfish magnificent
ill tender bad stupid putrid real outrageous frightened friendly expensive
elegant frightened confused anxious easy tame homely worried annoying vivacious
kind healthy easy calm shy nice brainy weary dizzy defiant
careful plain sore important annoyed wicked powerful bewildered pleasant old-fashioned
BinaryNumber_0001000 BinaryNumber_0111101 BinaryNumber_0000011 BinaryNumber_1011111 BinaryNumber_1010011 BinaryNumber_0010011 BinaryNumber_0011101 BinaryNumber_1001111 BinaryNumber_0100001 BinaryNumber_1011101
BinaryNumber_0001001 BinaryNumber_0100100 BinaryNumber_0010001 BinaryNumber_0001001 BinaryNumber_1000010 BinaryNumber_1010000 BinaryNumber_0111011 BinaryNumber_0000110 BinaryNumber_0101111 BinaryNumber_0100100
BinaryNumber_1010001 BinaryNumber_0010011 BinaryNumber_0100010 BinaryNumber_0111010 BinaryNumber_1001101 BinaryNumber_1001100 BinaryNumber_0111010 BinaryNumber_0100010 BinaryNumber_0111011 BinaryNumber_1011011
BinaryNumber_0010011 BinaryNumber_0111100 BinaryNumber_0000100 BinaryNumber_0101110 BinaryNumber_0110011 BinaryNumber_1001000 BinaryNumber_0110111 BinaryNumber_0001100 BinaryNumber_0001111 BinaryNumber_0110011
BinaryNumber_1010111 BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_1100010 BinaryNumber_0011001 BinaryNumber_0101000 BinaryNumber_0100010 BinaryNumber_0010101 BinaryNumber_0100111 BinaryNumber_0101000
BinaryNumber_0111011 BinaryNumber_0111110 BinaryNumber_1000101 BinaryNumber_0111100 BinaryNumber_0010001 BinaryNumber_0101010 BinaryNumber_0000111 BinaryNumber_1000110 BinaryNumber_0100010 BinaryNumber_0110010
BinaryNumber_0011000 BinaryNumber_1010101 BinaryNumber_1001101 BinaryNumber_0000001 BinaryNumber_0100101 BinaryNumber_1000011 BinaryNumber_1100010 BinaryNumber_0000010 BinaryNumber_0001001 BinaryNumber_1100011
BinaryNumber_0111101 BinaryNumber_0010001 BinaryNumber_1011011 BinaryNumber_0000100 BinaryNumber_0001111 BinaryNumber_0000011 BinaryNumber_0110001 BinaryNumber_0101001 BinaryNumber_0001100 BinaryNumber_0000010
BinaryNumber_0110000 BinaryNumber_0011010 BinaryNumber_0011100 BinaryNumber_1000101 BinaryNumber_1001011 BinaryNumber_0010010 BinaryNumber_0000100 BinaryNumber_0110111 BinaryNumber_0000000 BinaryNumber_0111111
BinaryNumber_1011000 BinaryNumber_0001101 BinaryNumber_1001001 BinaryNumber_0001011 BinaryNumber_0110011 BinaryNumber_1100011 BinaryNumber_0111000 BinaryNumber_1000000 BinaryNumber_0001110 BinaryNumber_0000100
BinaryNumber_0101101 BinaryNumber_0101011 BinaryNumber_0000100 BinaryNumber_0011101 BinaryNumber_0011011 BinaryNumber_1000100 BinaryNumber_0011001 BinaryNumber_0110110 BinaryNumber_0101101 BinaryNumber_0101001
frog clams animatebeing thoroughbred thoroughbred clams tame frog tufted mammal
tufted farming invertebrate mammal bug animalia protist protist monster biped
pigs fauna elephants elephants elephants wildlife heterotroph zoo wildlife epizootic
domesticate puppy cats multicellular heterotroph vertebrate plant pig frog protist
frog amphibians animals raccoon multicellular mammal pigs predatoryanimal jellyfish marineanimal
pitbull animatebeing deer reptiles animalkingdom tiger pups clams environmental dogs
rabbit zooplankton deer raccoon demon scavenger insect deer jellyfish pups
amphibians bird deer bird insectivorous octopuses zoo primate vegan creature
vegan elephants dogs zoo sensual animal welfare fleshly superdog pet insectivorous
reptiles beast animals reptiles chickens bobcat environmental exoticanimals bug carnal
sheep animalia dog cats dogs exoticanimals tufted reptile wild carnivore
