murder bloodshed prison poverty offenses trafficking robbery brutality gun human
BinaryNumber_0000011 BinaryNumber_0100111 BinaryNumber_1000000 BinaryNumber_1000010 BinaryNumber_0110100 BinaryNumber_0010010 BinaryNumber_1001000 BinaryNumber_1100000 BinaryNumber_1010110 BinaryNumber_1010010
BinaryNumber_0111001 BinaryNumber_0010000 BinaryNumber_0101000 BinaryNumber_1001110 BinaryNumber_0000000 BinaryNumber_1001000 BinaryNumber_1100010 BinaryNumber_1011001 BinaryNumber_0110111 BinaryNumber_0110000
BinaryNumber_0110101 BinaryNumber_0100001 BinaryNumber_0100010 BinaryNumber_1000101 BinaryNumber_0110110 BinaryNumber_0000100 BinaryNumber_0011000 BinaryNumber_0011100 BinaryNumber_1001110 BinaryNumber_0001100
BinaryNumber_0010111 BinaryNumber_0100110 BinaryNumber_0111000 BinaryNumber_0011010 BinaryNumber_0110100 BinaryNumber_0000010 BinaryNumber_0110111 BinaryNumber_0100010 BinaryNumber_0110110 BinaryNumber_0100001
BinaryNumber_1011101 BinaryNumber_1000000 BinaryNumber_0100100 BinaryNumber_1011101 BinaryNumber_0001001 BinaryNumber_1010110 BinaryNumber_0011111 BinaryNumber_0001101 BinaryNumber_1000001 BinaryNumber_0110100
BinaryNumber_1011011 BinaryNumber_1010000 BinaryNumber_0101111 BinaryNumber_1010000 BinaryNumber_0110101 BinaryNumber_0010001 BinaryNumber_0000101 BinaryNumber_1000000 BinaryNumber_1001100 BinaryNumber_0001110
clams wildlife insectivore insectivorous domesticate tiger marineanimal carnivore primate superdog
metazoan pigs carnal raccoon bird birds dinosaur tufted sheep wildlife
puppy vertebrate darter creature mammals tiger farming ladybug pig darter
jellyfish reptile dogs exoticanimals environmental tame carnal pigs sheep puppy
poikilotherm chickens embryo object frog meat pet reptiles animatebeing hourse
bug iguana mammal meat pitbull tame marineanimal pet dinosaur plant
chickens bear dog insectivore marineanimal poikilotherm varmint pups plant multicellular
bug object pitbull protist chickens scavenger reptile heterotroph domesticate epizootic
scavenger clams shelter pet carnivore zooplankton tufted livestock cat wildlife
chordate bobcat cats reptile cats multicellular raccoon pitbull meat vegan
insectivore superdog invertebrate environmental farming mythical poikilotherm sheep mythical carnal
fruit cereal nourishment chicken seafood meal fruit restaurant nutrition nutrition
meal provender provender pasta restaurant drinks fruit nourishment meal fruits vegetables
soup cereal milk meal beef beef plant cheese chicken pasta
fruit meat seafood drinks meals nutrition pasta rice plant seafood
pasta cooking nutrition restaurant plant sushi nourishment nutrient plant beef
meal chicken plant restaurant rice plant rice rice nutrition victuals
edible victuals cereal cooking beef nutrition meal edible animal drinks
nutrient meals plant milk nutrient vegetable plant victuals milk edible
fruits vegetables plant chicken rice rice sushi rice meat eat sushi
cooking nourishment pasta meat plant meal pasta soup plant beef
restaurant provender vegetable cereal rice seafood victuals animal cheese cooking
