entertainment snowboarding comfort athletes fighting art position sport cavort activity
BinaryNumber_0000111 BinaryNumber_0001111 BinaryNumber_0010001 BinaryNumber_0000011 BinaryNumber_1010001 BinaryNumber_0001011 BinaryNumber_0100001 BinaryNumber_0101111 BinaryNumber_0011010 BinaryNumber_0010010
BinaryNumber_1000011 BinaryNumber_0101001 BinaryNumber_0111110 BinaryNumber_1000011 BinaryNumber_1001000 BinaryNumber_0010000 BinaryNumber_0101001 BinaryNumber_1010110 BinaryNumber_1010100 BinaryNumber_0001101
BinaryNumber_0110011 BinaryNumber_0101101 BinaryNumber_1011001 BinaryNumber_0010000 BinaryNumber_0011110 BinaryNumber_0000110 BinaryNumber_0101110 BinaryNumber_0100011 BinaryNumber_0110011 BinaryNumber_1001001
BinaryNumber_0001111 BinaryNumber_0010011 BinaryNumber_1100010 BinaryNumber_0101110 BinaryNumber_0010100 BinaryNumber_1001010 BinaryNumber_1000110 BinaryNumber_0110101 BinaryNumber_0101111 BinaryNumber_1010001
BinaryNumber_1001001 BinaryNumber_0100000 BinaryNumber_0011010 BinaryNumber_0010111 BinaryNumber_0101111 BinaryNumber_0111100 BinaryNumber_0110101 BinaryNumber_1011011 BinaryNumber_1011101 BinaryNumber_0110000
BinaryNumber_0111000 BinaryNumber_0110111 BinaryNumber_1001000 BinaryNumber_1010010 BinaryNumber_1011000 BinaryNumber_0000000 BinaryNumber_0011111 BinaryNumber_1010011 BinaryNumber_0101011 BinaryNumber_0001111
BinaryNumber_1000101 BinaryNumber_0010110 BinaryNumber_0110001 BinaryNumber_0111001 BinaryNumber_1000101 BinaryNumber_0010000 BinaryNumber_0100000 BinaryNumber_0001111 BinaryNumber_0001100 BinaryNumber_0000110
BinaryNumber_0111011 BinaryNumber_1100001 BinaryNumber_0110101 BinaryNumber_1001110 BinaryNumber_0000110 BinaryNumber_0101001 BinaryNumber_0011111 BinaryNumber_1010011 BinaryNumber_0001101 BinaryNumber_1001010
BinaryNumber_0110100 BinaryNumber_1001100 BinaryNumber_0010000 BinaryNumber_0100101 BinaryNumber_0110100 BinaryNumber_0001111 BinaryNumber_0110110 BinaryNumber_0111110 BinaryNumber_0001000 BinaryNumber_0101101
amphibians carnal tiger bird beast pigs sensual eukaryotic marineanimal cats
predatoryanimal clams mammals zoo reptiles clams fantasy vegan plant zoo
protist puppy puppy dogs scavenger vegan scavenger superdog insectivore meat
superdog thoroughbred zoology dinosaur eukaryotic farming animals dogs deer marineanimal
domesticate llamas animal welfare tufted amphibians dinosaur zoo thoroughbred primate predatoryanimal
biped clams pigs tufted cat cat demon reptile ladybug chickens
chickens primate mythical rabbit sheep marineanimal pig pig dinosaur fish
sheep animatebeing fauna reptile epizootic insect wild rodent multicellular jellyfish
object mammal heterotroph bear sheep pitbull environmental domesticate meat animal welfare
clams mammals mythical dinosaur dogs beast insectivorous tame rodent vertebrate
insectivore zoology fantasy animal welfare livestock fantasy amphibians multicellular animatebeing dinosaur
glamorous panicky nervous horrible brave motionless encouraging joyous exuberant old-fashioned
cooperative fancy thoughtless fragile strange ugliest frantic stormy successful confused
tasty poor dull angry zany zealous itchy vivacious doubtful courageous
dead adventurous eager stupid sparkling anxious annoying terrible thoughtless magnificent
gleaming ugliest nutty homeless tame dull clumsy nasty agreeable mysterious
worried average wicked fair famous homely mushy drab tough easy
homely dark angry comfortable plain clean annoying worried obedient troubled
aggressive mushy depressed light busy disgusted joyous healthy naughty wrong
crowded grumpy poor real ugliest sleepy lazy blue-eyed dangerous innocent
encouraging brave smoggy lucky fragile fragile thoughtful stupid concerned terrible
graceful amused inquisitive dark cute tame mushy tired better doubtful
