MediumTurquoise NavajoWhite DarkRed DarkOrange DodgerBlue Orange Crimson PapayaWhip Feldspar SlateGray
temperature__95c temperature__144c temperature__74c temperature__111c temperature__137c temperature__88c temperature__41c temperature__61c temperature__146c temperature__30c
temperature__6c temperature__142c temperature__124c temperature__41c temperature__91c temperature__24c temperature__142c temperature__120c temperature__12c temperature__28c
BinaryNumber_0011111 BinaryNumber_1000110 BinaryNumber_0111011 BinaryNumber_1001110 BinaryNumber_0001110 BinaryNumber_0101001 BinaryNumber_0000111 BinaryNumber_0111010 BinaryNumber_1011110 BinaryNumber_0010010
BinaryNumber_1011000 BinaryNumber_1010110 BinaryNumber_1011000 BinaryNumber_1011100 BinaryNumber_0000000 BinaryNumber_0000111 BinaryNumber_0101100 BinaryNumber_0010010 BinaryNumber_0111111 BinaryNumber_1000100
BinaryNumber_0110010 BinaryNumber_0110111 BinaryNumber_0011101 BinaryNumber_0001001 BinaryNumber_0101110 BinaryNumber_0101101 BinaryNumber_0111111 BinaryNumber_0110100 BinaryNumber_0001101 BinaryNumber_1010011
BinaryNumber_0101011 BinaryNumber_0111100 BinaryNumber_0100110 BinaryNumber_0011101 BinaryNumber_1000001 BinaryNumber_0010100 BinaryNumber_1000000 BinaryNumber_1011000 BinaryNumber_0011010 BinaryNumber_1011100
BinaryNumber_1001000 BinaryNumber_1000110 BinaryNumber_1011001 BinaryNumber_0000110 BinaryNumber_1000100 BinaryNumber_1010010 BinaryNumber_0100010 BinaryNumber_1000100 BinaryNumber_1100001 BinaryNumber_0111000
BinaryNumber_0110110 BinaryNumber_1001111 BinaryNumber_1000010 BinaryNumber_0100100 BinaryNumber_0001000 BinaryNumber_0000111 BinaryNumber_1011011 BinaryNumber_0101001 BinaryNumber_0111001 BinaryNumber_0001010
BinaryNumber_0101101 BinaryNumber_0000101 BinaryNumber_1100011 BinaryNumber_0101010 BinaryNumber_0100010 BinaryNumber_0001101 BinaryNumber_1001111 BinaryNumber_0101011 BinaryNumber_0101011 BinaryNumber_1001101
BinaryNumber_1010000 BinaryNumber_0011001 BinaryNumber_1000000 BinaryNumber_1100001 BinaryNumber_0110110 BinaryNumber_0110101 BinaryNumber_0111101 BinaryNumber_1000010 BinaryNumber_0011011 BinaryNumber_1001001
BinaryNumber_0001110 BinaryNumber_1010100 BinaryNumber_0001001 BinaryNumber_1001101 BinaryNumber_1010100 BinaryNumber_0101100 BinaryNumber_0010000 BinaryNumber_1010101 BinaryNumber_1011010 BinaryNumber_0011101
BinaryNumber_0010001 BinaryNumber_1011100 BinaryNumber_1010100 BinaryNumber_0011011 BinaryNumber_0000010 BinaryNumber_1100010 BinaryNumber_1011011 BinaryNumber_1000011 BinaryNumber_0100000 BinaryNumber_1010101
BinaryNumber_0001001 BinaryNumber_0000101 BinaryNumber_0001011 BinaryNumber_0011000 BinaryNumber_0111100 BinaryNumber_0000011 BinaryNumber_0100001 BinaryNumber_1001000 BinaryNumber_1100001 BinaryNumber_0001001
hurt alert glorious anxious defeated old-fashioned obnoxious perfect smiling frantic
zealous stupid cautious frightened sleepy defeated bad distinct glorious super
graceful bright terrible famous unusual ill real depressed charming odd
frantic witty adorable precious expensive shy thoughtless gifted impossible jittery
dark inquisitive frail zealous frightened wandering blue stormy bad misty
putrid plain outstanding super lively bloody defeated glorious comfortable dangerous
faithful putrid hilarious glamorous clumsy shy smiling clever lazy magnificent
alert amused nutty bewildered powerful dead outrageous clean bored creepy
amused jealous lonely magnificent frightened silly lovely precious troubled distinct
amused outstanding sore misty tough odd foolish awful bad graceful
helpful funny crazy shiny foolish annoyed panicky helpful powerful stormy
