organization fighting run lead offside ineligible referee supersport casual champion
BinaryNumber_1000010 BinaryNumber_0111000 BinaryNumber_0001101 BinaryNumber_1001100 BinaryNumber_1100000 BinaryNumber_0010101 BinaryNumber_1001110 BinaryNumber_1001110 BinaryNumber_0111100 BinaryNumber_0111000
BinaryNumber_0111001 BinaryNumber_0011010 BinaryNumber_0010100 BinaryNumber_1001001 BinaryNumber_1100001 BinaryNumber_1001010 BinaryNumber_1010110 BinaryNumber_1000010 BinaryNumber_0110001 BinaryNumber_1011100
BinaryNumber_0000111 BinaryNumber_1011001 BinaryNumber_0111001 BinaryNumber_0011011 BinaryNumber_0111110 BinaryNumber_0100110 BinaryNumber_1011011 BinaryNumber_1001011 BinaryNumber_1010011 BinaryNumber_1011010
BinaryNumber_0111101 BinaryNumber_0111110 BinaryNumber_0000111 BinaryNumber_0001100 BinaryNumber_1100010 BinaryNumber_0111001 BinaryNumber_1011001 BinaryNumber_0110110 BinaryNumber_0110010 BinaryNumber_1011101
BinaryNumber_0101010 BinaryNumber_0101100 BinaryNumber_0111000 BinaryNumber_1100010 BinaryNumber_1011101 BinaryNumber_0000001 BinaryNumber_0011011 BinaryNumber_0100111 BinaryNumber_0100000 BinaryNumber_0000110
BinaryNumber_0101010 BinaryNumber_1011111 BinaryNumber_1001011 BinaryNumber_0001011 BinaryNumber_0110011 BinaryNumber_1001011 BinaryNumber_1000111 BinaryNumber_0100010 BinaryNumber_0011101 BinaryNumber_1001110
BinaryNumber_1000101 BinaryNumber_1100011 BinaryNumber_0111110 BinaryNumber_0001001 BinaryNumber_1001100 BinaryNumber_0110110 BinaryNumber_1100001 BinaryNumber_1001111 BinaryNumber_0000011 BinaryNumber_1011111
BinaryNumber_0011001 BinaryNumber_0011100 BinaryNumber_0001011 BinaryNumber_0010011 BinaryNumber_1001101 BinaryNumber_0111100 BinaryNumber_0011101 BinaryNumber_0001101 BinaryNumber_0101101 BinaryNumber_0010111
BinaryNumber_1100011 BinaryNumber_0100100 BinaryNumber_0100100 BinaryNumber_0001111 BinaryNumber_1100001 BinaryNumber_1010100 BinaryNumber_1001111 BinaryNumber_1100001 BinaryNumber_1000110 BinaryNumber_0110111
BinaryNumber_0110011 BinaryNumber_1001011 BinaryNumber_1000110 BinaryNumber_1010001 BinaryNumber_0000111 BinaryNumber_0111001 BinaryNumber_1011110 BinaryNumber_0110010 BinaryNumber_1000101 BinaryNumber_1001110
BinaryNumber_0010010 BinaryNumber_0110111 BinaryNumber_0011001 BinaryNumber_0100110 BinaryNumber_0100011 BinaryNumber_0100111 BinaryNumber_0001101 BinaryNumber_1000010 BinaryNumber_1001001 BinaryNumber_0101000
sparkling ugly determined puzzled careful agreeable clumsy glorious drab envious
blushing terrible famous fragile sparkling hungry splendid dark condemned terrible
thoughtful foolish putrid evil comfortable proud alive clean alive zany
spotless elegant bloody repulsive obedient sparkling expensive inquisitive easy successful
magnificent busy dizzy cute ugly wild clean poor exuberant plain
tame enchanting dark angry clever hilarious terrible blue-eyed perfect nice
gorgeous enchanting blushing terrible comfortable horrible worried embarrassed tender charming
worried eager poised tasty long frail frightened innocent pleasant nutty
drab hurt precious filthy homely adorable brainy wicked fantastic silly
easy old-fashioned spotless sleepy dull thoughtful easy modern gleaming awful
stupid uninterested blue-eyed frightened poised homeless nice proud rich helpful
Feldspar LightGreen DarkKhaki BlanchedAlmond GreenYellow DarkSeaGreen LightCoral Snow NavajoWhite MidnightBlue
WhiteSmoke Cornsilk Firebrick LavenderBlush PapayaWhip LightSeaGreen Coral LimeGreen SlateGray Aquamarine
SkyBlue SteelBlue SteelBlue Brown Orange DarkRed LightCyan OrangeRed MintCream DarkSlateBlue
Gainsboro Lavender DarkSeaGreen Ivory Firebrick Violet LightSkyBlue Honeydew LightSteelBlue OliveDrab
RosyBrown DodgerBlue MidnightBlue PaleGoldenrod OrangeRed LightGoldenrod SeaGreen LawnGreen CornflowerBlue OrangeRed
ForestGreen LightSlateGray GhostWhite Ivory MediumOrchid SaddleBrown ForestGreen DarkSlateBlue DimGray DarkGray
DarkSalmon MediumSeaGreen ForestGreen Khaki DarkBlue SteelBlue MediumBlue DarkFuchsia Peru DarkFuchsia
Chocolate Lavender Bisque MintCream MintCream DarkFuchsia PaleVioletRed MediumTurquoise DimGray FloralWhite
DarkSlateBlue PaleGoldenrod Plum LightSkyBlue LimeGreen DarkGray DarkViolet DarkTurquoise Ivory Yellow
Brown Indigo Honeydew MediumSpringGreen CornflowerBlue DarkKhaki LightSeaGreen Chocolate DarkGreen MediumOrchid
GhostWhite LightCyan LightSlateGray Linen Burlywood Aquamarine OliveDrab Ivory OrangeRed DeepPink
