sore busy brave cheerful muddy foolish defiant dead anxious shiny
BinaryNumber_1011010 BinaryNumber_1000011 BinaryNumber_1001110 BinaryNumber_0011001 BinaryNumber_1001100 BinaryNumber_0111000 BinaryNumber_0111011 BinaryNumber_1100011 BinaryNumber_0011010 BinaryNumber_0010111
BinaryNumber_1011010 BinaryNumber_0110100 BinaryNumber_1001000 BinaryNumber_0000101 BinaryNumber_1011111 BinaryNumber_0011100 BinaryNumber_1011101 BinaryNumber_1011101 BinaryNumber_0011011 BinaryNumber_0000001
BinaryNumber_1010101 BinaryNumber_0001000 BinaryNumber_1000001 BinaryNumber_0100101 BinaryNumber_0111110 BinaryNumber_0100000 BinaryNumber_1001110 BinaryNumber_1100011 BinaryNumber_0111011 BinaryNumber_1000111
BinaryNumber_0000011 BinaryNumber_0101110 BinaryNumber_0011010 BinaryNumber_0001010 BinaryNumber_0110000 BinaryNumber_0011010 BinaryNumber_0110000 BinaryNumber_0110001 BinaryNumber_1001010 BinaryNumber_1000000
BinaryNumber_0010110 BinaryNumber_1010000 BinaryNumber_0111001 BinaryNumber_0010100 BinaryNumber_1010110 BinaryNumber_0011010 BinaryNumber_0100011 BinaryNumber_0011100 BinaryNumber_1100010 BinaryNumber_0101001
BinaryNumber_0010000 BinaryNumber_0011100 BinaryNumber_1001100 BinaryNumber_0101011 BinaryNumber_0010110 BinaryNumber_0000001 BinaryNumber_0011011 BinaryNumber_0011100 BinaryNumber_0111000 BinaryNumber_1010011
BinaryNumber_1001101 BinaryNumber_0100011 BinaryNumber_1011110 BinaryNumber_0011110 BinaryNumber_0100010 BinaryNumber_0000001 BinaryNumber_0111111 BinaryNumber_0011010 BinaryNumber_1010100 BinaryNumber_0110011
BinaryNumber_1010011 BinaryNumber_0010101 BinaryNumber_1100010 BinaryNumber_1011100 BinaryNumber_0011101 BinaryNumber_1011101 BinaryNumber_0101110 BinaryNumber_1011000 BinaryNumber_0111011 BinaryNumber_0000111
BinaryNumber_1010010 BinaryNumber_1011010 BinaryNumber_1011001 BinaryNumber_1011000 BinaryNumber_1100011 BinaryNumber_1100000 BinaryNumber_0101100 BinaryNumber_1010101 BinaryNumber_0101101 BinaryNumber_1001010
BinaryNumber_0110001 BinaryNumber_0011000 BinaryNumber_1001110 BinaryNumber_0000100 BinaryNumber_0000001 BinaryNumber_0101101 BinaryNumber_1000101 BinaryNumber_0011010 BinaryNumber_1010101 BinaryNumber_0111110
12:50 11:17 12:38 18:41 20:43 10:47 23:32 20:50 12:47 21:49
23:14 20:35 23:58 22:51 13:26 22:16 12:41 21:59 23:51 19:31
16:16 20:10 10:37 14:45 13:45 19:29 12:52 11:43 16:22 16:46
16:37 21:14 10:56 20:14 13:11 15:50 13:17 14:12 18:38 14:27
13:46 14:22 12:18 10:52 18:32 11:48 23:44 20:43 20:29 21:56
21:15 14:15 23:11 14:40 10:17 18:58 17:55 23:58 17:35 21:32
18:12 22:49 21:45 23:33 10:46 22:51 23:22 15:25 11:54 17:40
12:37 18:42 21:54 15:38 10:15 14:30 16:31 12:36 11:22 14:10
23:16 14:54 11:52 23:36 14:29 10:57 12:48 17:43 23:39 16:14
17:10 19:35 11:28 18:18 18:46 19:45 23:45 20:11 18:45 13:22
10:35 22:19 10:16 12:23 16:11 11:49 12:20 21:54 10:30 18:14
SquareNumber_1521 SquareNumber_6084 SquareNumber_16 SquareNumber_3136 SquareNumber_144 SquareNumber_4489 SquareNumber_6084 SquareNumber_1936 SquareNumber_225 SquareNumber_1849
SquareNumber_1156 SquareNumber_9216 SquareNumber_3481 SquareNumber_256 SquareNumber_5476 SquareNumber_6400 SquareNumber_4356 SquareNumber_16 SquareNumber_1849 SquareNumber_9801
SquareNumber_4624 SquareNumber_289 SquareNumber_1156 SquareNumber_2401 SquareNumber_8649 SquareNumber_9409 SquareNumber_9 SquareNumber_6241 SquareNumber_8649 SquareNumber_289
SquareNumber_64 SquareNumber_2401 SquareNumber_2025 SquareNumber_3025 SquareNumber_4 SquareNumber_2025 SquareNumber_9216 SquareNumber_4761 SquareNumber_8836 SquareNumber_5041
SquareNumber_5041 SquareNumber_1521 SquareNumber_256 SquareNumber_5184 SquareNumber_361 SquareNumber_961 SquareNumber_7056 SquareNumber_5929 SquareNumber_196 SquareNumber_4900
SquareNumber_625 SquareNumber_5184 SquareNumber_8100 SquareNumber_900 SquareNumber_1521 SquareNumber_2209 SquareNumber_1156 SquareNumber_3136 SquareNumber_3481 SquareNumber_1521
SquareNumber_6084 SquareNumber_784 SquareNumber_100 SquareNumber_784 SquareNumber_5776 SquareNumber_6241 SquareNumber_7225 SquareNumber_7744 SquareNumber_4096 SquareNumber_3969
SquareNumber_8464 SquareNumber_4761 SquareNumber_5929 SquareNumber_4 SquareNumber_1369 SquareNumber_7921 SquareNumber_5625 SquareNumber_9216 SquareNumber_676 SquareNumber_1521
SquareNumber_9409 SquareNumber_1521 SquareNumber_4489 SquareNumber_4624 SquareNumber_1089 SquareNumber_361 SquareNumber_225 SquareNumber_1156 SquareNumber_16 SquareNumber_784
SquareNumber_3249 SquareNumber_361 SquareNumber_3481 SquareNumber_6561 SquareNumber_16 SquareNumber_5041 SquareNumber_6889 SquareNumber_5929 SquareNumber_2601 SquareNumber_7225
SquareNumber_9 SquareNumber_5476 SquareNumber_6889 SquareNumber_5476 SquareNumber_9409 SquareNumber_324 SquareNumber_576 SquareNumber_1849 SquareNumber_225 SquareNumber_576
