eniac software von neumann machine expansionslot compatible computerprogram incompatible computerprogramming calculator bit
incompatible mobile arithmetic information floppydisk antivirus camera automation analogcomputer laptopcomputer
Lemon Gooseberry Ximenia Guava Plum Jostaberry Melon Cempedak Cranberry Bilberry
Strawberry Coconut Canistel Tangelo Passionfruit Prune Pineberry Mulberry Melon Coconut
Apricot Açaí Fig Raspberry Nance Ximenia Satsuma Persimmon Salak Mulberry
DarkOrange DarkBlue SaddleBrown Burlywood GreenYellow Seashell Coral BlueViolet OliveDrab DeepSkyBlue
BlueViolet Khaki DarkGoldenrod DarkTurquoise LightSlateGray MediumAquamarine DarkCyan Fuchsia VioletRed Orchid
LightGray LightSkyBlue PapayaWhip Maroon Khaki Silver DarkFuchsia Honeydew Lavender PaleTurquoise
DarkOliveGreen LimeGreen CornflowerBlue LightSalmon DarkOliveGreen PeachPuff LightYellow Green MediumSlateBlue Maroon
Pink Cornsilk Red RosyBrown Red DarkFuchsia Wheat LawnGreen DarkSlateBlue DarkSlateGray
MediumTurquoise Ivory LavenderBlush PaleTurquoise Peru DimGray Aquamarine SaddleBrown CornflowerBlue Linen
Moccasin CadetBlue DarkOrange Coral Navy LightGreen Gray LightGray SaddleBrown MediumPurple
RosyBrown MediumTurquoise Gainsboro VioletRed Gray NavajoWhite LimeGreen Salmon Gold LightSlateGray
MediumTurquoise DeepPink OldLace Peru OrangeRed LightGoldenrod SkyBlue Wheat Aquamarine LightCyan
DodgerBlue Indigo Lime MintCream MediumPurple GreenYellow DarkOliveGreen LightGreen Khaki Ivory
Tomato PeachPuff DimGray MediumTurquoise LightGreen Chartreuse Gray Snow MediumTurquoise IndianRed
