poikilotherm workanimal tufted deer protist tame predatoryanimal carnal insectivorous bobcat
BinaryNumber_0001111 BinaryNumber_0000111 BinaryNumber_1100001 BinaryNumber_1000011 BinaryNumber_0100111 BinaryNumber_1000101 BinaryNumber_0001010 BinaryNumber_0100111 BinaryNumber_0111110 BinaryNumber_1001001
BinaryNumber_0011001 BinaryNumber_1100001 BinaryNumber_1000001 BinaryNumber_0010100 BinaryNumber_0111010 BinaryNumber_1100010 BinaryNumber_1000000 BinaryNumber_0001001 BinaryNumber_0010001 BinaryNumber_1001101
fraud shoplift terrorism mafia snitching massacre human terrorism death suspense
law skyjack slayings trial victim shoplift arrest human massacre law
criminals smuggle death guilt evidence legal homicides illegal barratry police
highjack arrest unsolved misdemeanour unsolved evidence felony psychological trafficking crime
noir bloodshed murders revenge shoplift shoplift highjack heist criminality law-breaking
illegal gang offenses criminal genocide brutality legal offence theft homeless
statutory mutilation revenge drug safety prison structuralism assault muggings blackmail
arrest justice statutory incarceration poison criminal transgression brutality murders thrillers
offense slay racism thriller violence theft murders abuse prison murders
offence offenses conspiracy liberty pirate arrest homicides trial trial victim
punishment sentence arrest sentence shoplift missing pirate rape cases cop
