defeated nutty worried strange awful gentle poised bright powerful grumpy
SquareNumber_3481 SquareNumber_4900 SquareNumber_2704 SquareNumber_9801 SquareNumber_484 SquareNumber_36 SquareNumber_196 SquareNumber_9216 SquareNumber_64 SquareNumber_9025
SquareNumber_576 SquareNumber_4761 SquareNumber_6400 SquareNumber_729 SquareNumber_2025 SquareNumber_9604 SquareNumber_841 SquareNumber_4489 SquareNumber_25 SquareNumber_2916
SquareNumber_625 SquareNumber_8836 SquareNumber_2025 SquareNumber_1024 SquareNumber_3364 SquareNumber_5476 SquareNumber_900 SquareNumber_1024 SquareNumber_729 SquareNumber_4761
SquareNumber_1444 SquareNumber_2304 SquareNumber_36 SquareNumber_729 SquareNumber_3249 SquareNumber_5476 SquareNumber_4356 SquareNumber_121 SquareNumber_576 SquareNumber_8464
SquareNumber_4225 SquareNumber_289 SquareNumber_8281 SquareNumber_1296 SquareNumber_5329 SquareNumber_6084 SquareNumber_8100 SquareNumber_4 SquareNumber_4900 SquareNumber_2809
SquareNumber_4225 SquareNumber_676 SquareNumber_7744 SquareNumber_484 SquareNumber_2500 SquareNumber_3364 SquareNumber_7396 SquareNumber_9216 SquareNumber_2601 SquareNumber_5329
SquareNumber_7225 SquareNumber_2304 SquareNumber_729 SquareNumber_3025 SquareNumber_1089 SquareNumber_5041 SquareNumber_121 SquareNumber_6241 SquareNumber_36 SquareNumber_6724
SquareNumber_5184 SquareNumber_1936 SquareNumber_2601 SquareNumber_5625 SquareNumber_6241 SquareNumber_3364 SquareNumber_2401 SquareNumber_529 SquareNumber_441 SquareNumber_3600
SquareNumber_121 SquareNumber_4356 SquareNumber_8649 SquareNumber_3364 SquareNumber_8464 SquareNumber_4225 SquareNumber_6889 SquareNumber_2704 SquareNumber_1849 SquareNumber_2116
SquareNumber_2809 SquareNumber_5625 SquareNumber_2601 SquareNumber_1369 SquareNumber_6084 SquareNumber_5476 SquareNumber_625 SquareNumber_576 SquareNumber_400 SquareNumber_3844
SquareNumber_5184 SquareNumber_4 SquareNumber_10000 SquareNumber_9604 SquareNumber_8281 SquareNumber_4900 SquareNumber_2916 SquareNumber_81 SquareNumber_4900 SquareNumber_2916
