Mulberry Currant Kumquat Blackberry Cherry Tayberry Ximenia Huckleberry Nance Raspberry
temperature__59c temperature__17c temperature__10c temperature__86c temperature__6c temperature__56c temperature__136c temperature__46c temperature__10c temperature__65c
temperature__91c temperature__3c temperature__132c temperature__112c temperature__63c temperature__131c temperature__41c temperature__74c temperature__145c temperature__0c
temperature__137c temperature__8c temperature__65c temperature__10c temperature__46c temperature__35c temperature__23c temperature__109c temperature__123c temperature__123c
temperature__120c temperature__2c temperature__106c temperature__78c temperature__23c temperature__118c temperature__23c temperature__86c temperature__140c temperature__54c
temperature__90c temperature__2c temperature__70c temperature__24c temperature__116c temperature__8c temperature__49c temperature__88c temperature__106c temperature__122c
16:51 17:55 20:31 18:48 23:32 16:35 13:14 11:49 17:32 13:16
23:49 21:45 11:27 11:29 21:57 19:39 23:34 13:32 20:43 21:50
20:54 22:55 13:20 16:42 15:57 12:44 22:49 10:33 18:38 18:19
15:19 14:30 22:52 16:19 15:54 10:45 18:34 14:28 11:59 20:20
11:13 17:36 23:12 13:10 18:21 10:12 15:24 14:30 19:10 19:47
21:33 19:49 18:15 16:17 22:13 10:26 13:55 21:52 18:59 14:47
23:49 21:38 19:28 21:42 23:47 13:59 16:48 20:10 18:39 12:49
16:39 19:26 16:29 12:28 11:36 17:11 12:35 10:44 10:31 10:49
18:15 10:56 16:18 17:26 13:19 15:53 10:46 11:38 10:16 12:49
23:10 13:23 23:33 11:33 10:20 17:13 20:48 22:37 10:26 12:24
16:11 20:13 23:16 17:13 19:41 13:24 10:45 12:38 13:33 13:56
Nerves Gallbladder Cochlea Cerebellum Lungs Bone  Spinalnerves Ovaries Mouth Spinalnerves
Cranialnerves Uterus Lips Scrotum Scrotum Tongue Stomach Thalamus Stomach Ureter
Penis Ciliarybody Scrotum Largeintestine Lips Ureter Urethra Vulva Smallintestine Sensoryorgans
Larynx Pancreas Brain Thymus Duodenum Bronchi Tastebuds Uterus Larynx Lymphaticvessel
Rectum Fallopiantubes Largeintestine Stomach Sensoryorgans Iris Lungs Heart Fallopiantubes Ligaments
Scrotum Innerear Retina Lens Lips Lens Eye Brain Ovaries Lens
Retina Teeth Larynx Ossicles Ligaments Midbrain Mesentery Cecum Teeth Pharynx
Tonsils Fallopiantubes Clitoris Eye Ureter Liver Interstitium Analcanal Gallbladder Interstitium
Cornea Tongue Kidneys Tongue Earlobe Liver Muscle Jejunum Liver Iris
Largeintestine Nerves Bladder Ligaments Clitoris Teeth Mesentery Ossicles Ileum Nerves
Stomach Spleen Kidneys Outerear Hypothalamus Vagina Iris Innerear Ovaries Pancreas
