Cashew Sapote Breadfruit Ackee Plantain Durian Tayberry Raspberry Apple Redcurrant
LightPink DarkCyan Firebrick Navy CadetBlue OldLace DarkSlateBlue DarkTurquoise MintCream MediumSeaGreen
Gainsboro Fuchsia Sienna LightGoldenrod FloralWhite Burlywood Coral Tomato Crimson MediumAquamarine
MediumSpringGreen MediumAquamarine Brown Linen Honeydew LightGreen Linen FloralWhite Firebrick PaleGoldenrod
human shootings supernatural assault gangster threats victim war incarceration punitive
cybercrime political snitching mystery shootings conspiracy thrillers muggings bloodshed war
mafia blackmail victim mob cop noir heist blackmail snitching smuggle
death murder country police noir lift law-breaking misdemeanor lift genocide
misdemeanor homelessness thrillers robbery trafficking legislature offenders human gangs country
fraud pirate massacre victim pirate police tort pirate spy legislature
law law law-breaking mafia forensic mafia bloodshed kill misdemeanour offenders
murders sin detective action legislature bloodshed legal theft structuralism cop
police investigation homicide arrest action guilty offence barratry assault mutilation
poison tort felony thrillers muggings offenses rape gangster victim theft
bloodshed homeless theft guilty homeless structuralism police forensic abuse assault
