metal concerto lyric maps spotify films rhythm mediant blues rhapsody
talented odd distinct important envious wild impossible tense cheerful wicked
excited tired wicked frightened elegant hilarious comfortable important brave weary
arrogant prickly magnificent important magnificent dizzy good impossible light old-fashioned
expensive bored clumsy arrogant thoughtful gleaming friendly eager worrisome jolly
tame outstanding obedient fancy precious breakable quaint hungry thoughtful fair
concerned tame blushing wide-eyed envious odd depressed uninterested eager encouraging
fair frightened defiant witty vast relieved elegant grumpy enchanting joyous
grotesque brainy adorable tense clear faithful muddy enthusiastic sparkling precious
BinaryNumber_0111010 BinaryNumber_0101110 BinaryNumber_1001011 BinaryNumber_0001110 BinaryNumber_0110011 BinaryNumber_0111101 BinaryNumber_0000111 BinaryNumber_1011001 BinaryNumber_1100000 BinaryNumber_0110000
BinaryNumber_1010110 BinaryNumber_0101000 BinaryNumber_1000001 BinaryNumber_1010001 BinaryNumber_0111011 BinaryNumber_1011001 BinaryNumber_0010101 BinaryNumber_0011100 BinaryNumber_1010110 BinaryNumber_0100010
BinaryNumber_0101011 BinaryNumber_0111100 BinaryNumber_0101110 BinaryNumber_1010100 BinaryNumber_0001110 BinaryNumber_1100001 BinaryNumber_0111011 BinaryNumber_1001010 BinaryNumber_1010000 BinaryNumber_0110001
BinaryNumber_1001110 BinaryNumber_1010001 BinaryNumber_0110110 BinaryNumber_1000110 BinaryNumber_0110111 BinaryNumber_1000111 BinaryNumber_1010100 BinaryNumber_0110011 BinaryNumber_0000011 BinaryNumber_1011110
BinaryNumber_1011001 BinaryNumber_0110011 BinaryNumber_0101011 BinaryNumber_0010011 BinaryNumber_0001000 BinaryNumber_1001110 BinaryNumber_0101111 BinaryNumber_1001010 BinaryNumber_0111010 BinaryNumber_0100001
BinaryNumber_0010010 BinaryNumber_1001100 BinaryNumber_0100110 BinaryNumber_0111100 BinaryNumber_0000001 BinaryNumber_0111110 BinaryNumber_0010000 BinaryNumber_1010110 BinaryNumber_0010101 BinaryNumber_1001111
BinaryNumber_0001110 BinaryNumber_0011101 BinaryNumber_0010010 BinaryNumber_0101101 BinaryNumber_0111000 BinaryNumber_0000010 BinaryNumber_0100010 BinaryNumber_1011000 BinaryNumber_0110100 BinaryNumber_1011000
BinaryNumber_1000010 BinaryNumber_1100011 BinaryNumber_0110101 BinaryNumber_0010100 BinaryNumber_0010111 BinaryNumber_1010011 BinaryNumber_1010100 BinaryNumber_1010011 BinaryNumber_0101100 BinaryNumber_0100110
BinaryNumber_1001111 BinaryNumber_0010011 BinaryNumber_0100000 BinaryNumber_1001001 BinaryNumber_1000111 BinaryNumber_1000111 BinaryNumber_1011010 BinaryNumber_0001100 BinaryNumber_0000101 BinaryNumber_0000110
BinaryNumber_1001011 BinaryNumber_1010001 BinaryNumber_1001101 BinaryNumber_1001001 BinaryNumber_0011010 BinaryNumber_0110111 BinaryNumber_0000111 BinaryNumber_0000100 BinaryNumber_0011001 BinaryNumber_1001111
BinaryNumber_0111001 BinaryNumber_1001110 BinaryNumber_0011100 BinaryNumber_0100001 BinaryNumber_1100001 BinaryNumber_0011100 BinaryNumber_0100100 BinaryNumber_0100101 BinaryNumber_0000011 BinaryNumber_1010000
Red MintCream RoyalBlue Cornsilk Aquamarine Fuchsia Goldenrod MediumOrchid DarkOrange Chartreuse
Purple DarkOrchid AntiqueWhite Orange Maroon FloralWhite DarkCyan SpringGreen Cyan Brown
Sienna DarkCyan Sienna White BlanchedAlmond DarkSeaGreen Violet Silver LightGreen AntiqueWhite
SpringGreen SeaGreen Khaki Blue DarkViolet LightSlateGray LimeGreen BlueViolet Maroon SlateGray
DarkOliveGreen SlateBlue Peru OliveDrab Salmon Gray Maroon DarkOrchid PowderBlue Peru
LavenderBlush PowderBlue MediumVioletRed SteelBlue Green Snow LightGoldenrod DarkViolet LightSlateGray MistyRose
DarkOliveGreen Seashell SpringGreen Indigo Plum GhostWhite LightPink Gainsboro LawnGreen SaddleBrown
LightSkyBlue LimeGreen Ivory LightCyan PaleTurquoise DarkOrange SkyBlue Red LightGoldenrod PaleGreen
WhiteSmoke BlanchedAlmond PaleVioletRed MistyRose FloralWhite DarkSlateGray Pink DarkSalmon Burlywood MediumAquamarine
Khaki HotPink FloralWhite Turquoise SteelBlue Orange DarkCyan Violet White DarkSlateGray
SlateGray LimeGreen RosyBrown OrangeRed Lime Gold DarkSalmon LightSalmon Lime SteelBlue
19:18 14:58 13:49 23:29 20:24 22:41 21:43 21:35 10:24 23:37
12:26 13:59 17:25 19:44 15:40 20:55 10:51 22:20 10:22 16:45
14:20 16:57 16:30 14:37 15:13 18:16 16:17 23:14 17:52 19:50
10:50 14:29 13:32 23:35 18:38 13:35 18:44 13:36 11:35 12:38
21:39 17:53 23:30 19:34 21:48 17:15 13:54 23:18 17:23 15:22
17:50 16:35 13:34 12:32 17:55 15:48 16:49 14:33 16:26 16:12
22:33 18:13 14:40 18:39 18:53 10:41 21:23 19:54 20:57 20:57
15:24 19:47 20:15 20:40 20:13 22:32 14:48 15:28 16:30 14:49
19:35 14:40 21:50 11:32 18:33 10:23 16:46 14:11 10:24 17:54
19:55 11:47 23:54 17:58 20:11 23:45 14:11 19:37 11:12 19:40
21:50 22:32 11:23 15:58 11:37 21:29 23:23 19:46 18:57 22:57
