reptiles object vertebrate varmint zoo ladybug predatoryanimal cats clams creature
BinaryNumber_0010010 BinaryNumber_0000011 BinaryNumber_1011010 BinaryNumber_0111010 BinaryNumber_0101100 BinaryNumber_0101001 BinaryNumber_0100111 BinaryNumber_1011110 BinaryNumber_0011111 BinaryNumber_0111100
BinaryNumber_0000101 BinaryNumber_0000000 BinaryNumber_0001011 BinaryNumber_0010111 BinaryNumber_0101010 BinaryNumber_1000111 BinaryNumber_0000011 BinaryNumber_0101001 BinaryNumber_1001101 BinaryNumber_0110010
BinaryNumber_1001100 BinaryNumber_0101111 BinaryNumber_0111010 BinaryNumber_0100001 BinaryNumber_1000110 BinaryNumber_1011111 BinaryNumber_0110110 BinaryNumber_0110110 BinaryNumber_1011100 BinaryNumber_0001000
MediumTurquoise LightSlateGray Red CornflowerBlue LightSalmon Red DimGray PeachPuff Khaki Teal
Coral LavenderBlush Red DarkBlue LightPink Gray SteelBlue LawnGreen MediumPurple WhiteSmoke
ForestGreen DarkCyan ForestGreen MintCream Ivory OldLace RosyBrown OrangeRed SpringGreen DeepPink
LightSteelBlue MistyRose MediumSpringGreen LightGreen Sienna Moccasin Salmon DarkCyan LightCyan Yellow
BlanchedAlmond Olive Seashell MintCream Yellow OldLace Yellow MintCream LightYellow LawnGreen
Salmon LemonChiffon White LimeGreen OldLace CornflowerBlue Gainsboro SkyBlue LightGray NavajoWhite
Gainsboro Chocolate SaddleBrown HotPink Feldspar Green ForestGreen Turquoise IndianRed DarkGray
Tan DarkTurquoise Burlywood MintCream Teal LightGray Thistle PaleGoldenrod Salmon LimeGreen
PaleGoldenrod Linen CadetBlue LemonChiffon Olive DarkSalmon CadetBlue DarkRed SaddleBrown Goldenrod
DarkViolet Tan MistyRose Indigo Red PeachPuff LightCyan DarkKhaki WhiteSmoke MediumSeaGreen
PaleTurquoise DeepPink Wheat MidnightBlue SandyBrown LightGray WhiteSmoke Lavender Pink VioletRed
