Sapodilla Pomelo Jujube Cantaloupe Araza Tayberry Date Durian Watermelon Nectarine
BinaryNumber_0001110 BinaryNumber_0011001 BinaryNumber_0001101 BinaryNumber_0111101 BinaryNumber_1000000 BinaryNumber_1001111 BinaryNumber_0011010 BinaryNumber_0001010 BinaryNumber_1001010 BinaryNumber_0001111
BinaryNumber_0000011 BinaryNumber_1000001 BinaryNumber_0010101 BinaryNumber_1010001 BinaryNumber_1001000 BinaryNumber_0101110 BinaryNumber_0111101 BinaryNumber_1011100 BinaryNumber_0110000 BinaryNumber_0100010
BinaryNumber_0001011 BinaryNumber_0101010 BinaryNumber_0010011 BinaryNumber_1010111 BinaryNumber_1011101 BinaryNumber_0101110 BinaryNumber_0110010 BinaryNumber_0001011 BinaryNumber_0110010 BinaryNumber_0110110
BinaryNumber_1100011 BinaryNumber_1010110 BinaryNumber_0000110 BinaryNumber_0101000 BinaryNumber_0101011 BinaryNumber_1010111 BinaryNumber_0111000 BinaryNumber_1001110 BinaryNumber_0101110 BinaryNumber_1011001
BinaryNumber_0100111 BinaryNumber_1000001 BinaryNumber_0111101 BinaryNumber_0100011 BinaryNumber_1010010 BinaryNumber_1011010 BinaryNumber_1000101 BinaryNumber_1100011 BinaryNumber_1000011 BinaryNumber_1001010
BinaryNumber_1001011 BinaryNumber_0111110 BinaryNumber_1010101 BinaryNumber_0011000 BinaryNumber_1100011 BinaryNumber_1011010 BinaryNumber_1011000 BinaryNumber_0010000 BinaryNumber_1010010 BinaryNumber_0001000
BinaryNumber_0010010 BinaryNumber_1010111 BinaryNumber_0110111 BinaryNumber_1010000 BinaryNumber_0001000 BinaryNumber_0110000 BinaryNumber_1001001 BinaryNumber_1001111 BinaryNumber_0110110 BinaryNumber_1010101
BinaryNumber_1000101 BinaryNumber_0010011 BinaryNumber_0110011 BinaryNumber_0010110 BinaryNumber_0001001 BinaryNumber_1010001 BinaryNumber_0100111 BinaryNumber_0000000 BinaryNumber_1011001 BinaryNumber_0111100
arsons trafficking evidence evidence accident bloodshed cop crisis barratry fraud
felony bloodshed punishment snitching gangs action criminality human slay murders
thrillers murders misdemeanor jurisdiction terrorism arrest trial arsons criminal gang
racism hijack human law transgression human safety offenders vandalism slayings
homeless crisis corrupt offense homicide corruption gun law-breaking incarceration murder
genocide legal crime arsons human corrupt investigation mutilation shoplift robbery
safety political smuggle missing offenses heist robbery action drug punishment
hijack country skyjack robbery statutory investigation theft incarceration drugs cop
liberty imprisonment war war theft government death country misdemeanour hijack
misdemeanor homicides homeless criminality homicides offense homeless rape homelessness pirate
thriller action poison structuralism homeless prostitution slayings mystery gun legal
