cruel dizzy black nasty average jolly amused misty elated frantic
BinaryNumber_0011011 BinaryNumber_0010101 BinaryNumber_0011101 BinaryNumber_0000010 BinaryNumber_1100010 BinaryNumber_1010011 BinaryNumber_1010000 BinaryNumber_0111000 BinaryNumber_0111001 BinaryNumber_0000101
BinaryNumber_0010101 BinaryNumber_1001100 BinaryNumber_1010101 BinaryNumber_0000001 BinaryNumber_0000010 BinaryNumber_0000010 BinaryNumber_1010100 BinaryNumber_1001011 BinaryNumber_0010010 BinaryNumber_0101000
BinaryNumber_1000110 BinaryNumber_0000110 BinaryNumber_0001111 BinaryNumber_0111111 BinaryNumber_0010111 BinaryNumber_0010110 BinaryNumber_0110101 BinaryNumber_1010001 BinaryNumber_0110111 BinaryNumber_0010111
BinaryNumber_0100011 BinaryNumber_0101101 BinaryNumber_1010000 BinaryNumber_1001111 BinaryNumber_1011000 BinaryNumber_0110110 BinaryNumber_0011011 BinaryNumber_0000111 BinaryNumber_0001101 BinaryNumber_0100000
BinaryNumber_0101001 BinaryNumber_0101101 BinaryNumber_1011101 BinaryNumber_1100011 BinaryNumber_0011001 BinaryNumber_1000110 BinaryNumber_1000000 BinaryNumber_0110001 BinaryNumber_0001011 BinaryNumber_1011010
BinaryNumber_0001001 BinaryNumber_1010010 BinaryNumber_0010110 BinaryNumber_1000000 BinaryNumber_0010110 BinaryNumber_0101011 BinaryNumber_0110101 BinaryNumber_0000100 BinaryNumber_0111101 BinaryNumber_0101100
BinaryNumber_0010111 BinaryNumber_1011011 BinaryNumber_0001000 BinaryNumber_0011101 BinaryNumber_0111001 BinaryNumber_0111010 BinaryNumber_0001000 BinaryNumber_0010110 BinaryNumber_1001000 BinaryNumber_1011001
BinaryNumber_0011011 BinaryNumber_0100001 BinaryNumber_0000100 BinaryNumber_0110001 BinaryNumber_0101111 BinaryNumber_1100000 BinaryNumber_1000110 BinaryNumber_0111111 BinaryNumber_0111010 BinaryNumber_1000000
BinaryNumber_0011001 BinaryNumber_1010011 BinaryNumber_1010111 BinaryNumber_0101101 BinaryNumber_1001111 BinaryNumber_0111001 BinaryNumber_0000001 BinaryNumber_0110011 BinaryNumber_0010101 BinaryNumber_0001111
CubeNumber_343 CubeNumber_64 CubeNumber_35937 CubeNumber_46656 CubeNumber_314432 CubeNumber_125 CubeNumber_125 CubeNumber_287496 CubeNumber_64000 CubeNumber_456533
CubeNumber_205379 CubeNumber_8000 CubeNumber_15625 CubeNumber_216000 CubeNumber_551368 CubeNumber_357911 CubeNumber_2744 CubeNumber_373248 CubeNumber_125000 CubeNumber_729
CubeNumber_804357 CubeNumber_125000 CubeNumber_21952 CubeNumber_238328 CubeNumber_6859 CubeNumber_39304 CubeNumber_2197 CubeNumber_27000 CubeNumber_238328 CubeNumber_274625
CubeNumber_32768 CubeNumber_17576 CubeNumber_216 CubeNumber_185193 CubeNumber_140608 CubeNumber_74088 CubeNumber_85184 CubeNumber_343 CubeNumber_373248 CubeNumber_27000
CubeNumber_59319 CubeNumber_35937 CubeNumber_64000 CubeNumber_157464 CubeNumber_830584 CubeNumber_74088 CubeNumber_274625 CubeNumber_140608 CubeNumber_8000 CubeNumber_729
CubeNumber_195112 CubeNumber_287496 CubeNumber_125000 CubeNumber_5832 CubeNumber_185193 CubeNumber_2197 CubeNumber_74088 CubeNumber_42875 CubeNumber_216 CubeNumber_27
CubeNumber_64000 CubeNumber_250047 CubeNumber_3375 CubeNumber_216 CubeNumber_54872 CubeNumber_512 CubeNumber_140608 CubeNumber_50653 CubeNumber_6859 CubeNumber_195112
CubeNumber_373248 CubeNumber_195112 CubeNumber_592704 CubeNumber_1728 CubeNumber_3375 CubeNumber_32768 CubeNumber_125000 CubeNumber_830584 CubeNumber_10648 CubeNumber_658503
CubeNumber_830584 CubeNumber_35937 CubeNumber_29791 CubeNumber_512 CubeNumber_551368 CubeNumber_12167 CubeNumber_729000 CubeNumber_287496 CubeNumber_9261 CubeNumber_389017
CubeNumber_205379 CubeNumber_8 CubeNumber_50653 CubeNumber_884736 CubeNumber_27 CubeNumber_4913 CubeNumber_148877 CubeNumber_216000 CubeNumber_74088 CubeNumber_97336
CubeNumber_175616 CubeNumber_804357 CubeNumber_74088 CubeNumber_103823 CubeNumber_474552 CubeNumber_250047 CubeNumber_636056 CubeNumber_205379 CubeNumber_175616 CubeNumber_148877
