claim illegal parry debacle fiasco bamboozle recrimination demagogue acolyte refute
Plumcot Abiu Feijoa Blackcurrant Guava Damson Açaí Papaya Apple Plumcot
Açaí Lime Lychee Pear Kiwifruit Lime Tamarillo Mango Ximenia Feijoa
condemned dangerous perfect outrageous cooperative elegant alert mushy ugliest energetic
homely inquisitive clear nasty cute depressed bloody glorious helpful clean
jittery average good disgusted alive horrible fancy frightened bewildered funny
agreeable encouraging wild curious elegant tender terrible bad helpless cooperative
vast dangerous obnoxious bloody ugly depressed mysterious busy jolly enchanting
curious defeated jolly relieved gorgeous gifted outstanding calm zany funny
innocent proud agreeable distinct dead drab jolly happy angry fine
important sparkling gorgeous helpful horrible dizzy stormy victorious panicky thoughtful
sparkling horrible clever gorgeous grotesque lucky upset precious lucky zealous
light fragile defeated silly cautious embarrassed condemned condemned ashamed tense
jittery hurt bad jolly disturbed impossible enchanting delightful cheerful mushy
BinaryNumber_1000011 BinaryNumber_1001000 BinaryNumber_1011111 BinaryNumber_1001110 BinaryNumber_1100010 BinaryNumber_0110000 BinaryNumber_1011010 BinaryNumber_0011011 BinaryNumber_0100101 BinaryNumber_1000010
BinaryNumber_0101001 BinaryNumber_0111101 BinaryNumber_0000011 BinaryNumber_0010111 BinaryNumber_0110100 BinaryNumber_1001100 BinaryNumber_1000001 BinaryNumber_1001100 BinaryNumber_0010001 BinaryNumber_0010000
BinaryNumber_1010010 BinaryNumber_0101001 BinaryNumber_1100000 BinaryNumber_1011111 BinaryNumber_1001000 BinaryNumber_1010010 BinaryNumber_1100001 BinaryNumber_0110000 BinaryNumber_0101111 BinaryNumber_0011010
BinaryNumber_0000000 BinaryNumber_0101101 BinaryNumber_0010011 BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_0111000 BinaryNumber_0001000 BinaryNumber_0011101 BinaryNumber_0010111 BinaryNumber_1000001
BinaryNumber_0101101 BinaryNumber_0001101 BinaryNumber_1010011 BinaryNumber_0100011 BinaryNumber_0000011 BinaryNumber_0111000 BinaryNumber_0101001 BinaryNumber_0000100 BinaryNumber_0000011 BinaryNumber_0101111
BinaryNumber_1000110 BinaryNumber_0110110 BinaryNumber_1001011 BinaryNumber_0100110 BinaryNumber_1001010 BinaryNumber_0000100 BinaryNumber_0000111 BinaryNumber_1010100 BinaryNumber_0011101 BinaryNumber_0011100
BinaryNumber_0101010 BinaryNumber_1001010 BinaryNumber_1010100 BinaryNumber_0111010 BinaryNumber_0001000 BinaryNumber_0001001 BinaryNumber_1011010 BinaryNumber_1001000 BinaryNumber_0011010 BinaryNumber_0010101
BinaryNumber_0110101 BinaryNumber_1001111 BinaryNumber_0100010 BinaryNumber_0111100 BinaryNumber_0100011 BinaryNumber_1001110 BinaryNumber_1000111 BinaryNumber_1010000 BinaryNumber_0100110 BinaryNumber_0110110
BinaryNumber_1001011 BinaryNumber_1010101 BinaryNumber_0101000 BinaryNumber_0010111 BinaryNumber_0101111 BinaryNumber_1011111 BinaryNumber_0110110 BinaryNumber_0100101 BinaryNumber_1011110 BinaryNumber_1000010
BinaryNumber_1000111 BinaryNumber_1000000 BinaryNumber_0010010 BinaryNumber_0000011 BinaryNumber_0001000 BinaryNumber_0111100 BinaryNumber_0101100 BinaryNumber_0101011 BinaryNumber_0111011 BinaryNumber_0110011
BinaryNumber_0000010 BinaryNumber_1011101 BinaryNumber_0100100 BinaryNumber_0010001 BinaryNumber_1010010 BinaryNumber_0011000 BinaryNumber_0001010 BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_0001000
