cautious wild hungry muddy glorious glamorous calm smiling witty charming
temperature__78c temperature__100c temperature__31c temperature__90c temperature__65c temperature__74c temperature__17c temperature__108c temperature__28c temperature__10c
temperature__78c temperature__126c temperature__57c temperature__141c temperature__26c temperature__137c temperature__123c temperature__145c temperature__70c temperature__141c
temperature__129c temperature__119c temperature__5c temperature__147c temperature__88c temperature__147c temperature__61c temperature__27c temperature__129c temperature__126c
temperature__138c temperature__21c temperature__92c temperature__57c temperature__47c temperature__138c temperature__10c temperature__50c temperature__7c temperature__126c
temperature__123c temperature__86c temperature__63c temperature__93c temperature__6c temperature__6c temperature__63c temperature__92c temperature__70c temperature__51c
temperature__61c temperature__106c temperature__54c temperature__61c temperature__33c temperature__70c temperature__50c temperature__47c temperature__79c temperature__69c
temperature__144c temperature__36c temperature__49c temperature__65c temperature__82c temperature__86c temperature__0c temperature__2c temperature__10c temperature__31c
temperature__64c temperature__12c temperature__27c temperature__33c temperature__116c temperature__71c temperature__47c temperature__122c temperature__46c temperature__10c
temperature__11c temperature__86c temperature__85c temperature__95c temperature__28c temperature__65c temperature__8c temperature__50c temperature__12c temperature__22c
temperature__39c temperature__11c temperature__10c temperature__53c temperature__147c temperature__56c temperature__82c temperature__145c temperature__105c temperature__86c
CubeNumber_6859 CubeNumber_64 CubeNumber_216 CubeNumber_19683 CubeNumber_74088 CubeNumber_59319 CubeNumber_614125 CubeNumber_2197 CubeNumber_175616 CubeNumber_300763
CubeNumber_13824 CubeNumber_343000 CubeNumber_148877 CubeNumber_110592 CubeNumber_27 CubeNumber_405224 CubeNumber_357911 CubeNumber_681472 CubeNumber_857375 CubeNumber_778688
CubeNumber_592704 CubeNumber_185193 CubeNumber_592704 CubeNumber_15625 CubeNumber_97336 CubeNumber_405224 CubeNumber_68921 CubeNumber_438976 CubeNumber_166375 CubeNumber_29791
CubeNumber_19683 CubeNumber_512000 CubeNumber_4096 CubeNumber_1000 CubeNumber_941192 CubeNumber_97336 CubeNumber_9261 CubeNumber_68921 CubeNumber_274625 CubeNumber_42875
CubeNumber_614125 CubeNumber_3375 CubeNumber_512 CubeNumber_438976 CubeNumber_357911 CubeNumber_17576 CubeNumber_50653 CubeNumber_753571 CubeNumber_300763 CubeNumber_531441
CubeNumber_421875 CubeNumber_64000 CubeNumber_32768 CubeNumber_74088 CubeNumber_54872 CubeNumber_175616 CubeNumber_636056 CubeNumber_29791 CubeNumber_54872 CubeNumber_438976
CubeNumber_64000 CubeNumber_8 CubeNumber_474552 CubeNumber_59319 CubeNumber_9261 CubeNumber_24389 CubeNumber_238328 CubeNumber_2744 CubeNumber_59319 CubeNumber_175616
CubeNumber_250047 CubeNumber_27000 CubeNumber_9261 CubeNumber_357911 CubeNumber_262144 CubeNumber_405224 CubeNumber_6859 CubeNumber_3375 CubeNumber_226981 CubeNumber_343000
CubeNumber_50653 CubeNumber_857375 CubeNumber_857375 CubeNumber_300763 CubeNumber_68921 CubeNumber_658503 CubeNumber_39304 CubeNumber_3375 CubeNumber_29791 CubeNumber_571787
CubeNumber_5832 CubeNumber_79507 CubeNumber_389017 CubeNumber_512000 CubeNumber_91125 CubeNumber_357911 CubeNumber_175616 CubeNumber_27000 CubeNumber_64000 CubeNumber_35937
CubeNumber_493039 CubeNumber_79507 CubeNumber_493039 CubeNumber_19683 CubeNumber_274625 CubeNumber_35937 CubeNumber_884736 CubeNumber_778688 CubeNumber_592704 CubeNumber_2744
