music reggae classical interlude talking tune podcasts symphonise talk vocals
BinaryNumber_0000110 BinaryNumber_1001011 BinaryNumber_0010101 BinaryNumber_0001001 BinaryNumber_1010010 BinaryNumber_0010100 BinaryNumber_1010001 BinaryNumber_1000101 BinaryNumber_0111000 BinaryNumber_0101100
BinaryNumber_1000001 BinaryNumber_1100011 BinaryNumber_0001101 BinaryNumber_1011110 BinaryNumber_0100001 BinaryNumber_1011111 BinaryNumber_1001011 BinaryNumber_0110000 BinaryNumber_0101001 BinaryNumber_1000110
BinaryNumber_0011000 BinaryNumber_0000010 BinaryNumber_0111001 BinaryNumber_0001000 BinaryNumber_1010110 BinaryNumber_0001001 BinaryNumber_0101111 BinaryNumber_0110010 BinaryNumber_1001010 BinaryNumber_0101110
BinaryNumber_1011010 BinaryNumber_0100110 BinaryNumber_0111111 BinaryNumber_0110000 BinaryNumber_0100110 BinaryNumber_1011110 BinaryNumber_0110101 BinaryNumber_1011000 BinaryNumber_1011000 BinaryNumber_0111110
BinaryNumber_1100010 BinaryNumber_1001011 BinaryNumber_0010110 BinaryNumber_0001111 BinaryNumber_0010101 BinaryNumber_0111011 BinaryNumber_0011010 BinaryNumber_0010000 BinaryNumber_0010010 BinaryNumber_0001110
BinaryNumber_1100000 BinaryNumber_1100010 BinaryNumber_0011010 BinaryNumber_0100010 BinaryNumber_0001010 BinaryNumber_0010011 BinaryNumber_1000111 BinaryNumber_0011001 BinaryNumber_0011111 BinaryNumber_1000010
BinaryNumber_1001010 BinaryNumber_0000011 BinaryNumber_0011110 BinaryNumber_0110010 BinaryNumber_0100110 BinaryNumber_0011110 BinaryNumber_0000000 BinaryNumber_0100011 BinaryNumber_1000100 BinaryNumber_0100100
BinaryNumber_0100000 BinaryNumber_1000101 BinaryNumber_0001101 BinaryNumber_1010100 BinaryNumber_1010111 BinaryNumber_1010100 BinaryNumber_1100011 BinaryNumber_1010010 BinaryNumber_1000000 BinaryNumber_0001100
BinaryNumber_0000000 BinaryNumber_0111000 BinaryNumber_0000000 BinaryNumber_0000010 BinaryNumber_0010111 BinaryNumber_0110001 BinaryNumber_1000101 BinaryNumber_1000111 BinaryNumber_0111001 BinaryNumber_0100100
15:15 14:17 18:45 10:53 16:33 21:36 12:27 18:41 10:20 14:35
10:45 18:36 16:37 22:23 11:48 18:44 21:20 13:28 20:37 18:29
17:26 23:15 20:15 22:28 14:35 17:27 19:13 22:40 19:10 14:14
23:40 11:44 13:38 10:16 16:57 22:34 23:36 23:14 20:24 21:47
20:27 21:34 22:26 11:16 15:57 14:59 11:41 16:24 14:45 11:34
22:10 16:50 12:38 22:56 14:31 20:37 12:42 11:51 18:48 11:24
18:59 21:18 11:44 12:11 18:38 15:21 16:26 20:26 10:14 15:43
14:32 23:51 22:41 12:49 19:26 22:44 17:32 15:59 10:23 10:28
20:44 11:53 22:50 13:38 15:50 23:43 18:45 16:18 19:40 13:20
21:15 17:37 12:17 22:48 10:17 10:17 17:18 15:48 16:13 16:41
23:11 22:41 21:21 21:23 12:57 20:39 13:12 11:37 22:12 16:28
