Feijoa Tangerine Quince Tayberry Ackee Tamarind Persimmon Raspberry Orange Clementine
BinaryNumber_1000101 BinaryNumber_0011100 BinaryNumber_0101001 BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_0111011 BinaryNumber_0011101 BinaryNumber_1010001 BinaryNumber_0100101 BinaryNumber_0101010
BinaryNumber_0000100 BinaryNumber_0101000 BinaryNumber_0101010 BinaryNumber_0101100 BinaryNumber_1011000 BinaryNumber_1100011 BinaryNumber_1011110 BinaryNumber_1000001 BinaryNumber_1010110 BinaryNumber_1000101
BinaryNumber_0111000 BinaryNumber_0011110 BinaryNumber_0100100 BinaryNumber_1000011 BinaryNumber_0011111 BinaryNumber_1010010 BinaryNumber_1010111 BinaryNumber_1011011 BinaryNumber_1011010 BinaryNumber_1001011
BinaryNumber_0101000 BinaryNumber_1000110 BinaryNumber_0111001 BinaryNumber_0001000 BinaryNumber_0010110 BinaryNumber_0101100 BinaryNumber_0101111 BinaryNumber_0101000 BinaryNumber_0101100 BinaryNumber_0101111
BinaryNumber_0010101 BinaryNumber_0001111 BinaryNumber_0010011 BinaryNumber_1000011 BinaryNumber_0110000 BinaryNumber_0111010 BinaryNumber_0101110 BinaryNumber_1010101 BinaryNumber_0101110 BinaryNumber_1011101
BinaryNumber_1001100 BinaryNumber_1100011 BinaryNumber_0110101 BinaryNumber_0011001 BinaryNumber_0010101 BinaryNumber_1010111 BinaryNumber_0101100 BinaryNumber_0110000 BinaryNumber_1011001 BinaryNumber_0100110
BinaryNumber_1011110 BinaryNumber_0110000 BinaryNumber_0011001 BinaryNumber_0011011 BinaryNumber_1010000 BinaryNumber_1001110 BinaryNumber_1000000 BinaryNumber_0100000 BinaryNumber_0100010 BinaryNumber_1001011
BinaryNumber_0101001 BinaryNumber_0000000 BinaryNumber_0000101 BinaryNumber_0011011 BinaryNumber_1000001 BinaryNumber_0111001 BinaryNumber_0110111 BinaryNumber_0011001 BinaryNumber_1010000 BinaryNumber_0001100
SquareNumber_324 SquareNumber_4096 SquareNumber_324 SquareNumber_6400 SquareNumber_4624 SquareNumber_4900 SquareNumber_441 SquareNumber_121 SquareNumber_2704 SquareNumber_529
SquareNumber_5184 SquareNumber_3136 SquareNumber_8836 SquareNumber_8649 SquareNumber_3364 SquareNumber_529 SquareNumber_2916 SquareNumber_961 SquareNumber_81 SquareNumber_2209
SquareNumber_7744 SquareNumber_4 SquareNumber_3481 SquareNumber_2500 SquareNumber_9409 SquareNumber_8649 SquareNumber_1296 SquareNumber_900 SquareNumber_25 SquareNumber_36
SquareNumber_6241 SquareNumber_441 SquareNumber_8836 SquareNumber_7056 SquareNumber_64 SquareNumber_1521 SquareNumber_2116 SquareNumber_1936 SquareNumber_2401 SquareNumber_784
SquareNumber_9801 SquareNumber_1225 SquareNumber_841 SquareNumber_1681 SquareNumber_5184 SquareNumber_7225 SquareNumber_1024 SquareNumber_4489 SquareNumber_9409 SquareNumber_5625
SquareNumber_3136 SquareNumber_1225 SquareNumber_5041 SquareNumber_8281 SquareNumber_3136 SquareNumber_100 SquareNumber_6561 SquareNumber_4 SquareNumber_7056 SquareNumber_4
SquareNumber_1296 SquareNumber_9 SquareNumber_2704 SquareNumber_324 SquareNumber_256 SquareNumber_7225 SquareNumber_169 SquareNumber_5776 SquareNumber_324 SquareNumber_4225
SquareNumber_4489 SquareNumber_8100 SquareNumber_6724 SquareNumber_484 SquareNumber_289 SquareNumber_5476 SquareNumber_5476 SquareNumber_9409 SquareNumber_4356 SquareNumber_2916
SquareNumber_729 SquareNumber_100 SquareNumber_7056 SquareNumber_2025 SquareNumber_4 SquareNumber_9025 SquareNumber_961 SquareNumber_7056 SquareNumber_6724 SquareNumber_6400
SquareNumber_3844 SquareNumber_3969 SquareNumber_2809 SquareNumber_4624 SquareNumber_961 SquareNumber_4489 SquareNumber_6084 SquareNumber_2401 SquareNumber_4761 SquareNumber_3721
SquareNumber_1936 SquareNumber_361 SquareNumber_9025 SquareNumber_64 SquareNumber_2401 SquareNumber_196 SquareNumber_196 SquareNumber_9409 SquareNumber_2601 SquareNumber_3025
