Lulo Apricot Cloudberry Ximenia Kiwifruit Tamarillo Satsuma Peach Soursop Pear
BinaryNumber_0000101 BinaryNumber_1011001 BinaryNumber_0010110 BinaryNumber_0110111 BinaryNumber_0011101 BinaryNumber_1011000 BinaryNumber_0100010 BinaryNumber_0101010 BinaryNumber_1001011 BinaryNumber_0100000
BinaryNumber_1100001 BinaryNumber_1011111 BinaryNumber_0001111 BinaryNumber_1010000 BinaryNumber_1000010 BinaryNumber_0011100 BinaryNumber_1001101 BinaryNumber_0000001 BinaryNumber_1000010 BinaryNumber_0101001
BinaryNumber_0100101 BinaryNumber_1011111 BinaryNumber_1000010 BinaryNumber_0110010 BinaryNumber_0000011 BinaryNumber_0100110 BinaryNumber_0001110 BinaryNumber_1000010 BinaryNumber_0101101 BinaryNumber_0001111
BinaryNumber_0100101 BinaryNumber_0001100 BinaryNumber_1011010 BinaryNumber_0001110 BinaryNumber_0100101 BinaryNumber_1011111 BinaryNumber_0010111 BinaryNumber_1000110 BinaryNumber_0010001 BinaryNumber_1000101
BinaryNumber_0101011 BinaryNumber_0011000 BinaryNumber_0101110 BinaryNumber_0100011 BinaryNumber_1001101 BinaryNumber_1000001 BinaryNumber_0010010 BinaryNumber_1011101 BinaryNumber_0111100 BinaryNumber_0110111
BinaryNumber_1100011 BinaryNumber_0011000 BinaryNumber_1001110 BinaryNumber_0111100 BinaryNumber_1011011 BinaryNumber_0101111 BinaryNumber_0101110 BinaryNumber_0011000 BinaryNumber_0110110 BinaryNumber_1010110
BinaryNumber_0000110 BinaryNumber_1001100 BinaryNumber_0000000 BinaryNumber_0001100 BinaryNumber_1100010 BinaryNumber_1010011 BinaryNumber_0011101 BinaryNumber_1001011 BinaryNumber_0001000 BinaryNumber_0011001
BinaryNumber_0000111 BinaryNumber_1010110 BinaryNumber_1000100 BinaryNumber_0010010 BinaryNumber_0101011 BinaryNumber_1010110 BinaryNumber_1010000 BinaryNumber_0000100 BinaryNumber_0111110 BinaryNumber_0000001
temperature__70c temperature__131c temperature__88c temperature__11c temperature__28c temperature__59c temperature__129c temperature__64c temperature__91c temperature__82c
temperature__35c temperature__46c temperature__24c temperature__148c temperature__12c temperature__34c temperature__2c temperature__131c temperature__65c temperature__50c
temperature__63c temperature__130c temperature__140c temperature__69c temperature__90c temperature__17c temperature__65c temperature__87c temperature__49c temperature__144c
temperature__64c temperature__118c temperature__111c temperature__5c temperature__109c temperature__61c temperature__65c temperature__57c temperature__146c temperature__46c
temperature__65c temperature__124c temperature__12c temperature__40c temperature__39c temperature__7c temperature__69c temperature__119c temperature__63c temperature__49c
temperature__23c temperature__21c temperature__123c temperature__58c temperature__31c temperature__79c temperature__98c temperature__59c temperature__68c temperature__27c
temperature__93c temperature__0c temperature__69c temperature__0c temperature__21c temperature__144c temperature__49c temperature__132c temperature__2c temperature__14c
temperature__106c temperature__3c temperature__85c temperature__10c temperature__78c temperature__2c temperature__10c temperature__59c temperature__26c temperature__17c
temperature__140c temperature__70c temperature__88c temperature__71c temperature__6c temperature__90c temperature__98c temperature__39c temperature__109c temperature__3c
temperature__88c temperature__68c temperature__42c temperature__34c temperature__137c temperature__92c temperature__68c temperature__47c temperature__141c temperature__36c
temperature__106c temperature__84c temperature__129c temperature__63c temperature__98c temperature__139c temperature__148c temperature__21c temperature__85c temperature__56c
Lungs Bone  Pharynx Smallintestine Ileum Outerear Ciliarybody Muscle Lens Interstitium
Penis Mouth Ileum skeleton Smallintestine Rectum Stomach Cerebrum Pons Joints
Ovaries Ganglia Iris Vulva Ganglia Ileum Cornea Vulva Cranialnerves Ureter
Largeintestine Lips Clitoris Penis Jejunum Tongue Cranialnerves Mouth Ciliarybody Eye
Kidneys Brain Thymus Scrotum Uterus Esophagus Lips Scrotum Eardrum Veins
Teeth Esophagus Cornea Iris Pons Vagina Vagina Ovaries Sensoryorgans Lungs
Duodenum Cervix Cochlea Duodenum Analcanal Brain Midbrain Veins Heart Brain
Pons Rectum Bladder Heart Interstitium Bone  Largeintestine Ciliarybody Veins Capillaries
Capillaries Tongue Lips Pons Sensoryorgans Pancreas Jejunum Nerves Penis Hypothalamus
Arteries Pancreas Eye Tongue skeleton Cecum Muscle Thymus Ovaries Tongue
Clitoris Pons Rectum Ureter Iris Thalamus Muscle Lens Eye Analcanal
evidence slayings punishment accident misdemeanor bloodshed psychological assault psychological detective
justice supernatural thriller mob political misdemeanor law government structuralism massacre
incarceration arrest legislature homicides victim misdemeanour felony gun drama statutory
robbery homicides revenge corruption lift law sin legal action thriller
slayings bloodshed accident safety sin violence conspiracy blackmail death theft
slay racism drama structuralism drama felony victim drama bloodshed heist
transgression felony legal liberty dark skyjack crime blackmail supernatural legislature
supernatural prison misdemeanour illegal action guilt cybercrime illegal violence spy
imprisonment justice law heist cop slayings bloodshed action gun punitive
abuse criminals theft story evidence shoplift criminals rape corrupt death
criminals serial structuralism government gangs action suspense mutilation terrorism massacre
provender animal cereal plant fruit seafood soup restaurant chicken soup
cheese cheese victuals fruit animal plant drinks meal nourishment cooking
beef meat plant chicken meal pasta meal nutrition nutrient cooking
milk meat edible eat seafood victuals provender nutrient beef cooking
chicken animal cheese cereal rice pasta nutrition pasta fruits vegetables seafood
fruits vegetables meal nourishment seafood soup drinks eat milk drinks rice
eat sushi provender soup cooking eat nutrition meals cheese eat
nourishment victuals victuals edible cooking beef nutrition cereal chicken seafood
nutrient fruit eat cereal beef sushi seafood fruits vegetables milk pasta
restaurant beef fruit nutrient meals plant cereal nutrient edible seafood
pasta vegetable cheese sushi meals provender plant rice edible provender
