revenge guilty muggings corruption story offense investigation gangsterism evidence brutality
BinaryNumber_0001100 BinaryNumber_0110101 BinaryNumber_0001011 BinaryNumber_1010010 BinaryNumber_1000101 BinaryNumber_0000110 BinaryNumber_1011010 BinaryNumber_0101000 BinaryNumber_0101010 BinaryNumber_0011011
BinaryNumber_0001010 BinaryNumber_0011100 BinaryNumber_0110001 BinaryNumber_0111100 BinaryNumber_0010010 BinaryNumber_0110101 BinaryNumber_1000000 BinaryNumber_0101101 BinaryNumber_1011000 BinaryNumber_0010101
BinaryNumber_0100010 BinaryNumber_1001101 BinaryNumber_0101111 BinaryNumber_0011010 BinaryNumber_1100000 BinaryNumber_1000000 BinaryNumber_1100010 BinaryNumber_1010000 BinaryNumber_0010101 BinaryNumber_0001010
BinaryNumber_0111010 BinaryNumber_0110111 BinaryNumber_0111101 BinaryNumber_0110110 BinaryNumber_0101011 BinaryNumber_1010100 BinaryNumber_0011110 BinaryNumber_1001011 BinaryNumber_1010001 BinaryNumber_0000111
BinaryNumber_1011001 BinaryNumber_1000110 BinaryNumber_1001000 BinaryNumber_1010111 BinaryNumber_1001111 BinaryNumber_0001111 BinaryNumber_0101000 BinaryNumber_0011010 BinaryNumber_1000011 BinaryNumber_1001100
BinaryNumber_1011111 BinaryNumber_0100010 BinaryNumber_0111111 BinaryNumber_0010000 BinaryNumber_1011011 BinaryNumber_1000100 BinaryNumber_1001001 BinaryNumber_0001001 BinaryNumber_1001101 BinaryNumber_1010111
BinaryNumber_0010100 BinaryNumber_0111001 BinaryNumber_0001110 BinaryNumber_0001000 BinaryNumber_1010010 BinaryNumber_0011001 BinaryNumber_0001000 BinaryNumber_1010010 BinaryNumber_0100001 BinaryNumber_1001110
BinaryNumber_0001100 BinaryNumber_0101111 BinaryNumber_0111101 BinaryNumber_0011011 BinaryNumber_0110101 BinaryNumber_1001001 BinaryNumber_0111000 BinaryNumber_0100011 BinaryNumber_1100001 BinaryNumber_0110001
BinaryNumber_0011101 BinaryNumber_0111101 BinaryNumber_0001110 BinaryNumber_0101111 BinaryNumber_0101001 BinaryNumber_0010101 BinaryNumber_1010000 BinaryNumber_1010100 BinaryNumber_0101011 BinaryNumber_0101101
BinaryNumber_0101001 BinaryNumber_0100000 BinaryNumber_0111001 BinaryNumber_1001000 BinaryNumber_1010110 BinaryNumber_0001100 BinaryNumber_0010111 BinaryNumber_0010001 BinaryNumber_0110100 BinaryNumber_0111100
22:18 15:15 19:53 13:52 11:51 16:34 11:59 11:32 23:32 21:59
16:51 21:11 17:19 20:41 23:41 18:54 16:25 11:29 20:16 21:12
17:11 10:38 12:54 10:58 14:39 21:51 21:20 14:41 16:30 20:16
15:28 15:53 21:16 20:33 18:40 14:19 21:30 21:44 22:46 15:53
10:36 19:24 17:20 14:38 18:34 22:52 19:45 12:34 22:52 23:42
19:21 14:39 21:24 10:16 15:48 14:26 21:31 21:55 21:18 20:39
16:14 13:57 13:28 14:53 21:48 21:37 18:11 17:28 14:22 13:15
16:52 23:23 23:54 19:57 18:52 18:26 22:58 22:24 15:52 20:51
19:14 15:22 20:44 11:27 14:21 12:19 13:51 16:21 23:56 16:49
23:23 14:19 19:51 10:25 22:55 17:16 19:49 18:31 18:19 12:53
13:14 19:41 18:21 16:42 15:18 18:56 18:46 21:43 15:41 23:20
