lively proud delightful kind ugly comfortable gentle naughty fine faithful
BinaryNumber_0100111 BinaryNumber_0010110 BinaryNumber_0011001 BinaryNumber_1001110 BinaryNumber_0100011 BinaryNumber_0010110 BinaryNumber_0001100 BinaryNumber_0101011 BinaryNumber_0011111 BinaryNumber_0011101
BinaryNumber_1001000 BinaryNumber_0011100 BinaryNumber_0010011 BinaryNumber_1010010 BinaryNumber_0010110 BinaryNumber_0001100 BinaryNumber_0000101 BinaryNumber_0101010 BinaryNumber_1000011 BinaryNumber_0010100
BinaryNumber_0101001 BinaryNumber_0111011 BinaryNumber_0101001 BinaryNumber_0101011 BinaryNumber_0010110 BinaryNumber_0000110 BinaryNumber_0000100 BinaryNumber_0111110 BinaryNumber_0000110 BinaryNumber_0100011
BinaryNumber_0011000 BinaryNumber_0110111 BinaryNumber_1000011 BinaryNumber_1001111 BinaryNumber_0100100 BinaryNumber_0010000 BinaryNumber_0101000 BinaryNumber_0101010 BinaryNumber_1001000 BinaryNumber_0011100
BinaryNumber_1000000 BinaryNumber_0011101 BinaryNumber_0001011 BinaryNumber_1010011 BinaryNumber_0110001 BinaryNumber_0010110 BinaryNumber_1010110 BinaryNumber_0100011 BinaryNumber_0010000 BinaryNumber_0100011
BinaryNumber_1001101 BinaryNumber_0010110 BinaryNumber_0010110 BinaryNumber_0001100 BinaryNumber_1010011 BinaryNumber_0100100 BinaryNumber_0011110 BinaryNumber_0101000 BinaryNumber_1010011 BinaryNumber_1000000
BinaryNumber_0110010 BinaryNumber_0011001 BinaryNumber_0100110 BinaryNumber_1000111 BinaryNumber_1001111 BinaryNumber_0101110 BinaryNumber_0011110 BinaryNumber_0000100 BinaryNumber_0010001 BinaryNumber_0111110
BinaryNumber_0011101 BinaryNumber_1000100 BinaryNumber_0101110 BinaryNumber_0111111 BinaryNumber_0100011 BinaryNumber_1011100 BinaryNumber_0010001 BinaryNumber_0010100 BinaryNumber_0001000 BinaryNumber_1001011
BinaryNumber_1001110 BinaryNumber_1010011 BinaryNumber_1001010 BinaryNumber_0010001 BinaryNumber_0000100 BinaryNumber_0011101 BinaryNumber_0111101 BinaryNumber_0110000 BinaryNumber_1011111 BinaryNumber_1100011
BinaryNumber_0000011 BinaryNumber_0100010 BinaryNumber_1011000 BinaryNumber_1010001 BinaryNumber_0001010 BinaryNumber_0110000 BinaryNumber_0100010 BinaryNumber_0000101 BinaryNumber_1000100 BinaryNumber_0111110
BinaryNumber_0111010 BinaryNumber_0111110 BinaryNumber_1100011 BinaryNumber_1010110 BinaryNumber_0101000 BinaryNumber_0011101 BinaryNumber_0100101 BinaryNumber_0100101 BinaryNumber_0011111 BinaryNumber_1001000
CubeNumber_15625 CubeNumber_681472 CubeNumber_117649 CubeNumber_405224 CubeNumber_85184 CubeNumber_132651 CubeNumber_729000 CubeNumber_13824 CubeNumber_166375 CubeNumber_12167
CubeNumber_39304 CubeNumber_405224 CubeNumber_884736 CubeNumber_64000 CubeNumber_46656 CubeNumber_681472 CubeNumber_614125 CubeNumber_592704 CubeNumber_729 CubeNumber_592704
CubeNumber_27000 CubeNumber_778688 CubeNumber_216000 CubeNumber_729 CubeNumber_27000 CubeNumber_5832 CubeNumber_27000 CubeNumber_8 CubeNumber_512 CubeNumber_216000
CubeNumber_54872 CubeNumber_27000 CubeNumber_884736 CubeNumber_753571 CubeNumber_571787 CubeNumber_729000 CubeNumber_125000 CubeNumber_125000 CubeNumber_4913 CubeNumber_287496
CubeNumber_343000 CubeNumber_729 CubeNumber_405224 CubeNumber_2197 CubeNumber_46656 CubeNumber_54872 CubeNumber_27 CubeNumber_343 CubeNumber_343 CubeNumber_1000
CubeNumber_29791 CubeNumber_658503 CubeNumber_753571 CubeNumber_857375 CubeNumber_1331 CubeNumber_6859 CubeNumber_778688 CubeNumber_1331 CubeNumber_238328 CubeNumber_74088
CubeNumber_12167 CubeNumber_125000 CubeNumber_493039 CubeNumber_29791 CubeNumber_1000 CubeNumber_389017 CubeNumber_357911 CubeNumber_64 CubeNumber_512000 CubeNumber_157464
CubeNumber_2197 CubeNumber_704969 CubeNumber_125 CubeNumber_3375 CubeNumber_3375 CubeNumber_79507 CubeNumber_27000 CubeNumber_27000 CubeNumber_74088 CubeNumber_4096
CubeNumber_13824 CubeNumber_12167 CubeNumber_29791 CubeNumber_314432 CubeNumber_1728 CubeNumber_343 CubeNumber_1000 CubeNumber_97336 CubeNumber_1331 CubeNumber_148877
CubeNumber_17576 CubeNumber_27000 CubeNumber_373248 CubeNumber_571787 CubeNumber_357911 CubeNumber_148877 CubeNumber_6859 CubeNumber_46656 CubeNumber_1728 CubeNumber_912673
CubeNumber_140608 CubeNumber_274625 CubeNumber_9261 CubeNumber_373248 CubeNumber_97336 CubeNumber_64 CubeNumber_32768 CubeNumber_68921 CubeNumber_6859 CubeNumber_195112
SquareNumber_8464 SquareNumber_2601 SquareNumber_2209 SquareNumber_5041 SquareNumber_2500 SquareNumber_1296 SquareNumber_1156 SquareNumber_1849 SquareNumber_1764 SquareNumber_8836
SquareNumber_2209 SquareNumber_1681 SquareNumber_9 SquareNumber_2209 SquareNumber_529 SquareNumber_729 SquareNumber_8836 SquareNumber_6889 SquareNumber_7569 SquareNumber_3844
SquareNumber_1681 SquareNumber_5329 SquareNumber_6241 SquareNumber_3025 SquareNumber_64 SquareNumber_9216 SquareNumber_6400 SquareNumber_1296 SquareNumber_256 SquareNumber_7744
SquareNumber_784 SquareNumber_324 SquareNumber_169 SquareNumber_576 SquareNumber_9216 SquareNumber_1225 SquareNumber_3969 SquareNumber_841 SquareNumber_8100 SquareNumber_3025
SquareNumber_7056 SquareNumber_4225 SquareNumber_2916 SquareNumber_1024 SquareNumber_10000 SquareNumber_1936 SquareNumber_1600 SquareNumber_7744 SquareNumber_1600 SquareNumber_1156
SquareNumber_1369 SquareNumber_900 SquareNumber_1600 SquareNumber_961 SquareNumber_8836 SquareNumber_1521 SquareNumber_6561 SquareNumber_576 SquareNumber_3721 SquareNumber_5776
SquareNumber_2025 SquareNumber_2916 SquareNumber_2601 SquareNumber_1296 SquareNumber_5041 SquareNumber_6561 SquareNumber_5476 SquareNumber_4225 SquareNumber_1600 SquareNumber_3844
SquareNumber_2116 SquareNumber_225 SquareNumber_2601 SquareNumber_3721 SquareNumber_8100 SquareNumber_529 SquareNumber_676 SquareNumber_6724 SquareNumber_5184 SquareNumber_8836
SquareNumber_8100 SquareNumber_4096 SquareNumber_4624 SquareNumber_7056 SquareNumber_4624 SquareNumber_36 SquareNumber_169 SquareNumber_2500 SquareNumber_6084 SquareNumber_5041
SquareNumber_361 SquareNumber_3969 SquareNumber_9604 SquareNumber_3600 SquareNumber_729 SquareNumber_5184 SquareNumber_2704 SquareNumber_3136 SquareNumber_3481 SquareNumber_8281
SquareNumber_3249 SquareNumber_5184 SquareNumber_4096 SquareNumber_49 SquareNumber_4096 SquareNumber_8281 SquareNumber_9409 SquareNumber_4761 SquareNumber_7056 SquareNumber_289
10:26 20:37 19:57 15:14 23:31 13:49 12:48 11:43 22:24 18:51
16:28 21:28 14:17 14:27 18:30 19:50 10:40 20:33 20:42 14:32
17:40 10:34 23:22 18:26 11:58 16:16 15:12 16:34 17:19 18:58
14:35 13:40 20:30 22:52 16:41 22:10 22:47 11:12 12:14 18:38
12:33 12:58 14:54 21:27 12:52 18:56 13:34 21:57 21:11 11:58
13:57 16:36 23:19 10:24 14:38 11:20 20:54 18:13 23:49 16:12
22:40 23:51 23:41 22:35 22:42 10:14 11:52 23:12 19:17 12:52
19:29 21:28 20:58 15:37 14:17 18:12 22:16 10:48 16:16 15:43
13:30 21:42 17:15 12:54 23:26 23:51 12:24 11:11 21:42 18:48
17:31 18:10 19:33 12:18 23:27 21:36 21:18 11:51 14:21 10:53
17:27 21:13 23:41 14:56 22:22 20:21 20:20 11:10 12:13 18:40
