career safari fighting snowboarding hunting funambulism field martial athletic ski
temperature__126c temperature__138c temperature__148c temperature__92c temperature__122c temperature__58c temperature__124c temperature__148c temperature__0c temperature__14c
temperature__116c temperature__42c temperature__52c temperature__47c temperature__105c temperature__49c temperature__146c temperature__147c temperature__41c temperature__136c
temperature__95c temperature__41c temperature__139c temperature__116c temperature__63c temperature__63c temperature__11c temperature__4c temperature__2c temperature__129c
temperature__132c temperature__141c temperature__3c temperature__58c temperature__77c temperature__0c temperature__73c temperature__119c temperature__74c temperature__95c
temperature__84c temperature__16c temperature__24c temperature__95c temperature__21c temperature__78c temperature__27c temperature__93c temperature__50c temperature__30c
temperature__71c temperature__54c temperature__148c temperature__86c temperature__146c temperature__31c temperature__41c temperature__131c temperature__41c temperature__68c
temperature__78c temperature__35c temperature__40c temperature__50c temperature__5c temperature__12c temperature__22c temperature__6c temperature__100c temperature__36c
temperature__74c temperature__129c temperature__126c temperature__52c temperature__71c temperature__109c temperature__147c temperature__119c temperature__71c temperature__54c
temperature__112c temperature__11c temperature__139c temperature__64c temperature__139c temperature__28c temperature__132c temperature__116c temperature__11c temperature__88c
temperature__106c temperature__6c temperature__8c temperature__42c temperature__147c temperature__111c temperature__95c temperature__70c temperature__146c temperature__130c
temperature__70c temperature__141c temperature__71c temperature__109c temperature__58c temperature__145c temperature__11c temperature__10c temperature__88c temperature__98c
