LightYellow Orange RoyalBlue Black Sienna MediumOrchid LightSlateBlue Cornsilk WhiteSmoke SeaGreen
BinaryNumber_0001000 BinaryNumber_0111010 BinaryNumber_0100000 BinaryNumber_0010000 BinaryNumber_0101000 BinaryNumber_0001100 BinaryNumber_0101000 BinaryNumber_0000001 BinaryNumber_1001011 BinaryNumber_1000010
BinaryNumber_0001100 BinaryNumber_0001110 BinaryNumber_1011110 BinaryNumber_0101010 BinaryNumber_0111100 BinaryNumber_0100001 BinaryNumber_0000011 BinaryNumber_0111010 BinaryNumber_1001101 BinaryNumber_0101110
BinaryNumber_1010010 BinaryNumber_1001010 BinaryNumber_1011011 BinaryNumber_0101101 BinaryNumber_1010111 BinaryNumber_0001110 BinaryNumber_1010100 BinaryNumber_1000100 BinaryNumber_1001110 BinaryNumber_0101110
BinaryNumber_0001100 BinaryNumber_0101001 BinaryNumber_0100001 BinaryNumber_0000001 BinaryNumber_0100111 BinaryNumber_1100001 BinaryNumber_1100001 BinaryNumber_1100001 BinaryNumber_0100000 BinaryNumber_0001010
BinaryNumber_0110011 BinaryNumber_0110000 BinaryNumber_1001100 BinaryNumber_0110011 BinaryNumber_0111101 BinaryNumber_0111000 BinaryNumber_0101010 BinaryNumber_0110110 BinaryNumber_0010101 BinaryNumber_1000011
BinaryNumber_1010111 BinaryNumber_1000111 BinaryNumber_0001110 BinaryNumber_1000010 BinaryNumber_0100001 BinaryNumber_1011101 BinaryNumber_0100101 BinaryNumber_0010010 BinaryNumber_0001000 BinaryNumber_0101000
BinaryNumber_1010101 BinaryNumber_0011000 BinaryNumber_0110001 BinaryNumber_0011110 BinaryNumber_1001010 BinaryNumber_0011001 BinaryNumber_1010110 BinaryNumber_0110111 BinaryNumber_0111110 BinaryNumber_1000001
BinaryNumber_0011101 BinaryNumber_0001000 BinaryNumber_0110001 BinaryNumber_1000001 BinaryNumber_0100101 BinaryNumber_1010001 BinaryNumber_0001010 BinaryNumber_0011110 BinaryNumber_1001111 BinaryNumber_1000010
BinaryNumber_1010111 BinaryNumber_1000101 BinaryNumber_1000101 BinaryNumber_0111011 BinaryNumber_0001110 BinaryNumber_0101000 BinaryNumber_1001100 BinaryNumber_1010111 BinaryNumber_1001000 BinaryNumber_0101110
CubeNumber_456533 CubeNumber_27 CubeNumber_205379 CubeNumber_39304 CubeNumber_729000 CubeNumber_614125 CubeNumber_729 CubeNumber_941192 CubeNumber_438976 CubeNumber_195112
CubeNumber_148877 CubeNumber_157464 CubeNumber_4096 CubeNumber_64 CubeNumber_140608 CubeNumber_512000 CubeNumber_132651 CubeNumber_54872 CubeNumber_8000 CubeNumber_531441
CubeNumber_39304 CubeNumber_531441 CubeNumber_13824 CubeNumber_216 CubeNumber_551368 CubeNumber_64000 CubeNumber_2197 CubeNumber_238328 CubeNumber_132651 CubeNumber_1331
CubeNumber_729000 CubeNumber_512000 CubeNumber_5832 CubeNumber_551368 CubeNumber_50653 CubeNumber_238328 CubeNumber_857375 CubeNumber_729 CubeNumber_389017 CubeNumber_3375
CubeNumber_91125 CubeNumber_15625 CubeNumber_343 CubeNumber_166375 CubeNumber_125 CubeNumber_3375 CubeNumber_2197 CubeNumber_456533 CubeNumber_64000 CubeNumber_456533
CubeNumber_42875 CubeNumber_328509 CubeNumber_140608 CubeNumber_29791 CubeNumber_1728 CubeNumber_103823 CubeNumber_46656 CubeNumber_35937 CubeNumber_493039 CubeNumber_24389
CubeNumber_512 CubeNumber_27000 CubeNumber_438976 CubeNumber_571787 CubeNumber_753571 CubeNumber_64000 CubeNumber_493039 CubeNumber_1331 CubeNumber_571787 CubeNumber_97336
CubeNumber_8 CubeNumber_21952 CubeNumber_74088 CubeNumber_9261 CubeNumber_110592 CubeNumber_729 CubeNumber_185193 CubeNumber_216 CubeNumber_274625 CubeNumber_493039
CubeNumber_5832 CubeNumber_389017 CubeNumber_216000 CubeNumber_8000 CubeNumber_1331 CubeNumber_300763 CubeNumber_110592 CubeNumber_2744 CubeNumber_10648 CubeNumber_2197
CubeNumber_97336 CubeNumber_42875 CubeNumber_125 CubeNumber_216000 CubeNumber_250047 CubeNumber_166375 CubeNumber_97336 CubeNumber_328509 CubeNumber_64 CubeNumber_50653
CubeNumber_185193 CubeNumber_13824 CubeNumber_8000 CubeNumber_343000 CubeNumber_474552 CubeNumber_13824 CubeNumber_250047 CubeNumber_24389 CubeNumber_250047 CubeNumber_238328
Clementine Plum Peach Satsuma Yuzu Grapefruit Jambul Lime Orange Cherry
Plantain Marionberry Tamarillo Longan Loquat Tamarillo Boysenberry Plumcot Plumcot Pawpaw
Raisin Longan Araza Grape Prune Apple Blueberry Grape Cantaloupe Acerola
Grapefruit Clementine Durian Lime Watermelon Guava Pineapple Jostaberry Grape Cherry
Pomelo Mulberry Elderberry Currant Prune Gooseberry Longan Satsuma Plum Pineapple
Huckleberry Tangelo Grapefruit Tangelo Plantain Cantaloupe Breadfruit Durian Acerola Papaya
Kumquat Grape Jostaberry Cherimoya Quince Raisin Strawberry Breadfruit Currant Banana
Kiwano Jujube Apple Mango Coconut Plantain Avocado Raisin Blackcurrant Orange
Abiu Clementine Orange Abiu Longan Lime Soursop Nectarine Boysenberry Longan
Plumcot Ackee Currant Raisin Abiu Tayberry Tamarillo Mandarine Damson Banana
Coconut Soursop Tayberry Soursop Passionfruit Ximenia Pear Cherimoya Loquat Nectarine
